
[00:00:00.000 --> 00:00:07.000]  今天我要講的訊息是叫做摩西之歌的原迷
[00:00:07.000 --> 00:00:10.000]  為什麼會叫做摩西之歌的原迷呢?
[00:00:10.000 --> 00:00:13.000]  其實今天是有很多很多的原迷
[00:00:13.000 --> 00:00:18.000]  其中第一個原迷就是為什麼我之前講到
[00:00:18.000 --> 00:00:20.000]  是講到去新明記25章
[00:00:20.000 --> 00:00:24.000]  為什麼一跳就跳到31章32章
[00:00:24.000 --> 00:00:25.000]  這個是第一個原迷
[00:00:25.000 --> 00:00:30.000]  和今天是什麼節日是有關的
[00:00:30.000 --> 00:00:32.000]  今天是什麼節日?
[00:00:32.000 --> 00:00:34.000]  是父親節
[00:00:34.000 --> 00:00:36.000]  為什麼父親節要講摩西之歌呢?
[00:00:36.000 --> 00:00:38.000]  這個就變成了第二個原迷
[00:00:38.000 --> 00:00:40.000]  我等一下就會解釋
[00:00:40.000 --> 00:00:47.000]  第三個原迷是摩西之歌原來在聖經裡面出現過幾次
[00:00:47.000 --> 00:00:53.000]  在出埃及記15章出現了第一次摩西之歌
[00:00:53.000 --> 00:01:04.000]  在新明記32章出現了第二次
[00:01:04.000 --> 00:01:09.000]  在啟示錄15章又出現了第三次
[00:01:09.000 --> 00:01:12.000]  在啟示錄第15章的經文
[00:01:12.000 --> 00:01:17.000]  講到將來在天堂
[00:01:17.000 --> 00:01:24.000]  有人會唱摩西之歌和高揚之歌唱兩首歌
[00:01:24.000 --> 00:01:26.000]  我們就想一想
[00:01:26.000 --> 00:01:30.000]  究竟將來在天堂唱的摩西之歌
[00:01:30.000 --> 00:01:33.000]  是出埃及記15章的摩西之歌
[00:01:33.000 --> 00:01:37.000]  還是在新明記35章那一首
[00:01:37.000 --> 00:01:40.000]  其實我們可以看一看
[00:01:40.000 --> 00:01:45.000]  將出埃及記15章的摩西之歌
[00:01:45.000 --> 00:01:50.000]  和新明之歌放在一起做一個比較
[00:01:50.000 --> 00:01:52.000]  很明顯一個在舊約
[00:01:52.000 --> 00:01:53.000]  出埃及記15章
[00:01:53.000 --> 00:01:55.000]  一個在新約
[00:01:55.000 --> 00:01:59.000]  啟示錄5章8至14節
[00:01:59.000 --> 00:02:04.000]  在出埃及記那一首是經過了紅海之後唱的
[00:02:04.000 --> 00:02:07.000]  在將來天堂的高揚之歌
[00:02:07.000 --> 00:02:13.000]  在神的寶座面前有個玻璃海在那裡唱
[00:02:13.000 --> 00:02:18.000]  在出埃及記15章是紀念以色列人出埃及
[00:02:18.000 --> 00:02:21.000]  在那裡高揚之歌
[00:02:21.000 --> 00:02:28.000]  紀念神帶領勝利勝過巴比倫
[00:02:28.000 --> 00:02:31.000]  出埃及記15章那一首
[00:02:31.000 --> 00:02:34.000]  是帶領人出埃及
[00:02:34.000 --> 00:02:36.000]  在那裡高揚之歌
[00:02:36.000 --> 00:02:40.000]  是神帶領人進入神的國
[00:02:40.000 --> 00:02:46.000]  在那裡出埃及記15章的是聖經第一首的詩歌
[00:02:46.000 --> 00:02:52.000]  在那裡啟示錄的高揚之歌是最後一首
[00:02:52.000 --> 00:02:55.000]  你將兩首歌比一比的時候
[00:02:55.000 --> 00:02:58.000]  你會發覺兩首是很合拍
[00:02:58.000 --> 00:03:01.000]  是很公正的一個比較
[00:03:01.000 --> 00:03:04.000]  所以很多的解經人
[00:03:04.000 --> 00:03:07.000]  很多的牧師都說將來會唱的這一首
[00:03:07.000 --> 00:03:10.000]  是出埃及記15章的那一首
[00:03:10.000 --> 00:03:13.000]  而不是生命記32章
[00:03:13.000 --> 00:03:15.000]  今天我有個使命
[00:03:15.000 --> 00:03:18.000]  使命就是要證實給大家看
[00:03:18.000 --> 00:03:20.000]  將來唱的摩世之歌
[00:03:20.000 --> 00:03:24.000]  也是包括生命記32章的那一首
[00:03:24.000 --> 00:03:27.000]  我們要知道
[00:03:27.000 --> 00:03:31.000]  為何會包括生命記32章
[00:03:31.000 --> 00:03:34.000]  我們要知道32章是說些甚麼
