
[00:00:00.000 --> 00:00:07.240]  一個基督徒如果要有成長的話
[00:00:07.240 --> 00:00:11.240]  是很需要認清楚自己的真面目
[00:00:11.240 --> 00:00:16.440]  最好認清楚真面目的辦法是什麼呢?
[00:00:16.440 --> 00:00:18.640]  就是在我們的過去
[00:00:18.640 --> 00:00:21.440]  從我們的過去中認識我們自己
[00:00:21.440 --> 00:00:26.160]  我們知道在《生命紀》裡面的一章至三章
[00:00:26.160 --> 00:00:31.480]  摩西已經與以色列人檢討他們的過去
[00:00:31.480 --> 00:00:33.480]  展望他們的將來
[00:00:33.480 --> 00:00:37.480]  而今天我們和大家分享的第八至十一章
[00:00:37.480 --> 00:00:42.480]  有一次摩西重提舊事
[00:00:42.480 --> 00:00:45.000]  要新一代的以色列人
[00:00:45.000 --> 00:00:49.000]  不要學第一代的以色列人一樣
[00:00:49.000 --> 00:00:51.000]  他們離棄了神
[00:00:51.000 --> 00:00:53.000]  他們不能夠進入加拿大
[00:00:53.000 --> 00:00:58.000]  很多時候我們都很需要認識我們的過去
[00:00:58.000 --> 00:01:03.000]  一個人認識自己的過去就好像認識自己的真面孔一樣
[00:01:03.000 --> 00:01:08.000]  在英國愛爾蘭和蘇格蘭
[00:01:08.000 --> 00:01:12.000]  他們曾經在古代有一個保護者
[00:01:12.000 --> 00:01:15.000]  這個保護者叫Oliver Cromwell
[00:01:15.000 --> 00:01:20.000]  Oliver Cromwell這個人是一個很有權力的人
[00:01:20.000 --> 00:01:23.000]  有一次他想自己有一幅寫真
[00:01:23.000 --> 00:01:25.000]  這個是在講古代
[00:01:25.000 --> 00:01:27.000]  現在要拍一張照片就可以了
[00:01:27.000 --> 00:01:29.000]  拍一張照片你就會看到自己
[00:01:29.000 --> 00:01:31.000]  但是以前不是的
[00:01:31.000 --> 00:01:35.000]  是要畫家來幫他畫他的肖像
[00:01:35.000 --> 00:01:37.000]  他和那個畫家說
[00:01:37.000 --> 00:01:41.000]  你要畫得真真正正像我
[00:01:41.000 --> 00:01:43.000]  我才給錢
[00:01:43.000 --> 00:01:45.000]  如果你畫得不像的話
[00:01:45.000 --> 00:01:47.000]  我一個仙都不給你
[00:01:47.000 --> 00:01:49.000]  他還和那個畫家說
[00:01:49.000 --> 00:01:51.000]  你畫面上每一粒痣
[00:01:51.000 --> 00:01:53.000]  每一粒暗瘡每一條皺紋
[00:01:53.000 --> 00:01:55.000]  你都要和我畫得清清楚楚
[00:01:55.000 --> 00:01:58.000]  哇 很大膽
[00:01:58.000 --> 00:02:01.000]  我想起現在的女士拍照
[00:02:01.000 --> 00:02:03.000]  拍完照之後還是怎麼樣
[00:02:03.000 --> 00:02:06.000]  哇 拍了那些白頭髮出來
[00:02:06.000 --> 00:02:10.000]  哇 那些暗瘡那些皺紋我不要啊
[00:02:10.000 --> 00:02:11.000]  現在可以怎麼樣
[00:02:11.000 --> 00:02:13.000]  可以photoshop
[00:02:13.000 --> 00:02:15.000]  可以airbrush
[00:02:15.000 --> 00:02:20.000]  把皺紋和瑕疵全部清除
[00:02:20.000 --> 00:02:24.000]  摩西在《生命紀》第8至11章
[00:02:24.000 --> 00:02:26.000]  他沒有這樣做
[00:02:26.000 --> 00:02:29.000]  他是完全將以色列人
[00:02:29.000 --> 00:02:33.000]  每一粒暗瘡每一條皺紋都說出來
[00:02:33.000 --> 00:02:37.000]  讓他們看到自己的真面目
[00:02:37.000 --> 00:02:40.000]  其中一樣以色列人的真面目
[00:02:40.000 --> 00:02:42.000]  和我們都是很相似的
[00:02:42.000 --> 00:02:45.000]  就是我們很容易就忘記神
[00:02:45.000 --> 00:02:48.000]  第一代的以色列人就是忘記了神
[00:02:48.000 --> 00:02:52.000]  我們看到在《生命紀》第8章11節說什麼
[00:02:52.000 --> 00:02:56.000]  免得忘記耶和華你的神不守他的誡明
[00:02:56.000 --> 00:02:58.000]  典章律例
[00:02:58.000 --> 00:03:01.000]  在第8章12節又說恐怕你吃得飽足
[00:03:01.000 --> 00:03:04.000]  你就心高氣傲
[00:03:04.000 --> 00:03:06.000]  忘記耶和華你的神
[00:03:06.000 --> 00:03:11.000]  就是將你們從埃及地圍爐之家領出來的
[00:03:11.000 --> 00:03:16.000]  在第8章17節又說恐怕你的心裡說
[00:03:16.000 --> 00:03:21.000]  這貨才是我的力量我能力得來的
[00:03:21.000 --> 00:03:24.000]  當我們認為很多的財物
[00:03:24.000 --> 00:03:29.000]  我們的財物都是我們自己得來的
[00:03:29.000 --> 00:03:31.000]  我們就會怎麼樣
[00:03:31.000 --> 00:03:33.000]  就比較容易忘記神
[00:03:33.000 --> 00:03:35.000]  以為是自己的能力
[00:03:35.000 --> 00:03:38.000]  第8章19節也說忘記耶和華你的神
[00:03:38.000 --> 00:03:41.000]  隨從別神
[00:03:41.000 --> 00:03:43.000]  侍奉敬拜你們必定滅亡
[00:03:43.000 --> 00:03:46.000]  很明顯第8章告訴我們
[00:03:46.000 --> 00:03:49.000]  就是要教導我們不要忘記神
[00:03:49.000 --> 00:03:54.000]  神其實在我們每一個信徒的身上
[00:03:54.000 --> 00:03:56.000]  都給我們很多試驗
[00:03:56.000 --> 00:03:59.000]  給我們試驗來做什麼
[00:03:59.000 --> 00:04:02.000]  經文有說我們要聽
[00:04:02.000 --> 00:04:03.000]  8章2節
[00:04:03.000 --> 00:04:04.000]  要苦戀你
[00:04:04.000 --> 00:04:05.000]  試驗你
[00:04:05.000 --> 00:04:08.000]  要知道你心內如何
[00:04:08.000 --> 00:04:12.000]  肯守他的誡命不肯
[00:04:12.000 --> 00:04:14.000]  神給我們試驗
[00:04:14.000 --> 00:04:19.000]  讓我們知道我們肯不肯守他的誡命
[00:04:19.000 --> 00:04:20.000]  是不是心裡歸向他
[00:04:20.000 --> 00:04:22.000]  還是忘記了他
[00:04:22.000 --> 00:04:24.000]  有很多人可能會說
[00:04:24.000 --> 00:04:27.000]  神是什麼都沒用的
[00:04:27.000 --> 00:04:31.000]  要試驗人才知道你的心裡是怎麼想
[00:04:31.000 --> 00:04:32.000]  守不守他的誡命
[00:04:32.000 --> 00:04:34.000]  其實神知不知道
[00:04:34.000 --> 00:04:35.000]  神當然知道
[00:04:35.000 --> 00:04:37.000]  神什麼都知道
[00:04:37.000 --> 00:04:41.000]  要誰知道我們守不守誡命
[00:04:41.000 --> 00:04:43.000]  是要我們自己
[00:04:43.000 --> 00:04:46.000]  當我們有試驗來到的時候
[00:04:46.000 --> 00:04:48.000]  我們反映出我們的心
[00:04:48.000 --> 00:04:50.000]  我們是不是真的守神的誡命
[00:04:50.000 --> 00:04:52.000]  讓我們知道
[00:04:52.000 --> 00:04:55.000]  反映出我們面上的每一顆咒文
[00:04:55.000 --> 00:04:56.000]  每一條咒文
[00:04:56.000 --> 00:04:57.000]  每一顆暗瘡
[00:04:57.000 --> 00:05:00.000]  讓我們看到自己的人是怎麼樣
[00:05:00.000 --> 00:05:03.000]  真正的我是怎麼樣
[00:05:03.000 --> 00:05:06.000]  在這裡啓示祿2:23
[00:05:06.000 --> 00:05:07.000]  英文是什麼
[00:05:07.000 --> 00:05:12.000]  宗教會知道我是測驗人肺腑心腸的
[00:05:12.000 --> 00:05:15.000]  神是測驗我們每個人的肺腑
[00:05:15.000 --> 00:05:18.000]  每個人的心腸
[00:05:18.000 --> 00:05:20.000]  有很多人可能會和我說
[00:05:20.000 --> 00:05:22.000]  神為什麼要測驗我
[00:05:22.000 --> 00:05:24.000]  我自己知道我的心是怎麼想的
[00:05:24.000 --> 00:05:25.000]  我都知道
[00:05:25.000 --> 00:05:27.000]  我知道我向著神
[00:05:27.000 --> 00:05:29.000]  我知道我愛神
[00:05:29.000 --> 00:05:31.000]  很容易說出口
[00:05:31.000 --> 00:05:32.000]  我們愛神
[00:05:32.000 --> 00:05:34.000]  我們向著神
[00:05:34.000 --> 00:05:36.000]  你知不知道恐怖的地方
[00:05:36.000 --> 00:05:38.000]  是第一代的以色列人
[00:05:38.000 --> 00:05:40.000]  就是失敗了的那群人
