
[00:00:00.000 --> 00:00:09.000]  今晚的講座除了需要講義 還需要有一本聖經
[00:00:09.000 --> 00:00:13.000]  我們同心一切低頭祈禱
[00:00:13.000 --> 00:00:20.000]  多謝天父 今晚你照聚我們弟兄姊妹
[00:00:20.000 --> 00:00:23.000]  回到你的私人座前
[00:00:23.000 --> 00:00:27.000]  我們傳一個恭敬謙卑的心
[00:00:27.000 --> 00:00:31.000]  一同打開你的懷語
[00:00:31.000 --> 00:00:35.000]  懇求真理的聖靈與我們同在
[00:00:35.000 --> 00:00:40.000]  保守我們的心 打開我們的心竅
[00:00:40.000 --> 00:00:42.000]  使我們能夠明白聖經
[00:00:42.000 --> 00:00:46.000]  奉耶穌基督 聖名祈福 阿們
[00:00:49.000 --> 00:00:57.000]  竇躍的先知 我想沒有誰不認識他們
[00:00:57.000 --> 00:01:01.000]  我記得在香港未曾回歸
[00:01:01.000 --> 00:01:06.000]  九七之前 新華社
[00:01:06.000 --> 00:01:10.000]  當時還是叫統戰部
[00:01:10.000 --> 00:01:12.000]  現在改了名字
[00:01:12.000 --> 00:01:14.000]  現在不叫統戰部了
[00:01:14.000 --> 00:01:16.000]  現在叫協調部
[00:01:16.000 --> 00:01:19.000]  好聽了很多 友善了很多
[00:01:19.000 --> 00:01:23.000]  遲些可能十年後改團契部都未定
[00:01:23.000 --> 00:01:26.000]  當時還是統戰部的幹部
[00:01:26.000 --> 00:01:30.000]  不過有特別主管宗教事務的
[00:01:30.000 --> 00:01:33.000]  就流行請人吃飯的
[00:01:33.000 --> 00:01:39.000]  我們是神學院的老師
[00:01:39.000 --> 00:01:43.000]  他都請我們下午喝茶
[00:01:43.000 --> 00:01:45.000]  有他說的 沒有我們說的
[00:01:45.000 --> 00:01:48.000]  有機會到我們發問
[00:01:48.000 --> 00:01:54.000]  有同工當時完全不明白一國兩制
[00:01:54.000 --> 00:01:56.000]  你制我不制
[00:01:56.000 --> 00:01:59.000]  所以很多 怎麼說呢
[00:01:59.000 --> 00:02:01.000]  什麼問題都要問
[00:02:01.000 --> 00:02:03.000]  其中問到回歸之後
[00:02:03.000 --> 00:02:07.000]  香港很多學校 很多醫院
