
[00:00:00.000 --> 00:00:05.000]  各位弟兄姊妹 主佑平安
[00:00:05.000 --> 00:00:08.000]  多謝敬拜隊帶領我們
[00:00:08.000 --> 00:00:12.000]  預備好我們的心到主的面前
[00:00:12.000 --> 00:00:15.000]  感謝神
[00:00:15.000 --> 00:00:18.000]  雖然我們看不到這些字太小
[00:00:18.000 --> 00:00:21.000]  不過你都知道了
[00:00:21.000 --> 00:00:24.000]  撒酸四十年
[00:00:24.000 --> 00:00:28.000]  我們追本溯源
[00:00:28.000 --> 00:00:33.000]  所以今年我們六次的系列
[00:00:33.000 --> 00:00:36.000]  跟弟兄姊妹問
[00:00:36.000 --> 00:00:40.000]  我們教會週年的堂慶
[00:00:40.000 --> 00:00:44.000]  要數算主因 大家都同意
[00:00:44.000 --> 00:00:47.000]  不過從何說起
[00:00:47.000 --> 00:00:51.000]  我們希望透過這六次的講道
[00:00:51.000 --> 00:00:54.000]  我們超越自己
[00:00:54.000 --> 00:00:58.000]  超越歷史的局限
[00:00:58.000 --> 00:01:01.000]  我們看得到 經歷得到 摸得到的
[00:01:01.000 --> 00:01:06.000]  不是上星期牧師跟我們分享了
[00:01:06.000 --> 00:01:11.000]  不是只是摸得見的
[00:01:11.000 --> 00:01:16.000]  這個很重要的訊息
[00:01:16.000 --> 00:01:20.000]  是 我們參與教會
[00:01:20.000 --> 00:01:25.000]  是一個投入的開端
[00:01:25.000 --> 00:01:28.000]  但在我們參與之前
[00:01:28.000 --> 00:01:33.000]  其實天父施恩的手
[00:01:33.000 --> 00:01:38.000]  做了些什麼 正在做些什麼
[00:01:38.000 --> 00:01:42.000]  然後繼續要在你和我們
[00:01:42.000 --> 00:01:47.000]  這個屬靈的群體當中
[00:01:47.000 --> 00:01:50.000]  成就些什麼
[00:01:50.000 --> 00:01:53.000]  我正在用小時候唱的一首
[00:01:53.000 --> 00:01:58.000]  《天父的世界》
[00:01:58.000 --> 00:02:01.000]  這個不是我們的世界
[00:02:01.000 --> 00:02:05.000]  我們想怎樣 求天父聽我的祈禱
[00:02:05.000 --> 00:02:12.000]  反過來 我們去認識天父的世界
[00:02:12.000 --> 00:02:17.000]  所以我們用了上半年
[00:02:17.000 --> 00:02:22.000]  介紹了我們教會的名字
[00:02:22.000 --> 00:02:26.000]  九個字 前面那六個
[00:02:26.000 --> 00:02:29.000]  基督教是什麼
[00:02:29.000 --> 00:02:32.000]  宣道會是什麼
[00:02:32.000 --> 00:02:38.000]  教會也將第一次放上YouTube
[00:02:38.000 --> 00:02:40.000]  大家可以看得到
[00:02:40.000 --> 00:02:45.000]  不知道同工一門派可以關掉廣告
[00:02:45.000 --> 00:02:47.000]  稍後再說 上帝在做什麼
[00:02:47.000 --> 00:02:50.000]  你有眼袋 我有眼袋
[00:02:50.000 --> 00:02:54.000]  你要分得出兩把聲音是完全不同的
[00:02:54.000 --> 00:02:57.000]  我聽聞可以關掉什麼按鈕
[00:02:57.000 --> 00:03:00.000]  就不用出這些廣告了
[00:03:00.000 --> 00:03:04.000]  無論如何 我們從基督教開始
[00:03:04.000 --> 00:03:07.000]  改革運動其實和使徒
[00:03:07.000 --> 00:03:12.000]  耶路撒冷教會一脈相承
[00:03:12.000 --> 00:03:18.000]  我們介紹了在16世紀改革運動之後
[00:03:18.000 --> 00:03:23.000]  宣道會是19世紀宣信牧師才開始的
[00:03:23.000 --> 00:03:31.000]  但這個直到地極的宣教運動一直沒有停止
[00:03:31.000 --> 00:03:34.000]  甚至可以說到今天
