
[00:00:00.000 --> 00:00:05.120]  各位大兄主母與各位朋友你們好
[00:00:05.120 --> 00:00:07.600]  歡迎大家參與我們三藩市報道會
[00:00:07.600 --> 00:00:09.320]  網上的論壇崇拜
[00:00:09.320 --> 00:00:14.800]  今天我們繼續思想論盡人生系列第29講
[00:00:14.800 --> 00:00:17.600]  題目叫做生的奧祕
[00:00:17.600 --> 00:00:22.400]  經文是記載在傳道書第一章第二章和第三章
[00:00:22.400 --> 00:00:25.400]  未開始思想這幾章聖經之前
[00:00:25.400 --> 00:00:27.600]  請你同心諦讀或同禱告
[00:00:27.600 --> 00:00:30.400]  慈悲仁愛之父我們多謝你
[00:00:30.400 --> 00:00:34.200]  多謝你讓我們活在這個世上
[00:00:34.200 --> 00:00:37.600]  並不是沒有意義的沒有意思的
[00:00:37.600 --> 00:00:40.800]  雖然我們有很多關於人生的問題
[00:00:40.800 --> 00:00:42.600]  我們不明白
[00:00:42.600 --> 00:00:46.800]  但我們知道神造萬物各安其事成爲美好
[00:00:46.800 --> 00:00:49.600]  有着永生不安而在世人的心裏
[00:00:49.600 --> 00:00:52.600]  求你讓我們存着感恩的心
[00:00:52.600 --> 00:00:55.200]  去活出你自己的話語
[00:00:55.200 --> 00:00:58.600]  讓我們人生活得有意義和精彩
[00:00:58.600 --> 00:01:01.400]  我們禱告是奉耶穌基督命求
[00:01:01.400 --> 00:01:02.400]  阿們
[00:01:02.400 --> 00:01:06.800]  蘇多摩寫過一首詞叫做《水調歌談》
[00:01:06.800 --> 00:01:11.800]  明月幾時候把酒問青天
[00:01:11.800 --> 00:01:16.000]  不知天上宮闕今夕是何年
[00:01:16.000 --> 00:01:18.400]  我欲乘風歸去
[00:01:18.400 --> 00:01:22.000]  又恐禽流欲語高處不聲寒
[00:01:22.000 --> 00:01:25.800]  豈無龍卿影何此在人間
[00:01:25.800 --> 00:01:30.200]  轉諸葛低耳胡照無眠
[00:01:30.200 --> 00:01:34.400]  不應有恨何事暢香別事圓
[00:01:34.400 --> 00:01:36.600]  人有悲歡離合
[00:01:36.600 --> 00:01:40.600]  月有陰晴圓缺此事古難傳
[00:01:40.600 --> 00:01:44.800]  但言人卓久千里共識斷
[00:01:44.800 --> 00:01:48.800]  這首詞是蘇式在宋神宗
[00:01:48.800 --> 00:01:53.000]  1709年(1706年)在密州的時候
[00:01:53.000 --> 00:01:57.000]  懷念他的弟弟蘇設所寫的
[00:01:57.000 --> 00:02:01.400]  蘇式是因爲和當時當權變法的
[00:02:01.400 --> 00:02:03.600]  王安石政見不合
