
[00:00:00.000 --> 00:00:05.000]  多謝你們教會的邀請
[00:00:05.000 --> 00:00:08.000]  我收到的邀請是
[00:00:08.000 --> 00:00:12.000]  小仙之書的選讀
[00:00:12.000 --> 00:00:18.000]  亞摩斯書是我提議的內容
[00:00:18.000 --> 00:00:22.000]  所以開始的時候我都應該稍微解釋一下
[00:00:22.000 --> 00:00:27.000]  為什麼我會選擇亞摩斯書這本書
[00:00:27.000 --> 00:00:33.000]  讀仙之書就有些困難
[00:00:33.000 --> 00:00:37.000]  如果我們選擇以賽亞、耶利米、以西傑
[00:00:37.000 --> 00:00:41.000]  那些大仙之書就好像永遠都讀不完
[00:00:41.000 --> 00:00:44.000]  不要說八個星期
[00:00:44.000 --> 00:00:49.000]  第二個困難就是當我們打開仙之書的時候
[00:00:49.000 --> 00:00:51.000]  我們是很不熟悉的
[00:00:51.000 --> 00:00:55.000]  不單止大仙之書我們不是很熟悉
[00:00:55.000 --> 00:00:59.000]  連小仙之書我們都不是很熟悉
[00:00:59.000 --> 00:01:03.000]  甚至如果有機會你很熟悉約拿書
[00:01:03.000 --> 00:01:05.000]  我估計除了《魚》之外
[00:01:05.000 --> 00:01:11.000]  其他那些你都不是掌握得那麼清楚
[00:01:11.000 --> 00:01:17.000]  亞摩斯書是一本很合適的仙之書
[00:01:17.000 --> 00:01:25.000]  給我們用一些時間慢慢去看清楚
[00:01:25.000 --> 00:01:31.000]  看清楚的意思就是我們需要放下很多
[00:01:31.000 --> 00:01:37.000]  我們對舊約裡面仙之書一些先入為主的觀念
[00:01:37.000 --> 00:01:40.000]  很難的
[00:01:40.000 --> 00:01:43.000]  我們每一個人讀聖經的時候
[00:01:43.000 --> 00:01:47.000]  有很多已經在我們裡面的看法
[00:01:47.000 --> 00:01:51.000]  有時候以至影響我們到一個地步
[00:01:51.000 --> 00:01:55.000]  我們打開聖經就視而不見
[00:01:55.000 --> 00:01:59.000]  或者讀到我們想讀到的東西出來
[00:01:59.000 --> 00:02:01.000]  所以在這八堂裡面
[00:02:01.000 --> 00:02:04.000]  我們嘗試做一件事
[00:02:04.000 --> 00:02:10.000]  就是我們很細心去讀這本書
[00:02:10.000 --> 00:02:16.000]  讀的時候我們不要假設我們知道很多東西
[00:02:16.000 --> 00:02:20.000]  我們嘗試從經文裡面去看一看
[00:02:20.000 --> 00:02:26.000]  當然經文本身都已經是一個假設
[00:02:26.000 --> 00:02:31.000]  我們所熟悉的中文聖經和合本
[00:02:31.000 --> 00:02:35.000]  是由宣教士即外國人
[00:02:35.000 --> 00:02:40.000]  他們是受過聖經希伯來文的訓練
[00:02:40.000 --> 00:02:43.000]  翻譯和合本的時候
[00:02:43.000 --> 00:02:48.000]  這些外國人的宣教士不是那麼多通曉中文的
[00:02:48.000 --> 00:02:53.000]  所以他們需要依賴中國的基督徒去翻譯
[00:02:53.000 --> 00:02:56.000]  中國的基督徒當時是不懂得希伯來文的
[00:02:56.000 --> 00:02:59.000]  你想想這個配合
[00:02:59.000 --> 00:03:03.000]  這個teamwork都是很蒙神的保守
