
[00:00:00.000 --> 00:00:06.000]  各位朋友 各位弟姊妹
[00:00:06.000 --> 00:00:09.000]  今晚聽了這麼多的詩歌
[00:00:09.000 --> 00:00:14.000]  好像欠了一樣東西
[00:00:14.000 --> 00:00:19.000]  掌聲
[00:00:19.000 --> 00:00:21.000]  我們將掌聲歸給我們天父
[00:00:21.000 --> 00:00:27.000]  又歸給今晚為大家唱詩的師班
[00:00:27.000 --> 00:00:30.000]  還有為我們讀經的小朋友
[00:00:30.000 --> 00:00:40.000]  背後一班很老虎的童工
[00:00:40.000 --> 00:00:44.000]  上一次的聖樂晚會
[00:00:44.000 --> 00:00:45.000]  禮儀會大會堂
[00:00:45.000 --> 00:00:49.000]  上一次的平安夜聖樂晚會
[00:00:49.000 --> 00:00:52.000]  你們有沒有來過
[00:00:52.000 --> 00:00:54.000]  那些年輕的不要跟我說你來過
[00:00:54.000 --> 00:01:02.000]  上一次是1968年
[00:01:02.000 --> 00:01:05.000]  1968年是45年前
[00:01:05.000 --> 00:01:10.000]  全教會的聖樂在平安夜
[00:01:10.000 --> 00:01:13.000]  那一次和今晚有點不同
[00:01:13.000 --> 00:01:15.000]  相同的地方就是
[00:01:15.000 --> 00:01:18.000]  那晚我們教會人數不多
[00:01:18.000 --> 00:01:20.000]  所謂全教會總動員
[00:01:20.000 --> 00:01:25.000]  來預備平安夜的聖樂晚會
[00:01:25.000 --> 00:01:27.000]  用了很多時間
[00:01:27.000 --> 00:01:29.000]  當時我也是在上面坐著的
[00:01:29.000 --> 00:01:32.000]  一個小伙子來唱詩
[00:01:32.000 --> 00:01:34.000]  教會用了很多人力
[00:01:34.000 --> 00:01:37.000]  很多物力來預備
[00:01:37.000 --> 00:01:38.000]  唱得很好
[00:01:38.000 --> 00:01:40.000]  不過有一個不同
[00:01:40.000 --> 00:01:43.000]  就是全教會人都去唱詩
[00:01:43.000 --> 00:01:44.000]  去預備
[00:01:44.000 --> 00:01:48.000]  是忘記了 要請人來
[00:01:48.000 --> 00:01:51.000]  所以那晚坐在台上的人
[00:01:51.000 --> 00:01:54.000]  比下面的人還要多
[00:01:54.000 --> 00:01:56.000]  但今晚不是
[00:01:56.000 --> 00:01:58.000]  今天有很多的朋友
[00:01:58.000 --> 00:02:00.000]  很多的弟兄姊妹
[00:02:00.000 --> 00:02:03.000]  我們為著今晚有這樣的機會
[00:02:03.000 --> 00:02:05.000]  也為著我們能夠參與
[00:02:05.000 --> 00:02:07.000]  這個這麼大的聖會
[00:02:07.000 --> 00:02:10.000]  我們再一次給掌聲我們的父
[00:02:10.000 --> 00:02:14.000]  也再一次多謝你們的參與
[00:02:14.000 --> 00:02:19.000]  (掌聲)
[00:02:19.000 --> 00:02:22.000]  今晚我想和大家講這個題目
[00:02:22.000 --> 00:02:25.000]  耶穌是世界的光
[00:02:25.000 --> 00:02:28.000]  我們很容易想到聖誕節
[00:02:28.000 --> 00:02:30.000]  聖誕節是一個很快樂的日子
[00:02:30.000 --> 00:02:32.000]  因為聖誕節是送禮物
[00:02:32.000 --> 00:02:34.000]  不是啊
[00:02:34.000 --> 00:02:36.000]  你還沒有收禮物呢
[00:02:36.000 --> 00:02:37.000]  是不是呢
[00:02:37.000 --> 00:02:39.000]  很快就有了
[00:02:39.000 --> 00:02:43.000]  我們去商場很開心
[00:02:43.000 --> 00:02:45.000]  因為我們能夠將一份心意
[00:02:45.000 --> 00:02:47.000]  送給我們的親人
[00:02:47.000 --> 00:02:51.000]  我們又可能會收到意想不到的禮物
[00:02:51.000 --> 00:02:53.000]  聖誕節還有什麼呢
[00:02:53.000 --> 00:02:55.000]  吃大餐
[00:02:55.000 --> 00:02:57.000]  聖誕大餐
[00:02:57.000 --> 00:02:58.000]  很多東西吃
[00:02:58.000 --> 00:02:59.000]  有火雞
[00:02:59.000 --> 00:03:01.000]  雖然我不太喜歡吃
[00:03:01.000 --> 00:03:03.000]  但是有很多東西
[00:03:03.000 --> 00:03:05.000]  總之聖誕節就是給我們一個
[00:03:05.000 --> 00:03:07.000]  很快樂的日子
[00:03:07.000 --> 00:03:10.000]  聖誕節也是很多人盡情的歡樂
[00:03:10.000 --> 00:03:13.000]  因為有幾天的假期
[00:03:13.000 --> 00:03:15.000]  我們去買東西
[00:03:15.000 --> 00:03:17.000]  購物
[00:03:17.000 --> 00:03:19.000]  趁著這個機會
[00:03:19.000 --> 00:03:23.000]  每一個店鋪都將燈結彩
[00:03:23.000 --> 00:03:25.000]  很多新的東西出來
[00:03:25.000 --> 00:03:30.000]  又大減價等等的東西
[00:03:30.000 --> 00:03:32.000]  在聖誕節
[00:03:32.000 --> 00:03:34.000]  雲雲縱生這麼多禮物的時候
[00:03:34.000 --> 00:03:36.000]  我想大家留意
[00:03:36.000 --> 00:03:41.000]  其實上天給了我們一件好的禮物
[00:03:41.000 --> 00:03:43.000]  是我們每個人都有的
[00:03:43.000 --> 00:03:46.000]  我們不需要去外面求
[00:03:46.000 --> 00:03:47.000]  去找
[00:03:47.000 --> 00:03:49.000]  我們回顧自己
[00:03:49.000 --> 00:03:53.000]  原來上帝已經給了我們一份很美麗的禮物
[00:03:53.000 --> 00:03:55.000]  當我們回顧自己的時候
[00:03:55.000 --> 00:03:57.000]  我們發現我們人很聰明
[00:03:57.000 --> 00:03:59.000]  很奇妙
[00:03:59.000 --> 00:04:03.000]  我們人的腦裏面有很多細胞
[00:04:03.000 --> 00:04:04.000]  120億很多
[00:04:04.000 --> 00:04:07.000]  還有我們的神經系統
[00:04:07.000 --> 00:04:08.000]  支配著我們
[00:04:08.000 --> 00:04:09.000]  我們的思維
[00:04:09.000 --> 00:04:10.000]  我們的活動
[00:04:10.000 --> 00:04:11.000]  我們的吃東西
[00:04:11.000 --> 00:04:12.000]  我們的玩
[00:04:12.000 --> 00:04:14.000]  我們的眼睛
[00:04:14.000 --> 00:04:15.000]  我們的耳朵
[00:04:15.000 --> 00:04:17.000]  不需要詳細說
[00:04:17.000 --> 00:04:19.000]  我們知道原來我們身體很奇妙
[00:04:19.000 --> 00:04:22.000]  不過更加奇妙就是
[00:04:22.000 --> 00:04:24.000]  在這麼多人裏面
[00:04:24.000 --> 00:04:25.000]  竟然沒有一個相同
[00:04:25.000 --> 00:04:27.000]  如果我叫你畫畫
[00:04:27.000 --> 00:04:28.000]  你畫兩個人
[00:04:28.000 --> 00:04:29.000]  不相同
[00:04:29.000 --> 00:04:30.000]  很容易
[00:04:30.000 --> 00:04:31.000]  畫十個
[00:04:31.000 --> 00:04:32.000]  畫就可以
[00:04:32.000 --> 00:04:34.000]  如果你要畫一百個人
[00:04:34.000 --> 00:04:36.000]  完全不一樣就很困難
[00:04:36.000 --> 00:04:38.000]  畫一千個人更加困難
[00:04:38.000 --> 00:04:40.000]  但是在這個世界上
[00:04:40.000 --> 00:04:42.000]  竟然間沒有一個人相同
