
[00:00:00.000 --> 00:00:04.000]  各位大姐姊姊平安
[00:00:04.000 --> 00:00:09.000]  很開心今年是第一次在大家當中分享
[00:00:09.000 --> 00:00:14.000]  新的一年盼望大家都有新的因典
[00:00:14.000 --> 00:00:16.000]  有新的發展 新的突破
[00:00:16.000 --> 00:00:22.000]  我記得我去年12月3日和大家分享了一篇史道行傳24章至26章
[00:00:22.000 --> 00:00:24.000]  題目叫見證神
[00:00:24.000 --> 00:00:28.000]  不是不可能 只是不容易
[00:00:28.000 --> 00:00:30.000]  今天和大家分享的是羅亞
[00:00:30.000 --> 00:00:34.000]  題目是不容易 不是不可能
[00:00:34.000 --> 00:00:38.000]  下次可能就是不容易 就是不容易
[00:00:38.000 --> 00:00:41.000]  再下一次就是不可能 就是不可能
[00:00:41.000 --> 00:00:43.000]  我也不知道為什麼這麼喜歡這兩個字
[00:00:43.000 --> 00:00:45.000]  不過當我讀羅亞的新評
[00:00:45.000 --> 00:00:47.000]  當我接到這個題目
[00:00:47.000 --> 00:00:49.000]  我就開始去看有關羅亞的經文
[00:00:49.000 --> 00:00:51.000]  除了《創世紀》第6至第9章
[00:00:51.000 --> 00:00:54.000]  然後就是《希伯來書》和《彼得前後書》
[00:00:54.000 --> 00:00:56.000]  都提到羅亞的新評
[00:00:56.000 --> 00:01:00.000]  我發現《希伯來書》和《彼得前後書》
[00:01:00.000 --> 00:01:04.000]  都可以說是對他新評一些評語和總結
[00:01:04.000 --> 00:01:09.000]  而在《創世紀》第6至第9章就提到他的新評
[00:01:09.000 --> 00:01:12.000]  他的評語是來自他的人生
[00:01:12.000 --> 00:01:14.000]  他的評語不是空穴來風
[00:01:14.000 --> 00:01:17.000]  因為空穴來風是事必由因
[00:01:17.000 --> 00:01:20.000]  所以他只能夠被神評論
[00:01:20.000 --> 00:01:23.000]  因為他一生當中所行所表現
[00:01:23.000 --> 00:01:27.000]  以至能夠最後有人生的結論
[00:01:27.000 --> 00:01:28.000]  我有時候就
[00:01:28.000 --> 00:01:30.000]  基督徒有一點
[00:01:30.000 --> 00:01:31.000]  不是有一點
[00:01:31.000 --> 00:01:33.000]  很多時候我們百無禁忌
[00:01:33.000 --> 00:01:37.000]  有時候和一些同工和弟兄姐妹我們聊天
[00:01:37.000 --> 00:01:39.000]  我記得有一次印象很深
[00:01:39.000 --> 00:01:42.000]  和幾個人聊天
[00:01:42.000 --> 00:01:44.000]  說我們的安息禮拜
[00:01:44.000 --> 00:01:45.000]  真是好笑
[00:01:45.000 --> 00:01:47.000]  說安息禮拜
[00:01:47.000 --> 00:01:49.000]  我記得有一個牧者說得很好
[00:01:49.000 --> 00:01:52.000]  他說希望我死的時候
[00:01:52.000 --> 00:01:54.000]  人來參加我的安息禮拜
[00:01:54.000 --> 00:01:55.000]  不是說
[00:01:55.000 --> 00:01:57.000]  好了他走了
[00:01:57.000 --> 00:01:59.000]  而是說
[00:01:59.000 --> 00:02:00.000]  哎呀他走了
[00:02:00.000 --> 00:02:02.000]  明明有不同的
[00:02:02.000 --> 00:02:03.000]  有些人說
[00:02:03.000 --> 00:02:05.000]  他早走就好了
[00:02:05.000 --> 00:02:07.000]  有些人說為甚麼走得這麼早
[00:02:07.000 --> 00:02:10.000]  我發現大家聊下去的時候
[00:02:10.000 --> 00:02:11.000]  後來結論是甚麼呢
[00:02:11.000 --> 00:02:14.000]  你想安息禮拜人怎樣來
[00:02:14.000 --> 00:02:16.000]  在乎你現在怎樣對人
[00:02:16.000 --> 00:02:17.000]  對不對
[00:02:17.000 --> 00:02:18.000]  你怎樣對人
[00:02:18.000 --> 00:02:20.000]  將來人家怎樣來
[00:02:20.000 --> 00:02:21.000]  不要過來
[00:02:21.000 --> 00:02:22.000]  人家安息禮拜
[00:02:22.000 --> 00:02:23.000]  好了他終於走了
[00:02:23.000 --> 00:02:24.000]  等了很久
[00:02:24.000 --> 00:02:26.000]  那就不好了
[00:02:26.000 --> 00:02:28.000]  我們大家聊天聊了很多這些
[00:02:28.000 --> 00:02:29.000]  一個人的人生
[00:02:29.000 --> 00:02:32.000]  其實不只是看他今天是怎樣
[00:02:32.000 --> 00:02:33.000]  因為你要明白
[00:02:33.000 --> 00:02:34.000]  一個人的今天
[00:02:34.000 --> 00:02:35.000]  是由於他的過去
[00:02:35.000 --> 00:02:37.000]  沒有過去沒有今天
[00:02:37.000 --> 00:02:40.000]  我以前曾經遇到一位弟兄
[00:02:40.000 --> 00:02:42.000]  他和另一位弟兄有些爭執
[00:02:42.000 --> 00:02:44.000]  我經常提醒他
[00:02:44.000 --> 00:02:45.000]  他說這個弟兄
[00:02:45.000 --> 00:02:47.000]  說話不懂說
[00:02:47.000 --> 00:02:49.000]  說話說錯了
[00:02:49.000 --> 00:02:50.000]  我問他知不知道
[00:02:50.000 --> 00:02:52.000]  如果你真的知道這個弟兄的過去
[00:02:52.000 --> 00:02:54.000]  你是會接受他的現在
[00:02:54.000 --> 00:02:56.000]  以前說話是沒有一句對
[00:02:56.000 --> 00:02:57.000]  沒有一句準
[00:02:57.000 --> 00:02:59.000]  現在十句都有一句對
[00:02:59.000 --> 00:03:01.000]  所以你都能夠知道他過去
[00:03:01.000 --> 00:03:03.000]  能夠接受他現在
[00:03:03.000 --> 00:03:05.000]  那個弟兄跟我反應很好笑
[00:03:05.000 --> 00:03:07.000]  他說我不知道他過去
[00:03:07.000 --> 00:03:08.000]  也沒有興趣
[00:03:08.000 --> 00:03:10.000]  我只知道我接受不到他的現在
[00:03:10.000 --> 00:03:13.000]  其實這個弟兄本身的現在
[00:03:13.000 --> 00:03:14.000]  也很有問題
[00:03:14.000 --> 00:03:16.000]  但我自己另一句說話說
[00:03:16.000 --> 00:03:18.000]  當你看見一個人的現在
[00:03:18.000 --> 00:03:20.000]  明白他的過去
[00:03:20.000 --> 00:03:23.000]  所以今天對某些事
