
[00:00:00.000 --> 00:00:07.000]  聖經裏面怎樣討論教會和社會
[00:00:07.000 --> 00:00:11.000]  不是直接講今日
[00:00:11.000 --> 00:00:17.000]  但聖經是很詳細解給我們聽
[00:00:17.000 --> 00:00:22.000]  上帝選召以色列十二支派
[00:00:22.000 --> 00:00:25.000]  他們是教會
[00:00:25.000 --> 00:00:29.000]  他們是上帝所揀選的
[00:00:29.000 --> 00:00:32.000]  我們今日也是上帝所揀選
[00:00:32.000 --> 00:00:34.000]  一脈相承
[00:00:34.000 --> 00:00:36.000]  聖承耶路撒冷
[00:00:36.000 --> 00:00:39.000]  十二支派
[00:00:39.000 --> 00:00:41.000]  十二使徒
[00:00:41.000 --> 00:00:46.000]  舊約聖經將以色列的歷史
[00:00:46.000 --> 00:00:49.000]  從開始
[00:00:49.000 --> 00:00:51.000]  不是到結束 未結束
[00:00:51.000 --> 00:00:56.000]  不過在舊約的歷史記載裏面
[00:00:56.000 --> 00:01:01.000]  不單止將一些事件記載下來
[00:01:01.000 --> 00:01:04.000]  最寶貴的是
[00:01:04.000 --> 00:01:08.000]  聖經解釋給我們聽
[00:01:08.000 --> 00:01:11.000]  上帝在做甚麼
[00:01:11.000 --> 00:01:15.000]  譬如剛才我們所讀的
[00:01:15.000 --> 00:01:18.000]  《耳塞俠書》49章
[00:01:18.000 --> 00:01:22.000]  第一節到第六節
[00:01:22.000 --> 00:01:25.000]  我們從尾看回頭
[00:01:25.000 --> 00:01:28.000]  最後的兩句說話
[00:01:28.000 --> 00:01:32.000]  上帝說:我還要使你作外邦人的光
[00:01:32.000 --> 00:01:36.000]  叫你施行我的救恩
[00:01:36.000 --> 00:01:39.000]  直到地極
[00:01:39.000 --> 00:01:41.000]  這句說話我們其實很熟悉
[00:01:41.000 --> 00:01:44.000]  不過我們熟悉的經文是
[00:01:44.000 --> 00:01:47.000]  《使徒行傳》第一章第八節
[00:01:47.000 --> 00:01:50.000]  「但聖靈降臨在你們身上」
[00:01:50.000 --> 00:01:51.000]  懂不懂得背?
[00:01:51.000 --> 00:01:53.000]  沒理由不懂得
[00:01:53.000 --> 00:01:55.000]  「你們就必得著能力
[00:01:55.000 --> 00:02:01.000]  並要在耶路撒冷、猶太傳地、撒瑪利亞
[00:02:01.000 --> 00:02:05.000]  直到地極作我的見證」
[00:02:05.000 --> 00:02:08.000]  這個「直到地極」
[00:02:08.000 --> 00:02:11.000]  你說《使徒行傳》28章
[00:02:11.000 --> 00:02:14.000]  保羅只是去到羅馬而已
[00:02:14.000 --> 00:02:16.000]  條條大道通羅馬
[00:02:16.000 --> 00:02:18.000]  怎麼去到地極?
[00:02:18.000 --> 00:02:21.000]  起碼他應該派提摩太去北極
[00:02:21.000 --> 00:02:23.000]  推基古去南極
[00:02:23.000 --> 00:02:25.000]  這樣才是地極
[00:02:25.000 --> 00:02:30.000]  其實《使徒行傳》沒有解錯
[00:02:30.000 --> 00:02:33.000]  這個「直到地極」
[00:02:33.000 --> 00:02:39.000]  在聖經裡不是一個地理上的概念
[00:02:39.000 --> 00:02:43.000]  《使徒行傳》一章第八節的地極典故
[00:02:43.000 --> 00:02:47.000]  是《耳塞俠書》49章第六節
[00:02:47.000 --> 00:02:49.000]  這個「直到地極」
[00:02:49.000 --> 00:02:52.000]  這個地極平行句
[00:02:52.000 --> 00:02:56.000]  上半句是「作外邦人的光」
[00:02:56.000 --> 00:03:02.000]  下半句是「施行請救救恩直到地極」
[00:03:02.000 --> 00:03:06.000]  所以地極是指外邦
[00:03:06.000 --> 00:03:09.000]  亞伯拉罕的約
[00:03:09.000 --> 00:03:11.000]  萬光
[00:03:11.000 --> 00:03:16.000]  上帝揀選以色列的目的
[00:03:16.000 --> 00:03:20.000]  是要成為外邦人的光
[00:03:20.000 --> 00:03:25.000]  是要施行上帝的救恩
[00:03:25.000 --> 00:03:29.000]  在外邦的當中
[00:03:29.000 --> 00:03:31.000]  直到地極
[00:03:31.000 --> 00:03:35.000]  這一段一至六節很短
[00:03:35.000 --> 00:03:39.000]  但是也幫助我們明白了
[00:03:39.000 --> 00:03:42.000]  《耳塞俠書》又是一個根深蒂固
[00:03:42.000 --> 00:03:46.000]  爭論了兩百年的問題
