
[00:00:00.000 --> 00:00:07.000]  今天的題目是給耶穌的生日禮物
[00:00:07.000 --> 00:00:09.000]  大家有沒有帶禮物來送給耶穌?
[00:00:09.000 --> 00:00:12.000]  有啊 等一下就放在這裡
[00:00:12.000 --> 00:00:15.000]  就代表送給耶穌的生日禮物
[00:00:15.000 --> 00:00:20.000]  聖誕的故事我相信很多人都很熟悉
[00:00:20.000 --> 00:00:24.000]  就算你信不信耶穌都很熟悉聖誕節這個故事
[00:00:24.000 --> 00:00:26.000]  或者關於耶穌出生
[00:00:26.000 --> 00:00:28.000]  如果這一刻我叫你去幻想一下
[00:00:28.000 --> 00:00:32.000]  耶穌出生的那個晚上
[00:00:32.000 --> 00:00:36.000]  你會想到在你的腦海裡有什麼圖畫呢?
[00:00:36.000 --> 00:00:39.000]  會不會是類似這一幅圖畫呢?
[00:00:39.000 --> 00:00:42.000]  有什麼呢?
[00:00:42.000 --> 00:00:45.000]  有羊啦 是不是?
[00:00:45.000 --> 00:00:47.000]  有嬰兒耶穌啦
[00:00:47.000 --> 00:00:49.000]  還有什麼人你是認識的?
[00:00:49.000 --> 00:00:53.000]  有三博士啦 是不是?
[00:00:53.000 --> 00:00:55.000]  然後又有木桶啦 是不是?
[00:00:55.000 --> 00:00:59.000]  有耶穌的媽媽瑪利亞
[00:00:59.000 --> 00:01:01.000]  有祂的爸爸
[00:01:01.000 --> 00:01:03.000]  如果我想說
[00:01:03.000 --> 00:01:08.000]  其實這個是聖誕卡誤導大家的
[00:01:08.000 --> 00:01:11.000]  其實現實不是這樣的
[00:01:11.000 --> 00:01:13.000]  真正不是這樣發生的
[00:01:13.000 --> 00:01:15.000]  不是那些人在這裡
[00:01:15.000 --> 00:01:17.000]  你說不是吧?
[00:01:17.000 --> 00:01:19.000]  我們今天就從聖經去看
[00:01:19.000 --> 00:01:21.000]  究竟真相是怎樣的
[00:01:21.000 --> 00:01:23.000]  不過又不能怪大家
[00:01:23.000 --> 00:01:25.000]  所以我就播了一首歌
[00:01:25.000 --> 00:01:27.000]  看了一首很出名的聖詩
[00:01:27.000 --> 00:01:29.000]  看看大家認不認識
[00:01:29.000 --> 00:01:31.000]  這首歌叫做The First Noel
[00:01:31.000 --> 00:01:33.000]  大家認不認識這首歌?
[00:01:33.000 --> 00:01:35.000]  是怎樣唱的?
[00:01:35.000 --> 00:01:37.000]  示範一下可不可以唱幾句?
[00:01:37.000 --> 00:01:41.000]  (唱)
[00:01:41.000 --> 00:01:43.000]  很高音的嘛 是不是?
[00:01:43.000 --> 00:01:45.000]  這首歌說什麼呢?
[00:01:45.000 --> 00:01:47.000]  這裡就說Born is the King
[00:01:47.000 --> 00:01:49.000]  有個皇帝在以色列誕生
[00:01:49.000 --> 00:01:51.000]  我想問這個皇是誰?
[00:01:51.000 --> 00:01:57.000]  這個皇是誰?
[00:01:57.000 --> 00:01:59.000]  耶穌啦 是不是?
[00:01:59.000 --> 00:02:01.000]  耶穌就是那個新生的皇
[00:02:01.000 --> 00:02:03.000]  大家都答得很好
[00:02:03.000 --> 00:02:05.000]  然後下一句歌詞
[00:02:05.000 --> 00:02:07.000]  They looked up and saw a star
[00:02:07.000 --> 00:02:09.000]  這個day是指什麼人?
[00:02:09.000 --> 00:02:11.000]  這個day
[00:02:11.000 --> 00:02:13.000]  就是說他們
[00:02:13.000 --> 00:02:15.000]  看上去看到一顆星
[00:02:15.000 --> 00:02:17.000]  這個day是指誰?
[00:02:17.000 --> 00:02:19.000]  很多人就說三博士
[00:02:19.000 --> 00:02:21.000]  對一點 不對一點
[00:02:21.000 --> 00:02:23.000]  一會兒我再解釋
