
[00:00:00.000 --> 00:00:06.000]  前兩次是針對醫生和病人的關係來說
[00:00:06.000 --> 00:00:11.000]  這一次就特別是對病人自己的態度
[00:00:11.000 --> 00:00:13.000]  也是最不容易的
[00:00:13.000 --> 00:00:18.000]  能夠適當地調教好自己的態度
[00:00:18.000 --> 00:00:22.000]  你就會有一個最有效的策略
[00:00:22.000 --> 00:00:24.000]  來對付這個癌魔
[00:00:24.000 --> 00:00:28.000]  所以我們就要做一個最好的策略
[00:00:28.000 --> 00:00:30.000]  對付這個癌魔
[00:00:30.000 --> 00:00:34.000]  所以我們就說天助自助
[00:00:34.000 --> 00:00:39.000]  我們會分兩個方面來討論
[00:00:39.000 --> 00:00:42.000]  第一部分就是論病人
[00:00:42.000 --> 00:00:49.000]  他怎樣和為何會消極放棄這個問題
[00:00:49.000 --> 00:00:51.000]  他們最大的問題
[00:00:51.000 --> 00:00:54.000]  就是忽略了人身體裏
[00:00:54.000 --> 00:00:59.000]  是有一種很奇妙的治癒能力
[00:00:59.000 --> 00:01:04.000]  第二部分我們會討論一個積極的對付
[00:01:04.000 --> 00:01:10.000]  亦包括了不可以做和可以做的事
[00:01:10.000 --> 00:01:17.000]  這些意見都是經過實驗來證明有效
[00:01:17.000 --> 00:01:20.000]  希望對你都有同樣的幫助
[00:01:20.000 --> 00:01:24.000]  至於後面的經文和圖文
[00:01:24.000 --> 00:01:30.000]  都是經歷過很深的苦難人寫成的
[00:01:30.000 --> 00:01:32.000]  他們所說的東西
[00:01:32.000 --> 00:01:34.000]  常常都是我們想說
[00:01:34.000 --> 00:01:40.000]  但又找不到言辭來表達的那種心情
[00:01:40.000 --> 00:01:42.000]  (字幕:貝爾)
[00:01:42.000 --> 00:01:44.000]  (字幕:貝爾)
[00:01:45.000 --> 00:01:48.000]  詩篇69篇1至3節
[00:01:48.000 --> 00:01:51.000]  13至21節
[00:01:51.000 --> 00:01:54.000]  29至34節
[00:01:55.000 --> 00:01:58.000]  神啊!求祢救我
[00:01:58.000 --> 00:02:02.000]  因為縱水要淹沒我
[00:02:02.000 --> 00:02:04.000]  我陷在深雨泥中
[00:02:04.000 --> 00:02:07.000]  沒有立腳之地
[00:02:07.000 --> 00:02:09.000]  我到了深水中
[00:02:09.000 --> 00:02:12.000]  大水漫過我身
[00:02:12.000 --> 00:02:14.000]  我因腹瘤困乏
[00:02:14.000 --> 00:02:16.000]  喉嚨發乾
[00:02:16.000 --> 00:02:18.000]  我因等候神
[00:02:18.000 --> 00:02:20.000]  眼睛失明
[00:02:20.000 --> 00:02:23.000]  但我在月立的時候
[00:02:23.000 --> 00:02:26.000]  向祢耶和華祈禱
[00:02:26.000 --> 00:02:30.000]  神啊!求祢按祢豐盛的慈愛
[00:02:30.000 --> 00:02:34.000]  憑祢拯救的誠實應允我
[00:02:34.000 --> 00:02:37.000]  求祢答救我出泥雨泥
[00:02:37.000 --> 00:02:40.000]  不叫我陷在其中
[00:02:40.000 --> 00:02:43.000]  求祢使我脫離那些恨我的人
[00:02:43.000 --> 00:02:47.000]  使我出泥深水
[00:02:47.000 --> 00:02:50.000]  求祢不用大水漫過我
[00:02:50.000 --> 00:02:52.000]  不用心冤吞滅我
