
[00:00:00.000 --> 00:00:06.720]  好 今天就跟隨教會的安排
[00:00:06.720 --> 00:00:09.880]  就要跟大家分享約翰一書
[00:00:09.880 --> 00:00:12.680]  我集中在約翰一書
[00:00:12.680 --> 00:00:15.320]  我不知道陳夢有沒有安排人講約翰二、三
[00:00:15.320 --> 00:00:16.800]  不過我不管了 OK
[00:00:16.800 --> 00:00:21.920]  我選了約翰一書的四章七節開始的一段
[00:00:21.920 --> 00:00:24.720]  我們都讀完這節的經文
[00:00:24.720 --> 00:00:26.640]  然後繼續進入講道
[00:00:26.640 --> 00:00:28.840]  好 如果你在家裏的都邀請你
[00:00:28.840 --> 00:00:33.120]  可以拿著聖經 紙也好 手機也好
[00:00:33.120 --> 00:00:35.240]  跟我一起讀完這段經文
[00:00:35.240 --> 00:00:37.800]  約翰一書四章七節開始
[00:00:37.800 --> 00:00:42.120]  「親愛的弟兄 我們應當彼此相愛
[00:00:42.120 --> 00:00:44.800]  因為愛是從神來的
[00:00:44.800 --> 00:00:48.160]  凡有愛心的都是由神而生
[00:00:48.160 --> 00:00:50.560]  並且認識神
[00:00:50.560 --> 00:00:53.320]  沒有愛心的就不認識神
[00:00:53.320 --> 00:00:55.960]  因為神就是愛
[00:00:55.960 --> 00:00:59.000]  神差他獨生子到世間來
[00:00:59.000 --> 00:01:02.760]  使我們藉著他得生
[00:01:02.760 --> 00:01:07.680]  神愛我們的心在此顯明了
[00:01:07.680 --> 00:01:11.640]  不是我們愛神 乃是神愛我們
[00:01:11.640 --> 00:01:16.800]  差他的兒子為我們的罪作了挽回制
[00:01:16.800 --> 00:01:18.840]  這就是愛了
[00:01:18.840 --> 00:01:22.760]  親愛的弟兄 神既是這樣愛我們
[00:01:22.760 --> 00:01:26.080]  我們也當彼此相愛
[00:01:26.080 --> 00:01:28.720]  從來沒有人見過神
[00:01:28.720 --> 00:01:31.080]  我們若彼此相愛
[00:01:31.080 --> 00:01:33.560]  神就在我們裏面
[00:01:33.560 --> 00:01:39.520]  愛他的心在我們裏面得以完全了
[00:01:39.520 --> 00:01:42.240]  神將他的靈賜給我們
[00:01:42.240 --> 00:01:46.400]  從此就知道我們是住在他裏面
[00:01:46.400 --> 00:01:50.080]  他也住在我們裏面
[00:01:50.080 --> 00:01:53.280]  父差子作世人的救主
[00:01:53.280 --> 00:01:57.600]  這是我們所看見且作見證的
[00:01:57.600 --> 00:02:00.480]  凡認耶穌為神而子的
[00:02:00.480 --> 00:02:02.960]  神就住在他裏面
[00:02:02.960 --> 00:02:06.600]  他也住在神裏面
[00:02:06.600 --> 00:02:08.640]  神愛我們的心
[00:02:08.640 --> 00:02:11.440]  我們也知道也信
[00:02:11.440 --> 00:02:13.120]  神就是愛
[00:02:13.120 --> 00:02:14.760]  住在愛裏面的
[00:02:14.760 --> 00:02:17.120]  就是住在神裏面
[00:02:17.120 --> 00:02:20.200]  神也住在他裏面
[00:02:20.200 --> 00:02:24.080]  這樣愛在我們裏面得以完全
[00:02:24.080 --> 00:02:29.040]  我們就可以在審判的日子坦然無懼
[00:02:29.040 --> 00:02:30.560]  因為他如何
[00:02:30.560 --> 00:02:34.200]  我們在這世上也如何
[00:02:34.200 --> 00:02:36.080]  愛裏沒有恐懼
[00:02:36.080 --> 00:02:40.640]  愛的完全就把懼怕除去
[00:02:40.640 --> 00:02:43.680]  因為懼怕裏含著刑罰
[00:02:43.680 --> 00:02:47.080]  懼怕的人在愛裏未得完全
[00:02:47.080 --> 00:02:50.880]  我們愛因為神先愛我們
[00:02:50.880 --> 00:02:55.280]  孕若說:我愛神,卻恨他的弟兄
