
[00:00:00.000 --> 00:00:05.120]  慈思記第八章
[00:00:05.120 --> 00:00:09.720]  今天我們會說基殿最後的一個故事
[00:00:09.720 --> 00:00:15.000]  我給他的題目是「晚節不保的基殿」
[00:00:15.000 --> 00:00:17.400]  雖然我說他晚節不保
[00:00:17.400 --> 00:00:21.480]  但大家要記得在《樹希伯來書》第十一章
[00:00:21.480 --> 00:00:24.480]  有信心的龍虎榜
[00:00:24.480 --> 00:00:27.240]  但常高基殿榜上有名
[00:00:27.240 --> 00:00:29.520]  雖然我說他是晚節不保
[00:00:29.520 --> 00:00:34.800]  但我們看到他是一個在神的心目中有信心的人
[00:00:34.800 --> 00:00:40.600]  蘇格蘭的長老會有一個牧師叫做Andrew Bonner
[00:00:40.600 --> 00:00:42.200]  他曾經說過
[00:00:42.200 --> 00:00:49.000]  我們在勝利之前要一樣的有警惕
[00:00:49.000 --> 00:00:50.520]  一樣的警醒
[00:00:50.520 --> 00:00:54.320]  而在第二次世界大戰
[00:00:54.320 --> 00:00:57.600]  英國皇家空軍的心理學家
[00:00:57.600 --> 00:01:00.080]  一個專家說
[00:01:00.080 --> 00:01:06.040]  他注意到飛機師最大出現問題的時候是何時?
[00:01:06.040 --> 00:01:07.920]  不是打仗的時候
[00:01:07.920 --> 00:01:12.760]  而是他們完成了任務飛回基地的時候
[00:01:12.760 --> 00:01:15.720]  就是最多他們出現問題的時候
[00:01:15.720 --> 00:01:16.760]  為什麼?
[00:01:16.760 --> 00:01:19.120]  因為放下警覺
[00:01:19.120 --> 00:01:21.120]  放下防範
[00:01:21.120 --> 00:01:23.320]  就是最容易出錯
[00:01:23.320 --> 00:01:26.120]  今天我們看到基建
[00:01:26.120 --> 00:01:29.400]  他晚年的時候做了很多錯事
[00:01:29.400 --> 00:01:32.240]  在說基建做錯事之前
[00:01:32.240 --> 00:01:34.120]  我們還可以學習到
[00:01:34.120 --> 00:01:38.000]  其實基建還是做了很多正確的事
[00:01:38.000 --> 00:01:40.000]  然後才出錯
[00:01:40.000 --> 00:01:44.600]  例如他戰勝了十二萬的米殿大軍之後
[00:01:44.600 --> 00:01:47.920]  還有一萬五千的士兵在逃亡
[00:01:47.920 --> 00:01:49.920]  他繼續追趕
[00:01:49.920 --> 00:01:53.000]  在史詩記的八章四節
[00:01:53.000 --> 00:01:56.080]  說基建和跟隨他的三百人
[00:01:56.080 --> 00:01:58.560]  到約旦河過渡
[00:01:58.560 --> 00:02:00.120]  雖然疲乏
[00:02:00.120 --> 00:02:02.120]  仍然追趕
[00:02:02.120 --> 00:02:03.760]  他們已經很累了
[00:02:03.760 --> 00:02:06.120]  但仍然追趕著敵人
[00:02:06.120 --> 00:02:10.920]  這個和基建剛剛在說史詩記出現的時候
[00:02:10.920 --> 00:02:12.920]  是非常不同的
[00:02:12.920 --> 00:02:14.920]  那時候他是沒有信心
[00:02:14.920 --> 00:02:16.240]  他是很害怕
[00:02:16.240 --> 00:02:21.400]  現在他是很有信心繼續追趕他的敵人
[00:02:21.400 --> 00:02:23.920]  在史詩記的第八章
[00:02:23.920 --> 00:02:25.680]  其實是告訴我們
[00:02:25.680 --> 00:02:27.680]  基建得到勝利之後
