
[00:00:00.000 --> 00:00:05.800]  想問大家你覺得香港人快不快樂呢?
[00:00:05.800 --> 00:00:07.800]  有幾多人覺得香港人很快樂的?
[00:00:07.800 --> 00:00:08.600]  可不可以舉手?
[00:00:08.600 --> 00:00:09.600]  快樂?
[00:00:09.600 --> 00:00:12.600]  嘩!沒有那麼多
[00:00:12.600 --> 00:00:14.000]  很少
[00:00:14.000 --> 00:00:15.800]  其實我們不可以說
[00:00:15.800 --> 00:00:20.000]  看看隔離那個他不舉手就決定香港人快不快樂的
[00:00:20.000 --> 00:00:22.200]  我們要看數字的嘛,是不是?
[00:00:22.200 --> 00:00:24.800]  我就去看快樂指數
[00:00:24.800 --> 00:00:32.800]  我發覺原來快樂指數在香港是2022年跌得最厲害的
[00:00:32.800 --> 00:00:36.800]  之後跌幅就低了
[00:00:36.800 --> 00:00:39.800]  只跌了10%
[00:00:39.800 --> 00:00:41.800]  所以不用那麼緊張
[00:00:41.800 --> 00:00:44.400]  我們說開不開心呢?
[00:00:44.400 --> 00:00:46.800]  其實環境影響我們
[00:00:46.800 --> 00:00:49.800]  你上一次聽到好消息是什麼時候?
[00:00:49.800 --> 00:00:51.800]  什麼時候?
[00:00:51.800 --> 00:00:53.800]  剛剛過兩天
[00:00:53.800 --> 00:00:55.800]  有沒有聽到?
[00:00:55.800 --> 00:00:58.800]  哈馬斯放人
[00:00:58.800 --> 00:01:00.800]  記不記得?
[00:01:00.800 --> 00:01:04.800]  你看那些巴勒斯坦人回到他們的家園
[00:01:04.800 --> 00:01:06.800]  團歡敗瓦
[00:01:06.800 --> 00:01:09.800]  不過還沒放,星期一才放
[00:01:09.800 --> 00:01:13.800]  之後他們在電視台開了一個大會
[00:01:13.800 --> 00:01:15.800]  看到場面何等噓憾
[00:01:15.800 --> 00:01:19.800]  然後那些被擄的人
[00:01:19.800 --> 00:01:21.800]  協調的人
[00:01:21.800 --> 00:01:24.800]  他們出來講見證一個大會
[00:01:24.800 --> 00:01:28.800]  但其實大部分我們今天拿到的資訊消息
[00:01:28.800 --> 00:01:31.800]  其實都不是令我們快樂的
[00:01:31.800 --> 00:01:32.800]  同不同意?
[00:01:32.800 --> 00:01:36.800]  嘩,武戰爭打了多久?
[00:01:36.800 --> 00:01:38.800]  查理·克爾特記不記得?
