
[00:00:00.000 --> 00:00:08.520]  我們感謝主在多年來教會對加拿大神學院
[00:00:08.520 --> 00:00:11.020]  都有很多關心支持
[00:00:11.020 --> 00:00:15.320]  你們中間的三位傳播人都是我們的畢業生
[00:00:15.320 --> 00:00:19.620]  我們感謝你來接納來使用
[00:00:19.620 --> 00:00:20.620]  我們感謝主
[00:00:20.620 --> 00:00:25.920]  今年教會的主題是齊心承傳福音
[00:00:25.920 --> 00:00:30.720]  銳意建立門徒
[00:00:30.720 --> 00:00:35.720]  我們說要銳意刻意的去建造門徒
[00:00:35.720 --> 00:00:38.320]  當我們願意愛主
[00:00:38.320 --> 00:00:41.120]  願意成為主的門徒的時候
[00:00:41.120 --> 00:00:43.520]  你發現在我們的肉體裏面
[00:00:43.520 --> 00:00:46.320]  有一股力量會將我們拉下來
[00:00:46.320 --> 00:00:48.120]  我們說我們愛主
[00:00:48.120 --> 00:00:52.520]  但我們裏面有一股無形的力量
[00:00:52.520 --> 00:00:55.720]  在我們肉體裏面使我們犯罪
[00:00:55.720 --> 00:00:57.120]  使我們離開主
[00:00:57.120 --> 00:00:58.920]  使我們不願意祈禱
[00:00:58.920 --> 00:01:01.720]  這是每一個信徒所經歷的
[00:01:01.720 --> 00:01:04.520]  甚至保羅在《羅曼書》第七章裏面
[00:01:04.520 --> 00:01:07.320]  都說到我裏面願意做的
[00:01:07.320 --> 00:01:08.320]  我不做
[00:01:08.320 --> 00:01:09.720]  不願意做出來的事
[00:01:09.720 --> 00:01:11.320]  我竟然做出來
[00:01:11.320 --> 00:01:13.920]  他甚至發出一個很驚嘆的說
[00:01:13.920 --> 00:01:15.120]  我真是苦啊
[00:01:15.120 --> 00:01:18.520]  誰可以救我脫離這個取死的身體呢?
[00:01:18.520 --> 00:01:22.720]  這是每個教徒我們都要面對的
[00:01:22.720 --> 00:01:26.320]  今天我們來思想這個題目
[00:01:26.320 --> 00:01:31.520]  思想到究竟我們要做主的門徒
[00:01:31.520 --> 00:01:34.920]  我們應該怎樣從心裏面開始
[00:01:34.920 --> 00:01:37.320]  有一個警覺呢?
[00:01:37.320 --> 00:01:39.920]  從內心裏面有一個復興呢?
[00:01:39.920 --> 00:01:43.720]  所以今天我們從《以西傑先知書》裏面
[00:01:43.720 --> 00:01:45.720]  我們來思想
[00:01:45.720 --> 00:01:47.920]  《以西傑先知書》
[00:01:47.920 --> 00:01:49.920]  我們中間有些可能讀過
[00:01:49.920 --> 00:01:51.520]  有些可能未讀過
[00:01:51.520 --> 00:01:54.920]  或者不太明白裏面所講的訊息是甚麼
[00:01:54.920 --> 00:01:58.720]  我們讀聖經有時候除了要一章一節
[00:01:58.720 --> 00:02:02.120]  一個詞來思想之外
[00:02:02.120 --> 00:02:04.320]  我們還需要退後幾步
[00:02:04.320 --> 00:02:06.120]  看看它的全貌
[00:02:06.120 --> 00:02:08.720]  看看整本書究竟所講甚麼
[00:02:08.720 --> 00:02:11.720]  一個圖表可以幫助我們
[00:02:11.720 --> 00:02:14.920]  幫助我們將這48章
[00:02:14.920 --> 00:02:17.520]  這麼冗長的一本書
[00:02:17.520 --> 00:02:20.920]  來掌握究竟它所講的主題是甚麼呢?
[00:02:20.920 --> 00:02:23.320]  它可以分成兩部分
[00:02:23.320 --> 00:02:25.120]  它的主題是說
[00:02:25.120 --> 00:02:27.520]  這位公義的主
[00:02:27.520 --> 00:02:30.320]  見到他的子民有罪
[00:02:30.320 --> 00:02:31.720]  見到列國有罪的時候
[00:02:31.720 --> 00:02:35.920]  他會審判他的公義會臨到世上
[00:02:35.920 --> 00:02:38.120]  但審判不是最終的目的
[00:02:38.120 --> 00:02:40.120]  最終是叫我們能夠回轉
[00:02:40.120 --> 00:02:41.320]  能夠和他復和
[00:02:41.320 --> 00:02:42.720]  能夠有一個復興
[00:02:42.720 --> 00:02:45.920]  所以前面32章是講到審判的
[00:02:45.920 --> 00:02:47.920]  猶太人的罪他會審判
[00:02:47.920 --> 00:02:49.720]  列國的罪會審判
