
[00:00:00.000 --> 00:00:09.500]  在很多人的心目中教會是一個純粹精漏水的群體
[00:00:09.500 --> 00:00:17.680]  在很多人的心目中覺得教會好像比精漏水還要純正
[00:00:17.680 --> 00:00:22.680]  我記得我剛剛信主之後沒多久我去見我一班舊朋友
[00:00:22.680 --> 00:00:27.560]  我記得我新竹不久我見回我的舊朋友
[00:00:27.560 --> 00:00:33.680]  其中一位朋友在坐車的時候無端端跟我講了一句話
[00:00:33.680 --> 00:00:38.480]  在其中一位朋友在我們乘車的時候他就問了我一句話
[00:00:38.480 --> 00:00:40.600]  你現在就信了耶穌了
[00:00:40.600 --> 00:00:42.160]  他說你現在已經信了耶穌
[00:00:42.160 --> 00:00:44.760]  啊真是天使化身一樣
[00:00:44.760 --> 00:00:47.360]  就像天使的化身一樣
[00:00:47.360 --> 00:00:51.320]  甚至在教會裏面我曾經聽一些牧者這樣分享過
[00:00:51.320 --> 00:00:54.720]  甚至在教會裏面我們也聽見有些牧者這樣的分享
[00:00:54.720 --> 00:01:02.200]  今天在教會的生活其實就是為了將來在天堂的生活的初嘗天恩滋味的地方
[00:01:02.200 --> 00:01:06.720]  他說其實在教會裏面的生活是我們以後在天上
[00:01:06.720 --> 00:01:16.240]  在地上來出嘗在天堂的生活的甜味、滋味
[00:01:16.240 --> 00:01:19.920]  用清楚了
[00:01:19.920 --> 00:01:24.480]  我講到這裏描述到這裏的時候我就想問大家一條問題
[00:01:24.480 --> 00:01:27.560]  但我講到這裏的時候其實我想問你們一個問題
[00:01:27.560 --> 00:01:30.160]  你們也要很真誠地回答我
[00:01:30.160 --> 00:01:33.160]  你們也要非常真誠地回答我
[00:01:33.160 --> 00:01:39.800]  事實上在教會裏面的生活是不是真的這樣呢?
[00:01:39.800 --> 00:01:47.240]  事實上在教會裏面的生活是不是真的是這樣呢?
[00:01:47.240 --> 00:01:49.400]  可能當我這樣問之後
[00:01:49.400 --> 00:01:52.400]  也許當我這樣問之後
[00:01:52.400 --> 00:01:57.080]  你的回答是好像有些不是
[00:01:57.080 --> 00:02:01.440]  可能你的回答是好像不是這樣
[00:02:01.440 --> 00:02:06.320]  在教會裏面的生活似乎和一般的人所講
[00:02:06.320 --> 00:02:10.440]  甚至有些牧者的描述好像有些出入
[00:02:10.440 --> 00:02:13.720]  在教會裏面的生活好像跟一般的人所說
[00:02:13.720 --> 00:02:17.080]  甚至是牧者所講的好像有點出入
[00:02:17.080 --> 00:02:18.640]  如果你也有這樣的想法
[00:02:18.640 --> 00:02:20.400]  假如你也有這樣的想法
[00:02:20.400 --> 00:02:21.880]  我恭喜你
[00:02:21.880 --> 00:02:24.960]  因為你對上帝和對你自己都很誠實
[00:02:24.960 --> 00:02:28.000]  因為你對上帝和對你自己都很誠實
[00:02:28.000 --> 00:02:31.720]  因為在今天的教會裏面
[00:02:31.720 --> 00:02:36.200]  仍然天天時時刻刻地被罪所干擾著
[00:02:36.200 --> 00:02:39.480]  仍然天天時時刻刻地被罪來干擾
[00:02:39.480 --> 00:02:42.920]  也正因為這個緣故
[00:02:42.920 --> 00:02:48.480]  對於我們這些喜歡真心實踐上帝道理的信徒來說
[00:02:48.480 --> 00:02:53.760]  對於我們這些喜歡真心實踐上帝道理的信徒來說
[00:02:53.760 --> 00:02:57.600]  我們更加有困難地活出主的教訓
[00:02:57.600 --> 00:03:01.480]  我們會更加困難地活出主的教訓
[00:03:01.480 --> 00:03:05.480]  其實今天每一個教會裏面都存在這樣的問題
[00:03:05.480 --> 00:03:08.960]  其實今天每一個教會裏面都存在這樣的問題
[00:03:08.960 --> 00:03:10.400]  每一個信徒
[00:03:10.400 --> 00:03:14.840]  當他真的願意落心去實踐神的道理的時候
