
[00:00:00.000 --> 00:00:04.000]  我多謝你拍手掌
[00:00:04.000 --> 00:00:11.000]  我都 我諗出年下半年要入你地個團啦
[00:00:11.000 --> 00:00:15.000]  唔知第幾早
[00:00:15.000 --> 00:00:20.000]  開一早啦
[00:00:20.000 --> 00:00:29.000]  開一早 我好感恩呢 琴晚刻我喺旺角警署太子站對面嘅酒樓開消防員報到會
[00:00:29.000 --> 00:00:37.000]  開得成一個好大嘅恩典 因為我哋訂咗成20位酒
[00:00:37.000 --> 00:00:47.000]  喺一個月前決定退唔退酒席 即係憑信心 因為當時大家諗到太子站嘅情況點樣
[00:00:47.000 --> 00:00:54.000]  我哋仲喺對面紙廠中心嘅酒樓到搞報到會畀消防隊
[00:00:54.000 --> 00:01:02.000]  亦都有成200個消防員報名 係咪成功嘅 係感謝神開得成
[00:01:02.000 --> 00:01:09.000]  但我第一個感覺就係好耐冇去太子站 出嚟就感覺到好懦啊
[00:01:09.000 --> 00:01:14.000]  好懦啊 唔知係咪心理作用 好懦啊 好似煲窿嘢咁 好懦啊
[00:01:14.000 --> 00:01:22.000]  我諗起今日呢個題目 即係兩夫妻嘅關係有時都好懦啊
[00:01:22.000 --> 00:01:29.000]  三個可能 一個可能就懦 一個可能就聞唔到 即係冇知覺
[00:01:29.000 --> 00:01:35.000]  一個可能就好清新 當然清新關係就好好啦 即係有講有笑
[00:01:35.000 --> 00:01:41.000]  好有活力 都唔似結婚咁耐嘅嗰啲 力久常新
[00:01:41.000 --> 00:01:48.000]  但有啲真係好懦 我有幸運喺三年裏面我就係婚姻啟導中心嘅主席
[00:01:48.000 --> 00:01:55.000]  婚姻及兒童基督中心係一個基督教係一班精神科醫生心學家一齊搞嘅
[00:01:55.000 --> 00:01:59.000]  一個差唔多半義務嘅團體嚟嘅 咁我哋收好平嘅費用呢
[00:01:59.000 --> 00:02:06.000]  畀啲睇唔起專家 即係睇唔到啦 即係千幾蚊畀唔到我哋你個幾多我收幾多啦嗰啲咁樣
[00:02:06.000 --> 00:02:12.000]  咁但係做咗35年呢間機構呢 我睇到婚姻嘅問題係頭號好緊要嘅問題
[00:02:12.000 --> 00:02:19.000]  呢個題目就真係我唔識講 如果一個鐘頭都講唔到 個原因就係三個層次
[00:02:19.000 --> 00:02:32.000]  夫婦面對困難 交心就好似做團契 一陣間你分組傾就係夫婦 夫婦 點樣呢
[00:02:32.000 --> 00:02:40.000]  有乜嘢困難 即係咁樣已經夠你傾幾十年㗎啦 團契係夫婦面對乜嘢困難
[00:02:40.000 --> 00:02:52.000]  但係如果畀個輔導 或者一班基督徒係幫助人嗰啲呢 就會話夫婦如何如何面對困難 How 點做
[00:02:52.000 --> 00:03:00.000]  但如果做到報道層次呢 就係為什麼夫婦有困難呢
[00:03:00.000 --> 00:03:08.000]  呢個係一個好好傳福音嘅題目 點解兩公婆唔係好好祝福嘅咩 行婚禮嘅時候
[00:03:08.000 --> 00:03:13.000]  點解佢哋仲有咁多困難 年年有 個個月有 點解有呢
[00:03:13.000 --> 00:03:20.000]  呢三個係好精彩嘅題目嚟 好精彩好值得研究 即係如果你結婚好多年
[00:03:20.000 --> 00:03:30.000]  你應該花時間去諗下呢三樣嘢就係 有咩困難 點樣解決困難 同埋點解有困難 Why Why
[00:03:30.000 --> 00:03:35.000]  咁我喺輔導裏面 永遠啲人第一個問就問點解會咁樣
[00:03:35.000 --> 00:03:46.000]  點解好地地大家有一個係要 我自己人生遇過 即係11年前我帶佢去世係cancer 13年前佢患胰臟癌
[00:03:46.000 --> 00:03:56.000]  點解兩公婆咁好 我岳母就問我呢個問題 即係你哋咁好 結婚30年點解要死先呢 點解 Why Why
[00:03:56.000 --> 00:04:07.000]  咁但係呢個Why如果你解決唔到 跟住你發現到呢 你嘅日子係一個感覺到係好難受 係咪 所以要面對就係點樣解決
[00:04:07.000 --> 00:04:16.000]  但係唔止呢啲病嘅問題 即係唔止 性格呢 性格有排搞 所以我好鍾意將來我結婚之後
[00:04:16.000 --> 00:04:31.000]  我未來太太係一個好拍檔 佢叫我一齊去研究婚姻 以前我唔敢研究呢啲 老婆死咗研究咩 人哋會覺得你係講啲你教歷史就差唔多
[00:04:31.000 --> 00:04:41.000]  你以前結婚 老婆死咗11年講咩 但係而家又有個實習導師喺度呢就係講未來 咁又教得過
[00:04:41.000 --> 00:04:49.000]  即係我要講啲我自己經歷緊嘅嘢 即係我冇經歷過講咩啫 講人哋嘅嘢無謂講咁樣 咁今日呢我就把握時間
[00:04:49.000 --> 00:05:00.000]  我就集中點講呢就係什麼有咩困難 其實已經夠你諗㗎啦 咁我揀譬如我哋50分鐘講呢 我講10個
[00:05:00.000 --> 00:05:17.000]  你聽完之後覺得呢冇喎 咁樣我諗你今晚即刻慶祝 當然有個危險就係你冇咗知覺所以你冇啫 你好囉喎咁樣 咁你好嘢 好囉喎咁樣 嘩好精彩呀 你一定要參加夫婦團契
[00:05:17.000 --> 00:05:35.000]  你返去再研究過 咁囉喎點解變咗清新呢 裡面一定有啲婚組呢 有啲人真係個關係好清新 結婚有趣嘅地方就係你睇個樣睇唔出嘅 有啲呢你覺得佢結婚好多年嘅 其實啱結婚嘅可能係
[00:05:35.000 --> 00:05:57.000]  但有啲結婚好耐呢 你會感覺到佢哋唔似結婚嘅 點解呢 佢唔識嘅 所以有時教會係唯一嘅地方呢 我諗唯一嘅地方係社交場合呢 係兩個好近咁行入門口嘅啫 其他場合就唔係 酒樓就唔係 一個入咗嚟好耐 另一個就嚟嘅 即係好唔同
[00:05:57.000 --> 00:06:18.000]  今日第一個問題啦 我希望你好有興趣研究 如果有興趣你日日可以 我而家喺工理堂16樓有個研究中心呢 我想出年去做一啲工作坊 差唔多要一日㗎 第一個問題係咩呢 一個過渡嘅問題 咩叫過渡呢
