
[00:00:00.000 --> 00:00:06.220]  今天我去到希伯來書最後一講
[00:00:06.220 --> 00:00:08.220]  跟大家分享的時候
[00:00:08.220 --> 00:00:14.000]  幫助大家做一個簡單的總結
[00:00:14.000 --> 00:00:17.720]  希伯來書的一章到十二章
[00:00:17.720 --> 00:00:21.900]  是帶出兩樣非常重要的主題
[00:00:21.900 --> 00:00:25.340]  來給那些猶太人
[00:00:25.340 --> 00:00:26.940]  但是他信了主
[00:00:26.940 --> 00:00:28.940]  信了一段時間
[00:00:28.940 --> 00:00:33.500]  他想回頭離開基督的信仰
[00:00:33.500 --> 00:00:35.500]  回到猶太教當中
[00:00:35.500 --> 00:00:40.500]  而作者藉著兩個非常重要的主題
[00:00:40.500 --> 00:00:42.500]  來提醒他們
[00:00:42.500 --> 00:00:46.500]  第一個主題是基督論
[00:00:46.500 --> 00:00:50.800]  我們的主耶穌基督是無可比擬的主基督
[00:00:50.800 --> 00:00:52.800]  他遠勝天使
[00:00:52.800 --> 00:00:54.800]  遠勝祭司
[00:00:54.800 --> 00:00:56.800]  遠勝先知
[00:00:56.800 --> 00:00:58.800]  遠勝君王
[00:00:58.800 --> 00:01:00.800]  是無可比擬的
[00:01:00.800 --> 00:01:04.800]  當他們要考慮離開基督的信仰
[00:01:04.800 --> 00:01:06.800]  走回猶太教的時候
[00:01:06.800 --> 00:01:08.800]  他們要謹謹記住
[00:01:08.800 --> 00:01:12.800]  我們的主基督是高於天之上
[00:01:12.800 --> 00:01:18.800]  是和耶和華神和聖靈三二一一二三的真實
[00:01:18.800 --> 00:01:22.800]  離開祂其實就是離開真實
[00:01:22.800 --> 00:01:24.800]  第二部分
[00:01:24.800 --> 00:01:26.800]  希伯來書的作者也說到
[00:01:26.800 --> 00:01:28.800]  我們今天承受的救恩
[00:01:28.800 --> 00:01:30.800]  是一個完備的救恩
[00:01:30.800 --> 00:01:34.800]  一個真正重生得救的人
[00:01:34.800 --> 00:01:36.800]  他的救恩永不失落
[00:01:36.800 --> 00:01:39.800]  但是如果他離棄這個真道的時候
[00:01:39.800 --> 00:01:41.800]  神會有管教
[00:01:41.800 --> 00:01:43.800]  臨到他的身上
[00:01:43.800 --> 00:01:45.800]  但是當他自己本身
[00:01:45.800 --> 00:01:47.800]  由頭到尾對我們的主基督
[00:01:47.800 --> 00:01:50.800]  這種認同還沒有建立的時候
[00:01:50.800 --> 00:01:52.800]  他是由頭到尾
[00:01:52.800 --> 00:01:56.800]  其實還沒有經歷過救恩
[00:01:56.800 --> 00:01:59.800]  另一方面
[00:01:59.800 --> 00:02:02.800]  希伯來書的作者也告訴我們
[00:02:02.800 --> 00:02:04.800]  當管教臨到我們身上的時候
[00:02:04.800 --> 00:02:08.800]  管教本身其實是出於神的愛
[00:02:08.800 --> 00:02:11.800]  證明我們是親生兒子
[00:02:11.800 --> 00:02:13.800]  不是收養的
[00:02:13.800 --> 00:02:17.800]  就是因為他看我們是親生子女
[00:02:17.800 --> 00:02:20.800]  以致當我們行差踏錯的時候
[00:02:20.800 --> 00:02:22.800]  被我們有管教
[00:02:22.800 --> 00:02:24.800]  就證明他愛我們
[00:02:24.800 --> 00:02:26.800]  他想我們回頭
[00:02:26.800 --> 00:02:28.800]  在我們教會裡
[00:02:28.800 --> 00:02:30.800]  有任何的弟兄姊妹跌倒
[00:02:30.800 --> 00:02:32.800]  我們都會勸他們
[00:02:32.800 --> 00:02:35.800]  就著做錯的事告訴他們
[00:02:35.800 --> 00:02:37.800]  他怎樣可以和他得罪的人
[00:02:37.800 --> 00:02:40.800]  傷害的人一一去認錯
[00:02:40.800 --> 00:02:41.800]  道歉
[00:02:41.800 --> 00:02:45.800]  以致神能夠再一次
[00:02:45.800 --> 00:02:48.800]  將各樣豐富的恩典帶給他們
[00:02:48.800 --> 00:02:53.800]  也讓我們心裡不再需要為那件事更加愉快
[00:02:53.800 --> 00:02:55.800]  各位弟兄姊妹
[00:02:55.800 --> 00:02:58.800]  當我們去到希伯來書最後一講
[00:02:58.800 --> 00:03:02.800]  十三章的十五到二十五節的時候
[00:03:02.800 --> 00:03:04.800]  聖經就告訴我們
[00:03:04.800 --> 00:03:07.800]  原來聖經說一切的真理
[00:03:07.800 --> 00:03:10.800]  目的不是叫我們知道這麼簡單
[00:03:10.800 --> 00:03:14.800]  目的是叫我們信仰去生活化
[00:03:14.800 --> 00:03:16.800]  生活去信仰化
[00:03:16.800 --> 00:03:19.800]  這是應用在每一個人的身上
[00:03:19.800 --> 00:03:21.800]  無論你是牧師也好
[00:03:21.800 --> 00:03:22.800]  傳道人也好
[00:03:22.800 --> 00:03:23.800]  掌執也好
[00:03:23.800 --> 00:03:24.800]  信徒也好
[00:03:24.800 --> 00:03:25.800]  個個一樣
[00:03:25.800 --> 00:03:27.800]  如果我們不聽他的話
[00:03:27.800 --> 00:03:29.800]  聖靈有責備
[00:03:29.800 --> 00:03:31.800]  而他也會有管教
[00:03:31.800 --> 00:03:34.800]  現在請大家一起
[00:03:34.800 --> 00:03:36.800]  我們打開今天的經文
[00:03:36.800 --> 00:03:38.800]  希伯來書的十三章
