
[00:00:00.000 --> 00:00:04.000]  丁姊妹主內平安!
[00:00:04.000 --> 00:00:08.000]  我想和大家讀今天講道的經文
[00:00:08.000 --> 00:00:17.000]  在約書亞記最後一章24章14節到15節
[00:00:17.000 --> 00:00:20.000]  PowerPoint已經打了出來
[00:00:20.000 --> 00:00:23.000]  如果你有聖經都歡迎你打開
[00:00:23.000 --> 00:00:26.000]  我們看的其實都不止這兩節
[00:00:26.000 --> 00:00:32.000]  我們先讀出這兩節聖經上記載神的話
[00:00:32.000 --> 00:00:33.000]  我們一起讀
[00:00:33.000 --> 00:00:40.000]  現在你們要敬畏耶和華誠心實意地侍奉她
[00:00:40.000 --> 00:00:43.000]  將你們列祖在大河那邊
[00:00:43.000 --> 00:00:47.000]  和在埃及所侍奉的神除掉
[00:00:47.000 --> 00:00:49.000]  去侍奉耶和華
[00:00:49.000 --> 00:00:53.000]  若是你們以侍奉耶和華為不好
[00:00:53.000 --> 00:00:57.000]  今天就可以選擇所要侍奉的
[00:00:57.000 --> 00:01:02.000]  是你們列祖在大河那邊所侍奉的神呢?
[00:01:02.000 --> 00:01:07.000]  是你們所住這地的阿摩利人的神呢?
[00:01:07.000 --> 00:01:09.000]  至於我和我家
[00:01:09.000 --> 00:01:13.000]  我們必定侍奉耶和華
[00:01:13.000 --> 00:01:16.000]  至於我和我家
[00:01:16.000 --> 00:01:19.000]  約書亞斬釘截鐵
[00:01:19.000 --> 00:01:26.000]  宣佈我們必定侍奉耶和華
[00:01:26.000 --> 00:01:31.000]  這一句金句你應該很熟悉
[00:01:31.000 --> 00:01:34.000]  可能你家裡也掛了一個
[00:01:34.000 --> 00:01:36.000]  小的還是大的
[00:01:36.000 --> 00:01:37.000]  英文還是中文
[00:01:37.000 --> 00:01:43.000]  這樣的一個金句的裝飾
[00:01:43.000 --> 00:01:48.000]  我小時候家裡客廳的牆上
[00:01:48.000 --> 00:01:53.000]  父親掛著一幅中文字
[00:01:53.000 --> 00:01:56.000]  我家必定侍奉神
[00:01:56.000 --> 00:02:02.000]  所以這句話深深印在我的腦海裡
[00:02:02.000 --> 00:02:04.000]  直到今天
[00:02:04.000 --> 00:02:07.000]  要明白這一句話
[00:02:07.000 --> 00:02:10.000]  我相信我們要很小心
[00:02:10.000 --> 00:02:14.000]  去看清楚三件事
[00:02:14.000 --> 00:02:19.000]  第一 以色列人聽這句話
