
[00:00:00.000 --> 00:00:05.880]  好 我們開始第二講
[00:00:05.880 --> 00:00:11.600]  第二講我都很感恩 會多了一些時間
[00:00:11.600 --> 00:00:17.580]  我就很怕那一種的 準時就會完
[00:00:17.580 --> 00:00:21.480]  但是第二講的時間就多一些
[00:00:21.480 --> 00:00:24.180]  就多了60分鐘 我都很多東西要講的
[00:00:24.180 --> 00:00:28.740]  很多東西要講
[00:00:28.740 --> 00:00:32.540]  好 領袖公義重尋 我們看第一章
[00:00:32.540 --> 00:00:36.940]  真的不行 遠了一些
[00:00:36.940 --> 00:00:43.340]  今晚我會一路跟大家來看的
[00:00:43.340 --> 00:00:48.360]  第二章的重點 意思就是要聽對首領講
[00:00:48.360 --> 00:00:51.580]  剛才是對國家講 審判國家
[00:00:51.580 --> 00:00:54.380]  現在就審判領袖
[00:00:54.380 --> 00:00:58.740]  審判領袖集中是一節而已
[00:00:58.740 --> 00:01:03.900]  就是三章十一節 就在上面打出來
[00:01:03.900 --> 00:01:07.180]  我們一起讀這一節
[00:01:07.180 --> 00:01:10.740]  首領為賄賂行審判
[00:01:10.740 --> 00:01:13.980]  祭司為護駕師分配
[00:01:13.980 --> 00:01:17.500]  先師為銀錢行占卜
[00:01:17.500 --> 00:01:21.720]  三種人 三種的領袖
[00:01:21.720 --> 00:01:28.680]  第一種就是政府的官員
[00:01:28.680 --> 00:01:36.640]  這種人他竟然是為行賄行審判 貪錢
[00:01:36.640 --> 00:01:41.680]  第二種祭司就是宗教的領袖
[00:01:41.680 --> 00:01:45.880]  為護駕人出糧給他
[00:01:45.880 --> 00:01:50.640]  就看老闆的要求來教導
[00:01:50.640 --> 00:01:56.560]  就好像今天傳道人要看執事的樣子
[00:01:56.560 --> 00:01:58.780]  喜歡聽什麼就講什麼
[00:01:58.780 --> 00:02:01.480]  你就沒什麼好講的 真的
[00:02:01.480 --> 00:02:03.580]  你整天看著老闆
[00:02:03.580 --> 00:02:07.140]  不是說教那些執事老闆 有些是啦
[00:02:07.140 --> 00:02:10.800]  那你怎麼去教導呢? 你怎麼去責備呢?
[00:02:10.800 --> 00:02:12.760]  所以過去歷史上
[00:02:12.760 --> 00:02:17.140]  那些很有勇氣的傳道人
[00:02:17.140 --> 00:02:24.180]  不是為護駕 在歷史上真的產生很大的影響
[00:02:24.180 --> 00:02:28.100]  有一個可能你聽過 愛德華茲
[00:02:28.100 --> 00:02:33.860]  有沒有聽過?美國很出名的長老會的一個牧師
[00:02:33.860 --> 00:02:37.860]  他是帶領全美國復興
[00:02:37.860 --> 00:02:41.140]  愛德華茲在美國Phantom的地方
[00:02:41.140 --> 00:02:44.980]  牧養了23年 帶領了整個美國東岸
[00:02:44.980 --> 00:02:47.540]  蘇聯大復興
[00:02:47.540 --> 00:02:51.460]  但這個牧師他發現他們執事
[00:02:51.460 --> 00:02:54.180]  做了一件非常不好的事
[00:02:54.180 --> 00:02:57.780]  就是當時的美國人認為
[00:02:57.780 --> 00:03:02.540]  整個美國土地是英皇Charles給他們的
[00:03:02.540 --> 00:03:08.380]  所以他就憑著英皇的皇室的預告
[00:03:08.380 --> 00:03:17.340]  那個文件是無需要賠償任意佔領別人的安然土地
[00:03:17.340 --> 00:03:20.940]  並且將他們驅趕屠殺
[00:03:20.940 --> 00:03:24.940]  愛德華茲認為這樣做是完全不公義
[00:03:24.940 --> 00:03:27.580]  那他們說 怎麼不公義呢?合法嘛
[00:03:27.580 --> 00:03:30.140]  英國皇帝給我們這樣做 你憑什麼呢?
[00:03:30.140 --> 00:03:33.820]  你是牧師嘛 你講你的道理吧
[00:03:33.820 --> 00:03:37.300]  愛德華茲說對不起 按照《聖經》
[00:03:37.300 --> 00:03:39.020]  你這樣是不公義
[00:03:39.020 --> 00:03:44.220]  你搶奪印第安人的回憶 我不發政策給你
[00:03:44.220 --> 00:03:50.860]  結果那個執事會開會就通過
[00:03:50.860 --> 00:03:56.380]  將牧師解僱 整個教會震驚
[00:03:56.380 --> 00:04:00.500]  這個牧師23年由一個很小的堂會
[00:04:00.500 --> 00:04:02.180]  去到一個很大的堂會
[00:04:02.180 --> 00:04:05.740]  並且帶領全北美的蘇聯大復興運動
