
[00:00:00.000 --> 00:00:07.000]  各位早晨 也在此祝大家新年快樂
[00:00:07.000 --> 00:00:09.000]  2011年開始了 這是第二星期
[00:00:09.000 --> 00:00:13.000]  今天跟大家一起有第一次在此
[00:00:13.000 --> 00:00:17.000]  跟大家講道和有聖餐的時間
[00:00:17.000 --> 00:00:20.000]  我們一直看馬福音這段聖經
[00:00:20.000 --> 00:00:23.000]  講耶穌的生平
[00:00:23.000 --> 00:00:27.000]  我都希望在教會講壇的時訪裏
[00:00:27.000 --> 00:00:33.000]  希望能夠更多和更集中講耶穌基督和我們的關係
[00:00:33.000 --> 00:00:39.000]  馬福音是講耶穌基督很多實際的行動
[00:00:39.000 --> 00:00:41.000]  但都有一些比喻的
[00:00:41.000 --> 00:00:44.000]  馬福音這段經文我們現在所看的第四章一到二十節
[00:00:44.000 --> 00:00:48.000]  對很多信徒來說是一個耳熟能詳的比喻
[00:00:48.000 --> 00:00:51.000]  這個比喻有兩個很特別的地方
[00:00:51.000 --> 00:00:53.000]  令我們覺得一定要重視這個比喻
[00:00:53.000 --> 00:00:59.000]  第一 這個比喻是有解釋的
[00:00:59.000 --> 00:01:01.000]  很多比喻 比如說浪子比喻
[00:01:01.000 --> 00:01:04.000]  講完之後就沒有什麼解釋的
[00:01:04.000 --> 00:01:05.000]  你要看上文下理
[00:01:05.000 --> 00:01:07.000]  然後你去看經文的重點在哪裏
[00:01:07.000 --> 00:01:09.000]  然後去解釋這個比喻
[00:01:09.000 --> 00:01:12.000]  但是這個撒種比喻的好處就是
[00:01:12.000 --> 00:01:15.000]  耶穌講完之後門徒問他為什麼
[00:01:15.000 --> 00:01:16.000]  耶穌就親自解釋給他聽
[00:01:16.000 --> 00:01:21.000]  就是說這個比喻可以說是能夠最正確掌握解釋的方法
[00:01:21.000 --> 00:01:22.000]  因為耶穌自己解釋的
[00:01:22.000 --> 00:01:25.000]  所以對其他很多沒有解釋的比喻來說
[00:01:25.000 --> 00:01:28.000]  這個比喻顯得更加重要
[00:01:28.000 --> 00:01:31.000]  還有這個比喻是講我們撒種
[00:01:31.000 --> 00:01:34.000]  就是我們怎樣聽道的態度
[00:01:34.000 --> 00:01:36.000]  就是說耶穌講了很多的真理
[00:01:36.000 --> 00:01:39.000]  不過怎樣將真理聽進去呢?
[00:01:39.000 --> 00:01:41.000]  從這個比喻裏面就講了出來
[00:01:41.000 --> 00:01:45.000]  換言之就是說這個是一切我們要聽神話的
[00:01:45.000 --> 00:01:47.000]  一個基本的態度
[00:01:47.000 --> 00:01:49.000]  就是這個比喻裏面講出來了 撒種比喻
[00:01:49.000 --> 00:01:51.000]  也是這個緣故
[00:01:51.000 --> 00:01:54.000]  所以這個比喻本身也更加有它的重要性
[00:01:54.000 --> 00:01:56.000]  其實在馬可福第四章裏面
[00:01:56.000 --> 00:02:00.000]  一連串有三個或者有時候可以計四個的比喻
[00:02:00.000 --> 00:02:03.000]  由第一節 今天我們看的撒種比喻
[00:02:03.000 --> 00:02:06.000]  一直去到第四章的第三十三節
[00:02:06.000 --> 00:02:07.000]  如果看下文你會看到
[00:02:07.000 --> 00:02:08.000]  由聖經或者你翻開
[00:02:08.000 --> 00:02:11.000]  第二十一節講到點燈的比喻
[00:02:11.000 --> 00:02:15.000]  二十六節又講另外一個是晚間的撒種的比喻
[00:02:15.000 --> 00:02:18.000]  然後第三十節是講芥菜種的比喻
[00:02:18.000 --> 00:02:20.000]  如果加起來總共有四個比喻
[00:02:20.000 --> 00:02:22.000]  一口氣的將這四個比喻講出來
[00:02:22.000 --> 00:02:27.000]  使馬可福第十三章將七個比喻放在第三章當中
[00:02:27.000 --> 00:02:29.000]  這裏有四個的比喻
[00:02:29.000 --> 00:02:32.000]  都是講到天國上帝的國度
[00:02:32.000 --> 00:02:36.000]  怎樣透過這個比喻來傳達出來
[00:02:36.000 --> 00:02:38.000]  上帝的國度怎樣擴展
[00:02:38.000 --> 00:02:41.000]  透過這個比喻來講出來
[00:02:41.000 --> 00:02:44.000]  你知道比喻是一個很好的地方
[00:02:44.000 --> 00:02:47.000]  我們很多時候說一些可能很理論性的東西
[00:02:47.000 --> 00:02:50.000]  很多人很難聽得進去的
[00:02:50.000 --> 00:02:52.000]  我講完之後就很明白這件事了
[00:02:52.000 --> 00:02:57.000]  什麼時候會有大眼看著你呢?
[00:02:57.000 --> 00:02:59.000]  什麼時候呢?你猜猜
[00:02:59.000 --> 00:03:02.000]  講故事的時候 講勵志的時候
[00:03:02.000 --> 00:03:05.000]  一講到理論長一點 大約兩分鐘就開始
[00:03:05.000 --> 00:03:09.000]  大家開始進入默想的狀態
[00:03:09.000 --> 00:03:13.000]  講故事對大部分人來說馬上好像明白了
[00:03:13.000 --> 00:03:15.000]  因為他好像能夠共鳴、明白一點
[00:03:15.000 --> 00:03:18.000]  所以就會容易聽一點
[00:03:18.000 --> 00:03:23.000]  這個技巧 講故事、講比喻、講勵志
[00:03:23.000 --> 00:03:27.000]  在聖經裏面 我想沒有人可以否定
[00:03:27.000 --> 00:03:29.000]  耶穌是高手當中的高手
[00:03:29.000 --> 00:03:33.000]  祂講的比喻最多 也都是最吸引
[00:03:33.000 --> 00:03:35.000]  所有耶穌在世上講的比喻
[00:03:35.000 --> 00:03:37.000]  在聖經裏面記載的很多 當然
[00:03:37.000 --> 00:03:40.000]  沒有一樣是脫離了他們現實的
[00:03:40.000 --> 00:03:42.000]  都是當時在巴勒斯坦
[00:03:42.000 --> 00:03:45.000]  以色列人他們實際生活的情況
[00:03:45.000 --> 00:03:50.000]  耶穌就很簡單 他們明白日常接觸到的事物
[00:03:50.000 --> 00:03:54.000]  講到一些比較複雜 他們看不到的屬天的真理
[00:03:54.000 --> 00:03:57.000]  這個就是真是高手的高手
[00:03:57.000 --> 00:03:58.000]  祂不是為了講故事而講故事
[00:03:58.000 --> 00:04:00.000]  祂為了能夠讓人明白一些
[00:04:00.000 --> 00:04:03.000]  更加難明白深奧的事情
[00:04:03.000 --> 00:04:06.000]  祂就講一個顯淺、日常生活的例子或者比喻
[00:04:06.000 --> 00:04:08.000]  去說明一個深奧的道理
[00:04:08.000 --> 00:04:11.000]  這個真是所謂講故事本身的精神
[00:04:11.000 --> 00:04:13.000]  不是為了講故事而講故事
[00:04:13.000 --> 00:04:19.000]  而這個比喻裏面是講到他們耕田殺種
[00:04:19.000 --> 00:04:21.000]  我不知道我們當中有多少人耕過田
[00:04:21.000 --> 00:04:25.000]  我想大部份都沒有 可能只是少部份的人耕過田
[00:04:25.000 --> 00:04:29.000]  我們只是在花盆種的東西 可能都很厲害了
[00:04:29.000 --> 00:04:31.000]  有些人花盆都沒有碰過
[00:04:31.000 --> 00:04:35.000]  這個比喻就在講他們當時大部份人
[00:04:35.000 --> 00:04:38.000]  以農立過的地方一個發生的事情
[00:04:38.000 --> 00:04:43.000]  講道神的道 神的種子
[00:04:43.000 --> 00:04:46.000]  可以是一樣 但是卻是有不同的結果
[00:04:46.000 --> 00:04:50.000]  同樣我們見到在同一個家庭長大的人
[00:04:50.000 --> 00:04:53.000]  可能兄弟姐妹有不同的原因 有不同的發展
[00:04:53.000 --> 00:04:56.000]  同一個老師和同一班同學
[00:04:56.000 --> 00:04:58.000]  可能成績是有很大的分別
[00:04:58.000 --> 00:05:02.000]  就算是同一個人 你今天和下個禮拜
[00:05:02.000 --> 00:05:07.000]  可能你對聽道或者對上帝的那種交往都有不同
[00:05:07.000 --> 00:05:10.000]  我不知道你有沒有試過 同一邊讀
[00:05:10.000 --> 00:05:15.000]  甚至是你可能聽過類似的一段經文
[00:05:15.000 --> 00:05:18.000]  但好像是那一刻裏面 特別上帝的靈感動你
[00:05:18.000 --> 00:05:21.000]  你會明白 你會受感動的
[00:05:21.000 --> 00:05:23.000]  但過了兩個禮拜 可能讀同一段經文的時間
[00:05:23.000 --> 00:05:26.000]  那種感動又消失了
[00:05:26.000 --> 00:05:31.000]  你見到我們怎樣去聽道 怎樣領受神的話
[00:05:31.000 --> 00:05:35.000]  是一個相當重要的一個屬靈的學習
[00:05:35.000 --> 00:05:38.000]  我記得我在美國讀書的時候 有一個老師
[00:05:38.000 --> 00:05:41.000]  他教系統神學的
[00:05:41.000 --> 00:05:46.000]  他教的方法就是用哲理方面的表達
[00:05:46.000 --> 00:05:49.000]  所謂的philosophical approach 是很複雜的
[00:05:49.000 --> 00:05:53.000]  他的筆記大約每一科有一百頁
[00:05:53.000 --> 00:05:57.000]  如果我們今天 當時是用打字機打的
[00:05:57.000 --> 00:05:59.000]  如果我們今天講的大約是方十度
[00:05:59.000 --> 00:06:02.000]  即是很小的一隻字 然後是single line
[00:06:02.000 --> 00:06:05.000]  一條一條的 放一百多頁的筆記
[00:06:05.000 --> 00:06:08.000]  然後他叫我們看他的書 有些很難看的
[00:06:08.000 --> 00:06:12.000]  我記得他很有趣的 叫我們看《人論》的時候
[00:06:12.000 --> 00:06:15.000]  他叫我們看一本當時美國很流行的小說
[00:06:15.000 --> 00:06:19.000]  看一看當時這個文學家怎樣去捉摸人性
[00:06:19.000 --> 00:06:22.000]  是一個很特別的一個approach
[00:06:22.000 --> 00:06:24.000]  但最特別的地方就是 他教這些科目的時候
[00:06:24.000 --> 00:06:27.000]  他會先派一份大約七頁紙的
[00:06:27.000 --> 00:06:32.000]  一份他和我們默契的一些資料
[00:06:32.000 --> 00:06:34.000]  那七頁紙講什麼呢?
