
[00:00:00.000 --> 00:00:05.840]  今天我比較趕得來 但是我看到這個地方
[00:00:05.840 --> 00:00:08.000]  如果我沒有記錯 應該很多年前
[00:00:08.000 --> 00:00:10.400]  黃牧師在這裡的時候 我來過一次
[00:00:10.400 --> 00:00:13.520]  已經是很多年前了 應該很久沒有來了
[00:00:13.520 --> 00:00:16.080]  所以很開心能夠和大家分享
[00:00:16.080 --> 00:00:19.800]  今天陳牧師給了一個題目給我
[00:00:19.800 --> 00:00:21.640]  陳牧師很認真這個聚會
[00:00:21.640 --> 00:00:24.480]  他之前約過幾次 終於種種原因
[00:00:24.480 --> 00:00:26.160]  又打風之下 夾到時間
[00:00:26.160 --> 00:00:29.360]  我們看到在Zoom裡有一點溝通
[00:00:29.360 --> 00:00:31.360]  並且特別為這個聚會來祈禱
[00:00:31.360 --> 00:00:36.680]  看到牧師也是很認真地準備今晚這個聚會
[00:00:36.680 --> 00:00:40.920]  他給我的題目就是「回應使命 數算神的恩典」
[00:00:40.920 --> 00:00:44.120]  明天我知道有一個更好的講員
[00:00:44.120 --> 00:00:46.840]  和大家講回應使命 迎向未來
[00:00:46.840 --> 00:00:51.680]  一個是數以前 一個是講未來的工作
[00:00:51.680 --> 00:00:56.640]  一個很有用心的安排
[00:00:56.640 --> 00:01:02.680]  我不知道這個平台還沒有
[00:01:02.680 --> 00:01:04.680]  OK 這個平台還沒有
[00:01:04.680 --> 00:01:09.360]  我今晚就在講 我再講一次這個題目
[00:01:09.360 --> 00:01:15.600]  就是「回應使命 數算神的恩典」
[00:01:15.600 --> 00:01:19.600]  當我去揣摩這個題目應該怎麼講的時候
[00:01:19.600 --> 00:01:22.480]  我有兩個假設的
[00:01:22.480 --> 00:01:27.520]  第一個假設就是如果過去發生的事
[00:01:27.520 --> 00:01:33.200]  如果過去 先過回剛才的PowerPoint
[00:01:33.200 --> 00:01:36.560]  如果過去發生的事是很開心的話
[00:01:36.560 --> 00:01:40.040]  你很清楚看到是神的恩典
[00:01:40.040 --> 00:01:44.720]  基本上就不用怎麼教你 或者鼓勵你
[00:01:44.720 --> 00:01:47.680]  你都會向神感恩的 是不是?
[00:01:47.680 --> 00:01:49.520]  我估計我們是屬於上帝的人
[00:01:49.520 --> 00:01:55.960]  如果今天上帝讓你過去經過很多神豐富的恩典
[00:01:55.960 --> 00:01:57.520]  你很開心的話
[00:01:57.520 --> 00:02:03.040]  我估計應該不用怎麼講 你都會感恩
[00:02:03.040 --> 00:02:07.720]  但很明顯我們的過去走過的路
[00:02:07.720 --> 00:02:11.920]  不一定是我們很開心的
[00:02:11.920 --> 00:02:14.000]  這個大家都一定同意
[00:02:14.000 --> 00:02:18.320]  無論是你自己的事 或者是教會的事
[00:02:18.320 --> 00:02:20.040]  不一定是開心的
[00:02:20.040 --> 00:02:24.200]  如果我們說感恩 只是為了開心的事感恩
[00:02:24.200 --> 00:02:26.120]  那基本上不用講的
[00:02:26.120 --> 00:02:28.920]  但假如如果是不開心的事
[00:02:28.920 --> 00:02:32.720]  我們怎麼講都不會開心的 不會感恩的
[00:02:32.720 --> 00:02:34.520]  那今晚基本上就不用聚會了
[00:02:34.520 --> 00:02:37.320]  開心的就不用多說
[00:02:37.320 --> 00:02:40.000]  不開心的就不用講了
[00:02:40.000 --> 00:02:43.680]  所以今晚我想集中在一個方向
[00:02:43.680 --> 00:02:46.600]  就是怎麼為我們走過路
[00:02:46.600 --> 00:02:49.960]  如果有些不開心的事 我們都可以感恩的
[00:02:49.960 --> 00:02:54.000]  這是第一個 我揣摩這個題目的第一個假設
[00:02:54.000 --> 00:02:56.880]  第二個假設就是
[00:02:56.880 --> 00:03:00.640]  我都想了很久今晚應該怎麼去表達這個訊息
[00:03:00.640 --> 00:03:09.600]  就是如果我們是一個不開心的人
[00:03:09.600 --> 00:03:15.920]  你怎麼有些開心的事都不會對你有太大幫助
[00:03:15.920 --> 00:03:18.200]  上帝的作為
[00:03:18.200 --> 00:03:21.840]  如果我基本上是一個很悲觀
[00:03:21.840 --> 00:03:27.320]  是一個很多埋怨、很多苦讀的人
[00:03:27.320 --> 00:03:28.920]  那基本上發生什麼事呢?
[00:03:28.920 --> 00:03:31.200]  對你來說你都不會太開心
