
[00:00:00.000 --> 00:00:04.000]  大家好 可能大家有幾個問題
[00:00:04.000 --> 00:00:10.000]  第一個就是三個星期才是正正25號
[00:00:10.000 --> 00:00:14.000]  現在就說聖誕的信息 早不早一點
[00:00:14.000 --> 00:00:20.000]  一點都不早 有句好事主席剛才宣佈
[00:00:20.000 --> 00:00:23.000]  有心不怕遲 十月都是拜年時
[00:00:23.000 --> 00:00:28.000]  所以有心就要趁早 早信基督就最好
[00:00:28.000 --> 00:00:33.000]  就像剛才選唱的幾首歌都非常動聽 大家很投入
[00:00:33.000 --> 00:00:36.000]  可見聖誕的信息早已來到了
[00:00:36.000 --> 00:00:41.000]  第二個問題 聖誕的意義 奇異因點之類
[00:00:41.000 --> 00:00:45.000]  很多人從小聽到大 耳熟能詳
[00:00:45.000 --> 00:00:48.000]  都不知道有什麼新消息 有什麼新信息
[00:00:48.000 --> 00:00:52.000]  其實我們有生以來喝水吃飯
[00:00:52.000 --> 00:00:55.000]  都不知道吃過多少次 都繼續吃下去
[00:00:55.000 --> 00:00:59.000]  就是在這個小時之內 我們呼吸 呼氣
[00:00:59.000 --> 00:01:02.000]  都不知道呼吸過多少次 也都希望呼吸下去
[00:01:02.000 --> 00:01:06.000]  所以可見有些重要的事情是繼續做
[00:01:06.000 --> 00:01:11.000]  越做得多越好 何況世界上所謂未得之民
[00:01:11.000 --> 00:01:14.000]  未信之人 未得之地 還有很多
[00:01:14.000 --> 00:01:18.000]  我們每一個教徒都有廣傳福音的責任
[00:01:18.000 --> 00:01:23.000]  而且我們一直有新的生活體驗
[00:01:23.000 --> 00:01:26.000]  那個課題雖然早已存在
[00:01:26.000 --> 00:01:31.000]  但是親身的體驗 實際的覺悟不斷更新
[00:01:31.000 --> 00:01:35.000]  所以我們始終是勸人 未信就早信
[00:01:35.000 --> 00:01:38.000]  我們自己已經信的就要堅信
[00:01:38.000 --> 00:01:42.000]  所以是值得 而且應該不斷講下去
[00:01:42.000 --> 00:01:48.000]  第三個問題 有人可能覺得其實
[00:01:48.000 --> 00:01:53.000]  聖誕節也好 甚至端午節也好 情人節也好
[00:01:53.000 --> 00:01:56.000]  什麼也好 其實就過年如過日
[00:01:56.000 --> 00:02:01.000]  這個節日只不過是人為的安排
[00:02:01.000 --> 00:02:03.000]  其實你過不過節 甚至有沒有人類
[00:02:03.000 --> 00:02:06.000]  地球每天都還是這樣自轉攻轉
[00:02:06.000 --> 00:02:09.000]  來不來又好像今早一樣 今早什麼事啊
[00:02:09.000 --> 00:02:11.000]  月蝕 是不是啊 特別之一是
[00:02:11.000 --> 00:02:15.000]  是 沒錯 是人為 所有節日都是人為
[00:02:15.000 --> 00:02:20.000]  但是正因為有人類 才懂得記錄時間
[00:02:20.000 --> 00:02:24.000]  沒有人類之前 這些意義全部沒有
[00:02:24.000 --> 00:02:29.000]  只有人類懂得數算自己的日子
[00:02:29.000 --> 00:02:33.000]  我最記得20多年前 第一次來澳洲的時候
[00:02:33.000 --> 00:02:36.000]  還沒有打算移民 參加旅遊第一次來澳洲
[00:02:36.000 --> 00:02:40.000]  坐著旅遊車 當然是睏了
[00:02:40.000 --> 00:02:44.000]  還沒睏之前看看 有兩隻羊在草地
[00:02:44.000 --> 00:02:47.000]  睡覺時 又是一兩隻羊在草地
[00:02:47.000 --> 00:02:50.000]  又睡覺 仍然是一兩隻羊在草地
[00:02:50.000 --> 00:02:52.000]  當然實在已經不是那隻羊了
[00:02:52.000 --> 00:02:55.000]  因為澳洲的牧場多 到處都是草地
[00:02:55.000 --> 00:02:59.000]  當然一方面想 有時候做羊比做人好
[00:02:59.000 --> 00:03:01.000]  特別是做澳洲的羊
[00:03:01.000 --> 00:03:04.000]  做阿崩地方的羊就不太好
[00:03:04.000 --> 00:03:06.000]  阿崩湯羊什麼都沒得養
[00:03:06.000 --> 00:03:09.000]  做澳洲和平安樂 是不是啊
[00:03:09.000 --> 00:03:12.000]  但是你想一下 那些動物
[00:03:12.000 --> 00:03:15.000]  牠不懂得想 沒自覺心
[00:03:15.000 --> 00:03:17.000]  生命對牠有什麼意義呢
[00:03:17.000 --> 00:03:19.000]  有些動物都頗長命的 幾十歲
[00:03:19.000 --> 00:03:22.000]  一百歲就有大象了
[00:03:22.000 --> 00:03:24.000]  那些日子不知道怎麼過
[00:03:24.000 --> 00:03:26.000]  天天空空白白的 看到草就吃
[00:03:26.000 --> 00:03:28.000]  吃完又睡覺 吃完又睡 什麼情況
[00:03:28.000 --> 00:03:32.000]  唯獨是人類有個自覺心 懂得想
[00:03:32.000 --> 00:03:34.000]  懂得計算自己的日子
[00:03:34.000 --> 00:03:36.000]  知道生命的意義
[00:03:36.000 --> 00:03:41.000]  懂得檢討過去 把握現在 策劃將來
[00:03:41.000 --> 00:03:43.000]  瞻前顧後
[00:03:43.000 --> 00:03:46.000]  所以有時候有些節期
[00:03:46.000 --> 00:03:48.000]  就等於我們走長途賽跑
[00:03:48.000 --> 00:03:51.000]  差不多有人給個牌給我們知道第幾個圈
[00:03:51.000 --> 00:03:54.000]  給一個希望給我們 給一個記錄給我們
[00:03:54.000 --> 00:03:56.000]  所以過節始終是有意義的
[00:03:56.000 --> 00:04:01.000]  特別是澳洲 當然是南半球
[00:04:01.000 --> 00:04:05.000]  文化後起 主要是文化起始北半球
[00:04:05.000 --> 00:04:08.000]  北半球這個時候就已經是隆東
[00:04:08.000 --> 00:04:12.000]  就快大地春回 就快寒冷過去
[00:04:12.000 --> 00:04:14.000]  又開始新的一年
[00:04:14.000 --> 00:04:18.000]  因此在這個時候不斷給人一個新年新希望
[00:04:18.000 --> 00:04:20.000]  一個這樣的系列
