
[00:00:00.000 --> 00:00:02.500]  Kenny 說他是宇宙最強
[00:00:02.500 --> 00:00:04.000]  我是宇宙最強
[00:00:04.000 --> 00:00:06.500]  其實原來他也是宇宙最強
[00:00:06.500 --> 00:00:09.500]  話說我是中神讀書的時候
[00:00:09.500 --> 00:00:10.500]  他是我同班同學
[00:00:10.500 --> 00:00:12.000]  其實整個小組裡面
[00:00:12.000 --> 00:00:14.500]  他是最大年紀的那個
[00:00:14.500 --> 00:00:17.500]  所以這些老前輩之下
[00:00:17.500 --> 00:00:20.500]  我只能夠說他才是宇宙最強
[00:00:20.500 --> 00:00:23.500]  我介紹我姓高叫冥謙
[00:00:23.500 --> 00:00:26.000]  有一個老婆和一個女兒
[00:00:26.000 --> 00:00:28.000]  我女兒就
[00:00:28.000 --> 00:00:30.000]  我女兒就讀八歲
[00:00:30.000 --> 00:00:32.000]  不是讀八歲 是八歲
[00:00:32.000 --> 00:00:35.000]  現在就在長洲裡面讀小學
[00:00:35.000 --> 00:00:38.000]  我們整家人都在長洲裡面住
[00:00:38.000 --> 00:00:41.000]  兩年前才從英國回來
[00:00:41.000 --> 00:00:44.000]  所以在座當中從英國回來的人
[00:00:44.000 --> 00:00:46.000]  我都很明白大家的感受
[00:00:46.000 --> 00:00:49.000]  進去見到那裡教書
[00:00:49.000 --> 00:00:52.000]  現在主要教舊約的書卷
[00:00:52.000 --> 00:00:54.000]  不過我今天就不是要
[00:00:54.000 --> 00:00:55.000]  跟大家分享舊約
[00:00:55.000 --> 00:00:58.000]  因為Kenny哥吩咐在下
[00:00:58.000 --> 00:01:01.000]  去講哥林多後書
[00:01:01.000 --> 00:01:05.000]  話說上個星期牧師才講哥林多後書
[00:01:05.000 --> 00:01:07.000]  大家記不記得講過什麼
[00:01:07.000 --> 00:01:08.000]  其實我一定不記得
[00:01:08.000 --> 00:01:09.000]  因為我也不在這裡
[00:01:09.000 --> 00:01:14.000]  不過我今天嘗試去接觸他的說話
[00:01:14.000 --> 00:01:19.000]  講哥林多後書的第四章六度十三節
[00:01:19.000 --> 00:01:21.000]  我們今天應該有一個powerpoint
[00:01:21.000 --> 00:01:25.000]  如果你手頭上沒有聖經你都可以不用打開
[00:01:25.000 --> 00:01:26.000]  不過最好打開
[00:01:26.000 --> 00:01:28.000]  其實我也不知道合什麼
[00:01:28.000 --> 00:01:30.000]  不過anyway我們就可以
[00:01:30.000 --> 00:01:32.000]  由哥林多後書裡面學習一下
[00:01:32.000 --> 00:01:34.000]  這裡的信息
[00:01:34.000 --> 00:01:37.000]  在聽信息之前我們有一個祈禱
[00:01:38.000 --> 00:01:40.000]  親愛的天父我們多謝你
[00:01:40.000 --> 00:01:43.000]  讓我們能夠思想你的話語
[00:01:43.000 --> 00:01:46.000]  主要我們今天下午縱然泛起公心
[00:01:46.000 --> 00:01:51.000]  我都求主你讓我們不會讓睡眠去到公心
[00:01:51.000 --> 00:01:54.000]  求主你讓我們有清晰的耳朵
