
[00:00:00.000 --> 00:00:06.960]  近年很喜歡討論一個題目叫做欺凌
[00:00:06.960 --> 00:00:12.740]  最近很喜歡討論一個問題是欺凌
[00:00:12.740 --> 00:00:17.040]  甚至上個星期才英國的王子
[00:00:17.040 --> 00:00:22.480]  去到在倫敦的一間很有名的網上公司
[00:00:22.480 --> 00:00:25.520]  去談論到欺凌的事件是非常嚴重
[00:00:25.520 --> 00:00:32.700]  甚至英國的王子去到一個公司也談到欺凌很嚴重
[00:00:32.700 --> 00:00:34.920]  欺凌英文叫bullying
[00:00:34.920 --> 00:00:39.520]  其實已經是廣泛滲透在不同的層次層面當中
[00:00:39.520 --> 00:00:43.180]  欺凌已經去到不同的層次裏面
[00:00:43.180 --> 00:00:44.860]  譬如在學校裏面
[00:00:44.860 --> 00:00:47.040]  譬如在學校裏面
[00:00:47.040 --> 00:00:50.920]  那些子女經常被人改化名被欺負
[00:00:50.920 --> 00:00:56.620]  那些孩子給人家一個草號或者給人家欺負
[00:00:56.620 --> 00:01:00.200]  在工作的層面也有很多欺凌的事件
[00:01:00.200 --> 00:01:03.320]  在工作方面也有很多欺凌的事
[00:01:03.320 --> 00:01:07.940]  同事之間大家為了很多事情彼此設陷阱
[00:01:07.940 --> 00:01:10.520]  大家希望對方踩下去
[00:01:10.520 --> 00:01:16.840]  同事之間可能也希望對方能夠進入那個陷阱裏面
[00:01:16.840 --> 00:01:20.760]  你說牧師年紀老了應該沒有欺凌了吧?
[00:01:20.760 --> 00:01:23.660]  不是的 原來年紀大了更多人被欺凌
[00:01:23.660 --> 00:01:26.840]  年紀大了其實更多的人被欺凌
[00:01:26.840 --> 00:01:30.360]  有一次我看新聞說有間養老院在香港
[00:01:30.360 --> 00:01:33.180]  那些老人家全部脫光衣服
[00:01:33.180 --> 00:01:36.340]  然後在露天的情況下找水龍頭給他洗澡
[00:01:36.340 --> 00:01:37.800]  那也是一種欺凌
[00:01:37.800 --> 00:01:42.440]  有一次看到一個視頻就是香港的老人家
[00:01:42.440 --> 00:01:44.360]  把他的衣服全部脫掉
[00:01:44.360 --> 00:01:46.740]  然後用那個水去洗澡
[00:01:46.740 --> 00:01:50.760]  英國王子就討論這個網上媒體的欺凌
[00:01:50.760 --> 00:01:55.360]  英國王子在討論這個網絡的欺凌
[00:01:55.360 --> 00:01:57.360]  欺凌到有些人要自殺
[00:01:57.360 --> 00:01:59.360]  欺凌到有些人要自殺
[00:01:59.360 --> 00:02:01.760]  所以欺凌這個題目很普遍
[00:02:01.760 --> 00:02:03.760]  所以欺凌這個題目很普遍
[00:02:03.760 --> 00:02:05.880]  那欺凌其實是怎麼出現的呢?
[00:02:05.880 --> 00:02:07.880]  欺凌是怎樣出現的呢?
[00:02:07.880 --> 00:02:09.380]  就是有些人
[00:02:09.380 --> 00:02:10.680]  就有一些人
[00:02:10.680 --> 00:02:14.080]  講的是利用自己在其他人網絡上
[00:02:14.080 --> 00:02:18.760]  講的是利用自己在其他人沒有的一些優勢之下
[00:02:18.760 --> 00:02:22.840]  就是利用別人沒有的優勢之下
[00:02:22.840 --> 00:02:25.960]  於是就用這件事去欺負對方
[00:02:25.960 --> 00:02:29.160]  於是就用這些來欺負對方
[00:02:29.160 --> 00:02:31.320]  而今天我們所看的聖經
[00:02:31.320 --> 00:02:33.320]  而今天我們所看的聖經
[00:02:33.320 --> 00:02:35.320]  經文出自於《雅各書》第五章
[00:02:35.320 --> 00:02:38.280]  經文出自於《雅各書》的第五章
[00:02:38.280 --> 00:02:42.440]  其實正正就要回應在之前第七章裏面
[00:02:42.440 --> 00:02:46.080]  從第四章的十三節到第五章的第六節
[00:02:46.080 --> 00:02:50.040]  就是回應我們上面第四章的
[00:02:50.040 --> 00:02:56.040]  第五章的第六節
