
[00:00:00.000 --> 00:00:08.000]  今天我們思想一段經文,很多問題的
[00:00:08.000 --> 00:00:13.000]  大家看下去的時候心裡有幾十個文化在裡面
[00:00:13.000 --> 00:00:19.000]  為什麼耶穌會用一個不怕神又不怕人的人來做一個比喻呢?
[00:00:19.000 --> 00:00:24.000]  為什麼耶穌的結論和比喻好像剛剛相反呢?
[00:00:24.000 --> 00:00:32.000]  這段經文好像引起我們很多疑問,我們很需要上帝給我們有智慧,明白他的話語
[00:00:32.000 --> 00:00:37.000]  通常我說這些好像很不明白的聖經是最精彩的
[00:00:37.000 --> 00:00:42.000]  求聖靈啓開我們的眼睛,我們再一次向心悟禱告
[00:00:42.000 --> 00:00:45.000]  天父我們再一次感謝你,給你寶貴的話語作為我們生命的指引
[00:00:45.000 --> 00:00:50.000]  求你繼續用你的話語提醒,渲滅,教導,安慰,督扎,改變我們
[00:00:50.000 --> 00:00:53.000]  奉耶穌基督命求,阿們
[00:00:53.000 --> 00:00:58.000]  我記得很久以前和大家講過一個這樣的故事
[00:00:58.000 --> 00:01:03.000]  一個有趣的見證,有一個叫做黃艷麗池的一個姐妹
[00:01:03.000 --> 00:01:07.000]  寫了一本書叫《非凡的見證》
[00:01:07.000 --> 00:01:11.000]  這位作者黃艷麗池的兒子叫做黃澤林
[00:01:11.000 --> 00:01:13.000]  是一個患有自閉症的小朋友
[00:01:13.000 --> 00:01:16.000]  在1995年的時候他們移民去澳洲
[00:01:16.000 --> 00:01:20.000]  澤林當時只有十歲
[00:01:20.000 --> 00:01:26.000]  學校的心理學家就說這位小朋友澤林是沒有學習能力
[00:01:26.000 --> 00:01:31.000]  他的智商只有60分,比普通人低了35分
[00:01:31.000 --> 00:01:37.000]  起初的時候澤林不說話,不寫東西,坐不定
[00:01:37.000 --> 00:01:40.000]  十分鐘就很不耐煩了
[00:01:40.000 --> 00:01:42.000]  父母都是基督徒
[00:01:42.000 --> 00:01:49.000]  因為澤林去到教會的時候在主教學亂搞事,搞不定那些老師
[00:01:49.000 --> 00:01:52.000]  所以令到老師很頭痛
[00:01:52.000 --> 00:01:58.000]  父母就不想再搞了,所以就不再來澤林了
[00:01:58.000 --> 00:02:05.000]  到1995年的時候澤林的媽媽黃泰就決定辭去做護士之職
[00:02:05.000 --> 00:02:06.000]  專心教導澤林
[00:02:06.000 --> 00:02:11.000]  後來他還成立了一個叫做創立士的一個課程
[00:02:11.000 --> 00:02:14.000]  給所有患有自閉症的小朋友
[00:02:14.000 --> 00:02:19.000]  為什麼他這麼做呢?因為他經歷了一個非常有趣的見證
[00:02:19.000 --> 00:02:21.000]  我就想和大家講講這個見證
