
[00:00:00.000 --> 00:00:04.880]  大胃傳第六講
[00:00:04.880 --> 00:00:09.600]  今日要講十五以上的23章至24章
[00:00:09.600 --> 00:00:14.920]  繼續探討如何成為合神心意的人
[00:00:14.920 --> 00:00:17.680]  今日的題目是甚麼
[00:00:17.680 --> 00:00:21.080]  不可伸手害神的受高者
[00:00:21.080 --> 00:00:24.320]  我是信徒來的
[00:00:24.320 --> 00:00:27.760]  我的受高者只有一位就是耶穌基督
[00:00:27.760 --> 00:00:30.880]  但在我們的生命當中
[00:00:30.880 --> 00:00:36.600]  在世上神是否放了一些上司領袖
[00:00:36.600 --> 00:00:39.200]  一些老闆在你的上層呢
[00:00:39.200 --> 00:00:43.920]  有時這些老闆上司很苛刻
[00:00:43.920 --> 00:00:45.920]  甚至很無理
[00:00:45.920 --> 00:00:50.000]  真的像蘇羅追殺大胃
[00:00:50.000 --> 00:00:52.880]  你心想這個老闆真是想要我的命
[00:00:52.880 --> 00:00:55.840]  我們應該如何回應呢
[00:00:55.840 --> 00:00:58.640]  我們應該如何做呢
[00:00:58.640 --> 00:01:05.040]  今日這篇道有給我們一個很好的榜樣
[00:01:05.040 --> 00:01:06.800]  一個教導
[00:01:06.800 --> 00:01:12.320]  這個背景我們見到蘇羅不斷追殺大胃
[00:01:12.320 --> 00:01:18.560]  大胃是陷於很悲慘很艱難的一段日子
[00:01:18.560 --> 00:01:23.600]  很多時我們衡量一個人成功與否是如何衡量
[00:01:23.600 --> 00:01:28.080]  看他做那件事是有多成功
[00:01:28.080 --> 00:01:32.080]  但其實我們很應該衡量一個人
[00:01:32.080 --> 00:01:36.320]  在他未成功之前如何克服困難
[00:01:36.320 --> 00:01:39.520]  如何克服障礙
[00:01:39.520 --> 00:01:43.120]  這是一個比較好衡量人的方法
[00:01:43.120 --> 00:01:46.080]  如果我們用這個方法衡量大胃
[00:01:46.080 --> 00:01:49.760]  我們會發現大胃是一個非常成功的人
[00:01:49.760 --> 00:01:54.080]  因為他未成功之前要克服很多困難
[00:01:54.080 --> 00:01:56.080]  很多困境
[00:01:56.080 --> 00:01:59.760]  十年來大胃不斷被蘇羅追殺
[00:01:59.760 --> 00:02:03.040]  他一方面要與蘇羅對抗
[00:02:03.040 --> 00:02:07.440]  另一方面他仍然不斷打救以色列人
[00:02:07.440 --> 00:02:11.040]  從敵人手中將以色列人打救出來
[00:02:11.040 --> 00:02:13.040]  不是容易的
[00:02:13.440 --> 00:02:21.360]  他與他的跟隨者到處在曠野沙漠動月漂流
[00:02:21.360 --> 00:02:27.920]  最後神才救贖他成為以色列人的王
[00:02:27.920 --> 00:02:29.920]  將他擺上寶座
[00:02:29.920 --> 00:02:32.560]  大胃成為以色列人的王
[00:02:32.560 --> 00:02:35.760]  不單對以色列人很重要
[00:02:35.760 --> 00:02:37.760]  對我們也很重要
[00:02:37.760 --> 00:02:39.760]  因為他也是我們的王
[00:02:40.480 --> 00:02:43.920]  將來他會回到世上掌權
