
[00:00:00.000 --> 00:00:04.000]  多謝主的恩典
[00:00:04.000 --> 00:00:06.000]  讓我們在這個復活的主日
[00:00:06.000 --> 00:00:08.000]  大家一齊聚集
[00:00:08.000 --> 00:00:12.000]  來敬拜這位復活的主
[00:00:12.000 --> 00:00:14.000]  耶穌基督
[00:00:14.000 --> 00:00:17.000]  我們很感恩我們能夠聽見
[00:00:17.000 --> 00:00:20.000]  這麼優美的音樂
[00:00:20.000 --> 00:00:24.000]  「我知我的救贖主活著」
[00:00:24.000 --> 00:00:27.000]  但願這些不單止是悅耳的音樂
[00:00:27.000 --> 00:00:30.000]  乃是在我們心靈裏面
[00:00:30.000 --> 00:00:33.000]  是永不止息的樂韻
[00:00:33.000 --> 00:00:35.000]  叫我們的生命
[00:00:35.000 --> 00:00:38.000]  無論經過什麼階段
[00:00:38.000 --> 00:00:43.000]  都能夠發出盼望的訊息
[00:00:43.000 --> 00:00:46.000]  很感恩的
[00:00:46.000 --> 00:00:51.000]  當我留心看我們彈奏樂曲
[00:00:51.000 --> 00:00:53.000]  彈琴伴奏
[00:00:53.000 --> 00:00:55.000]  還讀經文的
[00:00:55.000 --> 00:00:59.000]  我忽然間覺得自己真的老了
[00:00:59.000 --> 00:01:05.000]  因為這些孫子孫女已經長大成人
[00:01:05.000 --> 00:01:08.000]  願主施恩給豐盛生命堂
[00:01:08.000 --> 00:01:10.000]  在前面的日子
[00:01:10.000 --> 00:01:13.000]  能夠繼續忠於這位
[00:01:13.000 --> 00:01:17.000]  勝過死亡復活的基督
[00:01:17.000 --> 00:01:21.000]  我們到底明白復活有多少呢?
[00:01:21.000 --> 00:01:23.000]  我們到底我們的生命
[00:01:23.000 --> 00:01:28.000]  有多少能夠反映出復活的光輝呢?
[00:01:28.000 --> 00:01:30.000]  其實你知不知道
[00:01:30.000 --> 00:01:33.000]  如果沒有基督復活
[00:01:33.000 --> 00:01:36.000]  我們這些教會的年曆
[00:01:36.000 --> 00:01:38.000]  所有的節日
[00:01:38.000 --> 00:01:45.000]  由張臨時到張顯到釘十字架
[00:01:45.000 --> 00:01:48.000]  這一切全部
[00:01:48.000 --> 00:01:51.000]  說得難聽一點
[00:01:51.000 --> 00:01:52.000]  都是多餘的
[00:01:52.000 --> 00:01:54.000]  都是沒有意思的
