
[00:00:00.000 --> 00:00:05.000]  在波斯帝國阿達舌西王第七年,
[00:00:05.000 --> 00:00:08.000]  如果你還記得上一次我們讀過的經文,
[00:00:08.000 --> 00:00:17.000]  文氏祭司以斯拉就帶領另一批的以色列人,
[00:00:17.000 --> 00:00:20.000]  返到耶路撒冷,
[00:00:20.000 --> 00:00:27.000]  他們一月起程,五月一號就來到耶路撒冷。
[00:00:27.000 --> 00:00:32.000]  現在記載的在第九章第十章的事情,
[00:00:32.000 --> 00:00:36.000]  就發生在同一年的秋天,
[00:00:36.000 --> 00:00:44.000]  九月,大概距離以色列返到耶路撒冷,
[00:00:44.000 --> 00:00:48.000]  是四個月的時間。
[00:00:48.000 --> 00:00:50.000]  中間以色列很多事情做,
[00:00:50.000 --> 00:00:57.000]  你知道嗎?他帶著聖殿的器皿,
[00:00:57.000 --> 00:00:59.000]  帝國所交託給他,
[00:00:59.000 --> 00:01:01.000]  要帶回去公開,
[00:01:01.000 --> 00:01:03.000]  數齊數目,
[00:01:03.000 --> 00:01:06.000]  交給耶路撒冷聖殿的祭司等等。
[00:01:06.000 --> 00:01:09.000]  但是如果我們有些耐性,
[00:01:09.000 --> 00:01:13.000]  等到讀完尼西米記的第八章,
[00:01:13.000 --> 00:01:17.000]  我們知道以色列五月返到耶路撒冷,
[00:01:17.000 --> 00:01:28.000]  七月他就開始教導百姓讀上帝的誡命。
[00:01:28.000 --> 00:01:31.000]  現在九月的時候,
[00:01:31.000 --> 00:01:38.000]  百姓當中的領袖就來見以色列,
[00:01:38.000 --> 00:01:47.000]  跟他說,原來最初返到耶路撒冷的以色列人,
[00:01:47.000 --> 00:01:54.000]  他們跟當地的民族通婚。
[00:01:54.000 --> 00:01:58.000]  當他們讀聖經的說話,
[00:01:58.000 --> 00:02:00.000]  這個要考你的記性了,
[00:02:00.000 --> 00:02:04.000]  《新明記》第七章,
[00:02:04.000 --> 00:02:07.000]  提到他們入迦南地,
[00:02:07.000 --> 00:02:11.000]  上帝應許給他們的美地的時候,
[00:02:11.000 --> 00:02:15.000]  摩西很清楚警告他們,
[00:02:15.000 --> 00:02:17.000]  入到迦南地,
[00:02:17.000 --> 00:02:19.000]  當地有些人,
[00:02:19.000 --> 00:02:21.000]  他們的風俗習慣,
[00:02:21.000 --> 00:02:27.000]  是你們必須要小心提防的。
[00:02:27.000 --> 00:02:31.000]  現在這一班的領袖來見以色列,
[00:02:31.000 --> 00:02:38.000]  他說,我們並沒有進行到聖經這樣的吩咐,
[00:02:38.000 --> 00:02:43.000]  我們跟當地的人混雜,
[00:02:43.000 --> 00:02:49.000]  我們甚至效法他們去拜偶像。
[00:02:49.000 --> 00:02:54.000]  這個背景我們必須要小心明白,
[00:02:54.000 --> 00:03:00.000]  否則的話,我們很容易會產生很多的誤會。
[00:03:00.000 --> 00:03:06.000]  以色列人回到耶路撒冷重建聖殿,
[00:03:06.000 --> 00:03:13.000]  整個過程,其實他們是少數的群眾,
[00:03:13.000 --> 00:03:18.000]  當地已經有很多人住在那裡了,
[00:03:18.000 --> 00:03:21.000]  跟今天的情況其實很相似的,
[00:03:21.000 --> 00:03:23.000]  今天以色列國,
[00:03:23.000 --> 00:03:25.000]  如果你看最近的新聞,
[00:03:25.000 --> 00:03:30.000]  巴勒斯坦兩個派系打得七彩,
[00:03:30.000 --> 00:03:32.000]  然後你看看這裡的地圖,
[00:03:32.000 --> 00:03:36.000]  原來巴勒斯坦人的範圍,
[00:03:36.000 --> 00:03:38.000]  在以色列國裡面,
[00:03:38.000 --> 00:03:41.000]  是佔了這麼大部分的。
[00:03:41.000 --> 00:03:46.000]  他們不是回到一個沒有人的地方重建耶路撒冷,
[00:03:46.000 --> 00:03:50.000]  其次,當地的人,
[00:03:50.000 --> 00:03:54.000]  其實他們的生活水平,
[00:03:54.000 --> 00:03:59.000]  經濟各方面都非常富裕,
[00:03:59.000 --> 00:04:02.000]  現在是回來的那些,
[00:04:02.000 --> 00:04:04.000]  我們叫做新移民,
[00:04:04.000 --> 00:04:06.000]  初來步到,
[00:04:06.000 --> 00:04:08.000]  沒有Canadian experience,
[00:04:08.000 --> 00:04:10.000]  找不到工作,
[00:04:10.000 --> 00:04:18.000]  主流社會和這一班剛剛來到的人的對比,
