
[00:00:00.000 --> 00:00:10.000]  聖靈降臨期是教會的年曆最長的幾乎半年
[00:00:10.000 --> 00:00:14.000]  從5月第二個星期上一個星期
[00:00:14.000 --> 00:00:17.000]  一直到11月將臨期
[00:00:17.000 --> 00:00:20.000]  所以既然有這麼長的時間
[00:00:20.000 --> 00:00:29.000]  其實我們有很多機會可以慢慢思想聖靈這個主題
[00:00:29.000 --> 00:00:36.000]  我相信這個星期在我們心裏面最沉重的始終都是中國
[00:00:36.000 --> 00:00:38.000]  始終都是地震
[00:00:38.000 --> 00:00:42.000]  每一日我們留心這些新聞
[00:00:42.000 --> 00:00:46.000]  我們看著時間這樣經過
[00:00:46.000 --> 00:00:49.000]  好像忘記了緬甸
[00:00:49.000 --> 00:00:51.000]  不過這個是情有可原的
[00:00:51.000 --> 00:00:58.000]  其實如果說死亡的人數或者不相上下
[00:00:58.000 --> 00:01:00.000]  不過血濃於水
[00:01:00.000 --> 00:01:05.000]  華僑社會的回應真的很快
[00:01:05.000 --> 00:01:07.000]  為什麼對緬甸沒有什麼反應
[00:01:07.000 --> 00:01:09.000]  我們不要說這些話
[00:01:09.000 --> 00:01:14.000]  我們多謝牧師在崇拜的周刊提醒我們
[00:01:14.000 --> 00:01:20.000]  所以今天我也想回到聖經當中來看一看
[00:01:20.000 --> 00:01:24.000]  是,聖經不是很多時候說這些災難
[00:01:24.000 --> 00:01:28.000]  聖經不是一本末世預言
[00:01:28.000 --> 00:01:32.000]  即是越大越恐怖
[00:01:32.000 --> 00:01:36.000]  越是令我們心驚膽跳就說得越多
[00:01:36.000 --> 00:01:37.000]  不是,不是
[00:01:37.000 --> 00:01:41.000]  聖經教導我們的是平日
[00:01:41.000 --> 00:01:44.000]  我們的生命,我們的生活
[00:01:44.000 --> 00:01:48.000]  這個都是我們大部分的時候
[00:01:48.000 --> 00:01:50.000]  我們所經歷的
[00:01:50.000 --> 00:01:55.000]  我們要怎樣活在神的旨意當中
[00:01:55.000 --> 00:02:02.000]  怎樣學習去跟從上帝去進行祂的教導
