
[00:00:00.000 --> 00:00:07.000]  我昨天看了一齣電影《破地獄》
[00:00:07.000 --> 00:00:10.000]  看完之後有很大的負擔
[00:00:10.000 --> 00:00:14.000]  希望能夠說一說這齣電影的回應
[00:00:14.000 --> 00:00:20.000]  我稱這回應的訊息為「破地獄破迷津」
[00:00:20.000 --> 00:00:23.000]  為什麼會破迷津呢?
[00:00:23.000 --> 00:00:27.000]  因為很多人對地獄、對死亡都不太認識
[00:00:27.000 --> 00:00:29.000]  就像一個謎一樣
[00:00:29.000 --> 00:00:31.000]  希望透過這個訊息
[00:00:31.000 --> 00:00:34.000]  可以讓大家更加認識地獄
[00:00:34.000 --> 00:00:36.000]  更加認識死亡
[00:00:36.000 --> 00:00:38.000]  《破地獄》這齣電影
[00:00:38.000 --> 00:00:42.000]  希望尋求的是人生的意義
[00:00:42.000 --> 00:00:44.000]  也希望在這個訊息中
[00:00:44.000 --> 00:00:46.000]  能夠讓大家看到
[00:00:46.000 --> 00:00:50.000]  究竟人生的意義是什麼呢?
[00:00:50.000 --> 00:00:55.000]  這齣電影是由陳茂賢導演
[00:00:55.000 --> 00:00:57.000]  也是編劇
[00:00:57.000 --> 00:01:03.000]  是由黃子華、許冠文、韋斯婭和朱柏康主演
[00:01:03.000 --> 00:01:10.000]  《破地獄》在2024年11月9日開始上演
[00:01:10.000 --> 00:01:11.000]  破了紀錄
[00:01:11.000 --> 00:01:16.000]  第一天的票房紀錄已經超過了555萬
[00:01:16.000 --> 00:01:20.000]  現在已經成為香港電影史上
[00:01:20.000 --> 00:01:25.000]  票房紀錄最高、最賣得的一部華語片
[00:01:25.000 --> 00:01:27.000]  受到很多人的注意
[00:01:27.000 --> 00:01:34.000]  這齣電影是以喪禮作為主題、背景
[00:01:34.000 --> 00:01:38.000]  傳統的喪禮是有一文一武
[00:01:38.000 --> 00:01:43.000]  文的就是由黃子華所飾演的魏道新
[00:01:43.000 --> 00:01:47.000]  他本來是一個婚禮策劃師
[00:01:47.000 --> 00:01:50.000]  因為疫情沒有生意
[00:01:50.000 --> 00:01:56.000]  所以他同居的女朋友介紹他做喪禮經紀人
[00:01:56.000 --> 00:01:58.000]  因為女朋友的叔叔
[00:01:58.000 --> 00:02:02.000]  和許冠文飾演的郭文一文一武
[00:02:02.000 --> 00:02:05.000]  做墨夷館喪禮生意
[00:02:05.000 --> 00:02:08.000]  現在給了這位魏道新
[00:02:08.000 --> 00:02:13.000]  和郭文也就是許冠文扮演的那個做拍檔
[00:02:13.000 --> 00:02:15.000]  頗有趣的
[00:02:15.000 --> 00:02:19.000]  因為這位魏道新本來是搞婚禮策劃
[00:02:19.000 --> 00:02:21.000]  他很貪錢
[00:02:21.000 --> 00:02:24.000]  所以想盡辦法怎樣可以賺錢
[00:02:24.000 --> 00:02:28.000]  在喪禮上介紹人買紀念品
[00:02:28.000 --> 00:02:30.000]  人家結婚就是紀念
[00:02:30.000 --> 00:02:32.000]  喪禮哪有人紀念
[00:02:32.000 --> 00:02:34.000]  所以頗有趣
[00:02:34.000 --> 00:02:37.000]  他最初貪錢後來學會
[00:02:37.000 --> 00:02:40.000]  要為死人的家屬服務
[00:02:40.000 --> 00:02:43.000]  所謂的生人都要破地獄
[00:02:43.000 --> 00:02:45.000]  生人都要被超渡
[00:02:45.000 --> 00:02:47.000]  後來他學會了
[00:02:47.000 --> 00:02:51.000]  做墨夷館的就是許冠文飾演的郭文
[00:02:51.000 --> 00:02:55.000]  這個男和師傅和他的子女關係都不太好
[00:02:55.000 --> 00:02:57.000]  因為他不會轉彎
[00:02:57.000 --> 00:02:59.000]  人很死板
[00:02:59.000 --> 00:03:02.000]  他有個兒子叫郭志炳
[00:03:02.000 --> 00:03:05.000]  由朱柏康所飾演
[00:03:05.000 --> 00:03:08.000]  他的兒子非常痛苦
[00:03:08.000 --> 00:03:12.000]  因為爸爸要他承繼自己的衣缽
[00:03:12.000 --> 00:03:14.000]  所以他不能像妹妹一樣
[00:03:14.000 --> 00:03:17.000]  喜歡讀書就讀,做什麼就做
[00:03:17.000 --> 00:03:19.000]  他要做一個男和師
[00:03:19.000 --> 00:03:22.000]  他常常說穿著這件猴子衣服
[00:03:22.000 --> 00:03:24.000]  四處跳舞
[00:03:24.000 --> 00:03:26.000]  被他的朋友笑他
[00:03:26.000 --> 00:03:28.000]  他羨慕他妹妹
[00:03:28.000 --> 00:03:31.000]  他妹妹又羨慕他哥哥
[00:03:31.000 --> 00:03:35.000]  原來他妹妹很崇拜他爸爸
[00:03:35.000 --> 00:03:37.000]  希望能夠做一個男和師
[00:03:37.000 --> 00:03:40.000]  但是男和是全男不全女
[00:03:40.000 --> 00:03:44.000]  在電影裡郭文的口頭禪是
[00:03:44.000 --> 00:03:46.000]  祖師爺不喜歡女人
[00:03:46.000 --> 00:03:48.000]  因為女人有月經
[00:03:48.000 --> 00:03:51.000]  這令他的女兒非常傷心
[00:03:51.000 --> 00:03:53.000]  有心理障礙
[00:03:53.000 --> 00:03:55.000]  他認為他爸爸不愛自己
[00:03:55.000 --> 00:03:59.000]  但後來郭文中風死了之後
[00:03:59.000 --> 00:04:02.000]  他才知道原來爸爸很愛自己
[00:04:02.000 --> 00:04:06.000]  在郭文的遺書裡告訴女兒
[00:04:06.000 --> 00:04:08.000]  我叫你做郭文月
[00:04:08.000 --> 00:04:11.000]  「郭文」的「月」字是
[00:04:11.000 --> 00:04:13.000]  王字旁邊的月
[00:04:13.000 --> 00:04:15.000]  代表珍寶
[00:04:15.000 --> 00:04:17.000]  是郭文的珍寶
[00:04:17.000 --> 00:04:20.000]  他始終在生的時候說不出口
[00:04:20.000 --> 00:04:22.000]  不懂得跟人溝通
[00:04:22.000 --> 00:04:24.000]  死後的遺言
[00:04:24.000 --> 00:04:27.000]  讓人知道原來他很愛女兒
[00:04:27.000 --> 00:04:30.000]  除了這部電影
[00:04:30.000 --> 00:04:32.000]  還有五場喪禮
[00:04:32.000 --> 00:04:36.000]  第一場當然比較搞笑
[00:04:36.000 --> 00:04:41.000]  王子華像婚禮般辦喪事
[00:04:41.000 --> 00:04:47.000]  最後就是許冠文飾演的喪禮
