
[00:00:00.000 --> 00:00:04.920]  好,今天我們來到論盡事思的成與敗
[00:00:04.920 --> 00:00:07.420]  我們今天來到第七講
[00:00:07.420 --> 00:00:10.140]  你會留意到我們都skip了一些事思
[00:00:10.140 --> 00:00:12.500]  因為時間的關係
[00:00:12.500 --> 00:00:17.220]  我們都不會說每一個事思都講完
[00:00:17.220 --> 00:00:19.220]  有些大家都比較熟
[00:00:19.220 --> 00:00:22.520]  最熟的其中一個是參選
[00:00:22.520 --> 00:00:24.520]  參選這次我們沒有提及
[00:00:24.520 --> 00:00:29.720]  另外有一個機電
[00:00:29.720 --> 00:00:38.820]  我們現在來到這個事思記比較尾聲的地方
[00:00:38.820 --> 00:00:41.960]  去到尾的時候大家都會有些印象
[00:00:41.960 --> 00:00:44.960]  主要是講兩件事件
[00:00:44.960 --> 00:00:49.960]  17、18、19、20、21講兩件事件
[00:00:49.960 --> 00:00:55.960]  一件就是和當時的宗教的混亂有關
[00:00:55.960 --> 00:00:59.460]  所以我給個題目叫作「論盡的宗教事」
[00:00:59.460 --> 00:01:01.460]  因為很論盡的
[00:01:01.460 --> 00:01:04.960]  好,我們開始前頁先看看有多少
[00:01:04.960 --> 00:01:07.460]  主要多謝你讓我們今天一起回到這個地方
[00:01:07.460 --> 00:01:11.460]  一起去閱讀你自己的話語從聖經裏面
[00:01:11.460 --> 00:01:13.460]  一些歷史的事件裏面
[00:01:13.460 --> 00:01:16.460]  我們希望能夠在當中找到一些我們要學的
[00:01:16.460 --> 00:01:19.460]  找到一些我們千萬不要學的
[00:01:19.460 --> 00:01:22.960]  我們將在這段時間交託給主
[00:01:22.960 --> 00:01:25.460]  求你帶領我們去基督奉耶穌、基督革命
[00:01:27.460 --> 00:01:30.460]  論到這個論盡的宗教時代
[00:01:30.460 --> 00:01:35.460]  主要就是集中記載在這個事思記的17和18章
[00:01:35.460 --> 00:01:37.460]  有多論盡呢?
[00:01:37.460 --> 00:01:40.460]  不如和大家一起讀幾節聖經
[00:01:40.460 --> 00:01:43.460]  看看當時究竟有多論盡
[00:01:43.460 --> 00:01:47.460]  好,我們看事思記的17章
[00:01:47.460 --> 00:01:50.460]  我們看1至5節
[00:01:50.460 --> 00:01:53.460]  事思記的第7章第1至第5節
[00:01:53.460 --> 00:01:57.460]  「以法連三地有一個人叫米加
[00:01:57.460 --> 00:02:04.460]  他對母親說:你那一千一百錫克勒銀子被人拿去
[00:02:04.460 --> 00:02:07.460]  你因此就坐,並且告訴了我
[00:02:07.460 --> 00:02:12.460]  看!這銀子在我這裏,是我拿去了
[00:02:12.460 --> 00:02:17.460]  他母親說:我現在願耶和華賜福於你
[00:02:17.460 --> 00:02:22.460]  米加就把這一千一百錫克勒銀子還他母親
[00:02:22.460 --> 00:02:28.460]  他母親說:我分出這銀子來為你獻給耶和華
[00:02:28.460 --> 00:02:31.460]  好雕刻一個像,鑄成一個像
[00:02:31.460 --> 00:02:34.460]  現在我還是交給你
[00:02:34.460 --> 00:02:37.460]  米加將銀子還他母親
[00:02:37.460 --> 00:02:42.460]  他母親將二百錫克勒銀子交給銀像
[00:02:42.460 --> 00:02:45.460]  雕刻一個像,鑄成一個像
[00:02:45.460 --> 00:02:49.460]  安置在米加的屋內」第5節
[00:02:49.460 --> 00:02:56.460]  「這米加有了神堂,又製造以弗德和家中的神像
[00:02:56.460 --> 00:02:59.460]  分派他一個兒子作祭司
[00:02:59.460 --> 00:03:03.460]  此式列宗沒有王國人任意而行」
[00:03:03.460 --> 00:03:05.460]  我們再讀第6節
[00:03:05.460 --> 00:03:10.460]  在這段落裏,1至5節
[00:03:10.460 --> 00:03:14.460]  我們可以數到多少論進的宗教情況呢?
[00:03:14.460 --> 00:03:18.460]  在這5節聖經裏,我們可以數到多少論進的事情呢?
[00:03:18.460 --> 00:03:21.460]  「家中有祭司」
[00:03:21.460 --> 00:03:24.460]  「家中有祭司」
[00:03:24.460 --> 00:03:25.460]  這就是一個題目
[00:03:25.460 --> 00:03:26.460]  還有呢?
