
[00:00:00.000 --> 00:00:04.800]  (主持人: 羅馬書第五講)
[00:00:04.800 --> 00:00:09.360]  (主持人: 今天要講羅馬書第二章一至十六節)
[00:00:09.360 --> 00:00:12.160]  (主持人: 大家記不記得我上個星期講了什麼?)
[00:00:12.160 --> 00:00:16.400]  (主持人: 上個星期是講每個人我們都是罪人)
[00:00:16.400 --> 00:00:21.120]  (主持人: 每個人都在神的憤怒 在神的審判之下)
[00:00:21.120 --> 00:00:23.760]  (主持人: 因為我們是無可推諉)
[00:00:23.760 --> 00:00:26.480]  (主持人: 每個人就算說未聽過福音)
[00:00:26.480 --> 00:00:28.560]  (主持人: 我們都知道有一位神)
[00:00:28.560 --> 00:00:32.160]  (主持人: 因為神將自然的啟示給我們)
[00:00:32.160 --> 00:00:35.360]  (主持人: 什麼是自然的啟示或普通的啟示?)
[00:00:35.360 --> 00:00:37.920]  (主持人: 外在的就是神的創造)
[00:00:37.920 --> 00:00:40.400]  (主持人: 當我們見到神這麼美好的創造)
[00:00:40.400 --> 00:00:42.160]  (主持人: 知道有一位創造者)
[00:00:42.160 --> 00:00:45.840]  (主持人: 而神將他自己放在我們每個人的心裏面)
[00:00:45.840 --> 00:00:48.960]  (主持人: 這就是我們的良心 我們的良知)
[00:00:48.960 --> 00:00:52.000]  (主持人: 我們都知道有一位神是無可推諉)
[00:00:52.000 --> 00:00:54.000]  (主持人: 所以每個人不可以說)
[00:00:54.000 --> 00:00:56.880]  (主持人: 我未聽過福音 我不接受神)
[00:00:56.880 --> 00:00:58.880]  (主持人: 神不應該定我的罪)
[00:00:58.880 --> 00:01:02.560]  (主持人: 神應該定每一個人的罪)
[00:01:02.560 --> 00:01:05.520]  (主持人: 因為我們都有從神而來的啟示)
[00:01:05.520 --> 00:01:08.880]  (主持人: 如果神應該定我們的罪)
[00:01:08.880 --> 00:01:10.480]  (主持人: 一個問題就是)
[00:01:10.480 --> 00:01:13.600]  (主持人: 神應該怎樣來定我們的罪)
[00:01:13.600 --> 00:01:17.120]  (主持人: 祂用什麼標準來定人的罪)
[00:01:17.120 --> 00:01:19.440]  (主持人: 這就是我們今天要說的)
[00:01:19.440 --> 00:01:21.440]  (主持人: 首先一些背景)
[00:01:21.440 --> 00:01:24.080]  (主持人: 羅馬書的一章一至十六節)
[00:01:24.080 --> 00:01:27.520]  (主持人: 保羅告訴我們有關基督的福音)
[00:01:27.520 --> 00:01:30.240]  (主持人: 然後在一章十八節開始)
[00:01:30.240 --> 00:01:32.480]  (主持人: 解釋這個福音是什麼)
[00:01:32.480 --> 00:01:34.480]  (主持人: 福音是好消息)
[00:01:34.480 --> 00:01:36.480]  (主持人: 但是聽好消息之前)
[00:01:36.480 --> 00:01:38.480]  (主持人: 我們先要聽壞消息)
[00:01:38.480 --> 00:01:39.840]  (主持人: 就我剛才所說)
[00:01:39.840 --> 00:01:41.520]  (主持人: 每個人都犯了罪)
[00:01:41.520 --> 00:01:45.200]  (主持人: 每個人都在神的怒氣和審判之下)
[00:01:45.200 --> 00:01:50.320]  (主持人: 保羅用了三章經文來堵住眾人的口)
[00:01:50.320 --> 00:01:53.120]  (主持人: 眾人都無可推諉)
[00:01:53.120 --> 00:01:55.600]  (主持人: 沒有人可以有藉口說他們)
[00:01:55.600 --> 00:01:57.600]  (主持人: 不接受神 不相信神)
[00:01:57.600 --> 00:01:59.600]  (主持人: 或者說不知道有一位神)
[00:01:59.600 --> 00:02:02.080]  (主持人: 問題就來了)
[00:02:02.080 --> 00:02:04.080]  (主持人: 如果神是審判)
[00:02:04.080 --> 00:02:06.080]  (主持人: 祂的審判又是不是公平)
[00:02:06.080 --> 00:02:08.080]  (主持人: 是不是公義的呢?)
[00:02:08.080 --> 00:02:10.080]  (主持人: 我們的弟弟過世的時候)
[00:02:10.080 --> 00:02:12.080]  (主持人: 好喜歡說一句話是什麼)
[00:02:12.080 --> 00:02:14.080]  (主持人: That's not fair)
[00:02:14.080 --> 00:02:15.040]  (主持人: This is not fair)
[00:02:15.040 --> 00:02:16.160]  (主持人: That is not fair)
[00:02:16.160 --> 00:02:18.160]  (主持人: 樣樣都不公平 是吧)
[00:02:18.160 --> 00:02:21.440]  (主持人: 做父母的確是很難做到公平)
[00:02:21.440 --> 00:02:23.440]  (主持人: 但是神呢)
[00:02:23.440 --> 00:02:25.440]  (主持人: 祂能不能做到公平)
[00:02:25.440 --> 00:02:27.440]  (主持人: 祂絕對能夠做到公平)
[00:02:27.440 --> 00:02:31.440]  (主持人: 祂審判人的標準絕對是公平)
[00:02:31.440 --> 00:02:33.440]  (主持人: 羅馬書的第一章)
[00:02:33.440 --> 00:02:35.440]  (主持人: 是說到外邦人)
[00:02:35.440 --> 00:02:37.440]  (主持人: 他們沒有神給他們的律法)
[00:02:37.440 --> 00:02:39.440]  (主持人: 他們沒有道德的標準)
[00:02:39.440 --> 00:02:41.440]  (主持人: 他們任意妄為)
[00:02:41.440 --> 00:02:43.440]  (主持人: 有一個很自然的問題就是)
[00:02:43.440 --> 00:02:45.440]  (主持人: 既然他們沒有神的律法)
[00:02:45.440 --> 00:02:47.440]  (主持人: 任意妄為)
[00:02:47.440 --> 00:02:49.440]  (主持人: 神定他們的律法)
[00:02:49.440 --> 00:02:51.440]  (主持人: 任意妄為 神定他們的罪)
[00:02:51.440 --> 00:02:53.440]  (主持人: 那麼有神的律法)
[00:02:53.440 --> 00:02:59.440]  (主持人: 有神道德標準的猶太人又如何呢?)
[00:02:59.440 --> 00:03:01.440]  (主持人: 這個就是第二章要解答的問題)
[00:03:01.440 --> 00:03:03.440]  (主持人: 保羅在這裡)
[00:03:03.440 --> 00:03:07.440]  (主持人: 將名詞由「你們」轉到「你」)
[00:03:07.440 --> 00:03:09.440]  (主持人: 很個人化)
[00:03:09.440 --> 00:03:11.440]  (主持人: 不再是「你們」 是「你」)
