
[00:00:00.000 --> 00:00:04.280]  各位大型節目的人們 平安
[00:00:04.280 --> 00:00:07.800]  我們來到從創造到新創造的第43講
[00:00:07.800 --> 00:00:12.000]  題目是信徒的城市宣教使命
[00:00:12.000 --> 00:00:13.680]  如果你看到現在的封面
[00:00:13.680 --> 00:00:16.240]  就是溫哥華這個地方
[00:00:16.240 --> 00:00:18.560]  接著你會看到一條路
[00:00:18.560 --> 00:00:22.000]  幾個月前我上了一個神學課程
[00:00:22.000 --> 00:00:25.760]  是由我以前在中文大學讀神學的時候
[00:00:25.760 --> 00:00:27.560]  一位教授去教的
[00:00:27.560 --> 00:00:31.600]  課程的名字叫做實踐神學
[00:00:31.600 --> 00:00:34.240]  他說我們讀了很多聖經
[00:00:34.240 --> 00:00:37.120]  讀了很多神學 很多神學家的思想
[00:00:37.120 --> 00:00:39.640]  究竟我們怎麼可以應用到
[00:00:39.640 --> 00:00:44.360]  怎麼可以實踐到在我們現實生活裡面
[00:00:44.360 --> 00:00:45.880]  他說如果大家有留意
[00:00:45.880 --> 00:00:48.080]  在香港也好 不同的環境地方
[00:00:48.080 --> 00:00:52.160]  有一句話用了街名來
[00:00:52.160 --> 00:00:53.400]  好像看起來是開玩笑
[00:00:53.400 --> 00:00:56.040]  但其實反映著一件事就是
[00:00:56.040 --> 00:00:59.840]  好像有些人覺得我們講的道
[00:00:59.840 --> 00:01:02.560]  我們去和別人解聖經
[00:01:02.560 --> 00:01:04.360]  就好像這條街名一樣
[00:01:04.360 --> 00:01:05.720]  是什麼呢?
[00:01:05.720 --> 00:01:07.960]  是叫做「堅離地道」
[00:01:07.960 --> 00:01:09.160]  什麼意思?
[00:01:09.160 --> 00:01:12.000]  就是離不是這個「離」
[00:01:12.000 --> 00:01:13.280]  是離開這個「離」
[00:01:13.280 --> 00:01:15.680]  就是說 廣東話如果用個「堅」字
[00:01:15.680 --> 00:01:17.200]  可以是代表堅硬
[00:01:17.200 --> 00:01:18.520]  或者說真的
[00:01:18.520 --> 00:01:23.160]  就是說真的離開了這個地的道理
[00:01:23.160 --> 00:01:24.160]  為什麼他們會這麼說?
[00:01:24.160 --> 00:01:26.600]  就說你們講的那些聖經
[00:01:26.600 --> 00:01:29.040]  好像在天上一樣
[00:01:29.040 --> 00:01:31.600]  好像講完之後
[00:01:31.600 --> 00:01:35.760]  也不能夠落地去應用到
[00:01:35.760 --> 00:01:37.680]  老師就說我們怎麼可以
[00:01:37.680 --> 00:01:40.320]  由別人覺得是堅離地道
[00:01:40.320 --> 00:01:42.000]  變成另一條街名
[00:01:42.000 --> 00:01:43.640]  就是摸地道
[00:01:43.640 --> 00:01:44.600]  摸地道就是什麼呢?
[00:01:44.600 --> 00:01:47.040]  就是碰到地的
[00:01:47.040 --> 00:01:51.400]  然後就會覺得這個道理是真的
[00:01:51.400 --> 00:01:55.080]  是真實的 是很有用的
[00:01:55.080 --> 00:01:57.040]  然後去到最後
[00:01:57.040 --> 00:02:00.600]  這個道是真的去到活道
[00:02:00.600 --> 00:02:03.600]  這個道是活的
[00:02:03.600 --> 00:02:05.800]  那究竟我們要做些什麼
[00:02:05.800 --> 00:02:09.720]  才可以由別人覺得是堅離地道
[00:02:09.720 --> 00:02:12.960]  然後一直可以摸到地
[00:02:12.960 --> 00:02:18.720]  落到地 然後被人覺得是好的東西
[00:02:18.720 --> 00:02:21.400]  然後覺得是活的
[00:02:21.400 --> 00:02:23.160]  那我們要做些什麼呢?
[00:02:23.160 --> 00:02:25.280]  在《希伯來書》四章十二節里
[00:02:25.280 --> 00:02:26.200]  他這麼說
[00:02:26.200 --> 00:02:28.440]  他是說神的道
[00:02:28.440 --> 00:02:30.640]  神的道是活潑的
[00:02:30.640 --> 00:02:32.280]  是有功效的
[00:02:32.280 --> 00:02:35.120]  比一切兩刃的劍更快
[00:02:35.120 --> 00:02:36.680]  甚至魂與靈
[00:02:36.680 --> 00:02:38.920]  骨節與骨髓都能刺入
[00:02:38.920 --> 00:02:39.840]  否開
[00:02:39.840 --> 00:02:43.480]  連心中的意念和主義都能辨明
[00:02:43.480 --> 00:02:45.280]  哇 神的道
[00:02:45.280 --> 00:02:46.160]  神自己講的
[00:02:46.160 --> 00:02:47.600]  祂的道應該是這樣的
[00:02:47.600 --> 00:02:48.840]  不是我們所講的
[00:02:48.840 --> 00:02:49.960]  又只是一個天道
[00:02:49.960 --> 00:02:51.040]  又應用不了
[00:02:51.040 --> 00:02:51.800]  你想想他講的
[00:02:51.800 --> 00:02:53.960]  第一 是活潑的
[00:02:53.960 --> 00:02:56.800]  你不應該是聽到睡了覺的
[00:02:56.800 --> 00:02:58.160]  如果聽到睡了覺
[00:02:58.160 --> 00:02:59.600]  不關神的道事
[00:02:59.600 --> 00:03:01.240]  可能關表達的事
[00:03:01.240 --> 00:03:03.960]  然後他說是有效的
[00:03:03.960 --> 00:03:08.040]  比一切兩刃的劍更快
[00:03:08.040 --> 00:03:09.440]  你有看過武俠片
