
[00:00:00.000 --> 00:00:09.000]  今天和大家一起思想的經文是加拉太書的第一章第六節至第九節
[00:00:09.000 --> 00:00:15.000]  今天的講題是「真信、假信、別樣福音的奏助本質」
[00:00:15.000 --> 00:00:19.000]  今天再一次藉著主教道理思想這個題目
[00:00:19.000 --> 00:00:23.000]  開始之前讓我和大家一起讀一下這兩篇經文
[00:00:23.000 --> 00:00:26.000]  讓我們能夠先熟習一下經文的內容
[00:00:26.000 --> 00:00:30.000]  加拉太書第一章第六節至第九節
[00:00:30.000 --> 00:00:43.000]  「不知你們這麼快離開,那藉著基督之恩召你們的去從別的福音,那便不是福音,不過有些人搞擾你們,要把基督的福音更改了。
[00:00:43.000 --> 00:00:53.000]  但無論是我們,是天上來的使者,若傳福音給你們,與我們所傳給你們的不同,他就應當被奏助。
[00:00:53.000 --> 00:01:02.000]  我們已經說了,現在又說,若有人傳福音給你們,與你們所領受的不同,他就應當被奏助。」
[00:01:02.000 --> 00:01:06.000]  我在教會裡已經生活了三十一年的時間
[00:01:06.000 --> 00:01:12.000]  在當中遇見過不少的人說他已經信了耶穌或者已經決志信了主
[00:01:12.000 --> 00:01:16.000]  但在當中每一次當我作為一個目者遇見他們的時候
[00:01:16.000 --> 00:01:22.000]  我都會去問一下他們是什麼原因你會信耶穌呢?
[00:01:22.000 --> 00:01:25.000]  為了什麼而你信呢?
[00:01:25.000 --> 00:01:28.000]  還有你信了什麼呢?
[00:01:28.000 --> 00:01:34.000]  但是每一次當我去和這些弟兄姐妹或者信徒交談的時候
[00:01:34.000 --> 00:01:39.000]  他們給出來的答案有些真的讓我感覺到心寒
[00:01:39.000 --> 00:01:45.000]  因為他們的回覆實在是讓我感覺到他們信得非常兒戲
[00:01:45.000 --> 00:01:47.000]  例如曾經有一個這樣對我說
[00:01:47.000 --> 00:01:51.000]  他說我自幼都已經是一個不錯,挺好的人
[00:01:51.000 --> 00:01:56.000]  而且又經常去做善事,好像那些佛教徒說普渡眾生
[00:01:56.000 --> 00:02:00.000]  雖然我不是信佛教,我信耶穌
[00:02:00.000 --> 00:02:06.000]  那就是等同於做人做到底,所以我就信耶穌
[00:02:06.000 --> 00:02:08.000]  另外又聽過有一個這樣說
[00:02:08.000 --> 00:02:14.000]  他說當我最初來到加拿大的時候,沒有什麼朋友
[00:02:14.000 --> 00:02:17.000]  但偶然有一個機會認識了一個基督徒
