
[00:00:00.000 --> 00:00:08.000]  人有悲歡離合 願有音成圓缺
[00:00:08.000 --> 00:00:14.000]  宋詞的蘇東坡 寫一首千古絕唱
[00:00:14.000 --> 00:00:19.000]  為每年的中秋節挑選一些文學浪漫
[00:00:19.000 --> 00:00:25.000]  但這幾年來的文學浪漫可能被現實的處境掩蓋了
[00:00:25.000 --> 00:00:32.000]  因為我們活在一個最少離多 越缺 長缺
[00:00:32.000 --> 00:00:37.000]  而看不到很多團圓結局的處境
[00:00:37.000 --> 00:00:42.000]  所以今天我選了《聖經》當中一卷經卷
[00:00:42.000 --> 00:00:47.000]  同樣是走過人生的悲歡離合 越圓越缺
[00:00:47.000 --> 00:00:52.000]  而到最後可以大團結局的路德記
[00:00:52.000 --> 00:00:57.000]  今天早上我問了一個沒有要求答案的問題
[00:00:57.000 --> 00:01:02.000]  問在座有多少人是全本《聖經》
[00:01:02.000 --> 00:01:06.000]  從頭到尾 從尾到頭 你看過一次的
[00:01:06.000 --> 00:01:10.000]  你不用舉手 但今早有一個人舉手 挺好的
[00:01:10.000 --> 00:01:13.000]  都有點安慰
[00:01:13.000 --> 00:01:18.000]  讀《聖經》確實是一股流淚的堅持
[00:01:18.000 --> 00:01:24.000]  如果我們初信主從頭開始讀《聖經》 確實有極大的難度
[00:01:24.000 --> 00:01:27.000]  所以我多年來帶領弟兄姐妹讀經運動
[00:01:27.000 --> 00:01:29.000]  就是一定要有這個技巧
[00:01:29.000 --> 00:01:34.000]  先讀四封音 再回去讀舊約的《創世記》
[00:01:34.000 --> 00:01:37.000]  再去看羅馬書 交替去看
[00:01:37.000 --> 00:01:41.000]  比較上那個進度會暢順一些
[00:01:41.000 --> 00:01:45.000]  而當你讀到中間有些悶的時候 讀到舊約悶的時候
[00:01:45.000 --> 00:01:48.000]  不妨打開路德記
[00:01:48.000 --> 00:01:53.000]  舊約主要是用歷史和人物故事的穿插
[00:01:53.000 --> 00:01:58.000]  有時候讀來比較艱澀 有些比較枯燥
[00:01:58.000 --> 00:02:02.000]  新約多些具體教導 很明確 簡單易接收
[00:02:02.000 --> 00:02:07.000]  所以說道來說 說新約是容易些
[00:02:07.000 --> 00:02:12.000]  說舊約就變成很多時候 好像上個主題學講完故事就夠鐘
[00:02:12.000 --> 00:02:17.000]  今天時間很緊 只有30分鐘
[00:02:17.000 --> 00:02:21.000]  說到尾說35分鐘 答7天就會完
[00:02:21.000 --> 00:02:26.000]  35分鐘和大家瀏覽路德記
[00:02:26.000 --> 00:02:29.000]  從人物當中去自然出現
