
[00:00:00.000 --> 00:00:06.160]  好 今日節目讓我們在聆聽主的說話之前
[00:00:06.160 --> 00:00:07.660]  我們一齊同心低頭禱告
[00:00:07.660 --> 00:00:15.300]  父神多謝你讓我們再次回來在你的啟示當中學習
[00:00:15.300 --> 00:00:19.480]  透過你僕人保羅所寫的這封書信
[00:00:19.480 --> 00:00:23.820]  為了教會所付出的時間心力
[00:00:23.820 --> 00:00:28.040]  我們也懇求主讓我們帶著感恩的心來領受
[00:00:28.040 --> 00:00:31.720]  好像昔日主耶穌基督一樣
[00:00:31.720 --> 00:00:34.600]  祂願意為我們的得救
[00:00:34.600 --> 00:00:40.680]  為上帝你的心願而去甘願受苦死在十字架上
[00:00:40.680 --> 00:00:46.080]  讓我們在這個時候再次為了這件事獻上感恩之言
[00:00:46.080 --> 00:00:53.720]  也讓我們每一個人都能夠好好學會上主這份侍奉的心志
[00:00:53.720 --> 00:01:00.840]  讓我們能夠在我們今天的屬靈人生路上所行所想所作
[00:01:00.840 --> 00:01:07.880]  都是滿有明白體貼上主心思而去實踐的事情
[00:01:07.880 --> 00:01:11.560]  禱告奉靠主耶穌基督德性的名字而靠
[00:01:11.560 --> 00:01:12.560]  阿們
[00:01:12.560 --> 00:01:18.440]  移民很多人都為了去找工作而去酬賬
[00:01:18.440 --> 00:01:23.800]  我在加拿大這幾十年的日子裡面
[00:01:23.800 --> 00:01:32.880]  其實在工作上雖然主要以侍奉主為我的基礎
[00:01:32.880 --> 00:01:36.520]  但是有時候因應著財政的需要
[00:01:36.520 --> 00:01:41.760]  也都試過有很多不同的在加拿大的工作機會
[00:01:41.760 --> 00:01:46.440]  在英語世界裡面工作
[00:01:46.440 --> 00:01:54.880]  其實第一個挑戰就是對於這邊的文化或者語言上等等的種種挑戰
[00:01:54.880 --> 00:02:00.320]  我記得我有一份在英語世界的工作
[00:02:00.320 --> 00:02:07.120]  就是做一個移民中心的一個全日的工作
[00:02:07.120 --> 00:02:08.520]  interpreter
[00:02:08.520 --> 00:02:18.160]  大家順帶一提interpretation和translation是兩種工作
[00:02:18.160 --> 00:02:26.160]  interpreter除了要將人說的話轉換成另一個語言之外
[00:02:26.160 --> 00:02:28.720]  同時要抓到那個語氣
[00:02:28.720 --> 00:02:31.440]  這個是不容易的工作
[00:02:31.440 --> 00:02:37.040]  以及那個反應的快速是很大的需要
[00:02:37.040 --> 00:02:40.880]  所以當時為了要做這份工作
[00:02:40.880 --> 00:02:43.560]  我就要去考一個牌照
[00:02:43.560 --> 00:02:46.320]  要去考一個全日牌
[00:02:46.320 --> 00:02:52.080]  全日牌在加拿大特別是安省就還要有兩個牌要考的
[00:02:52.080 --> 00:02:55.560]  一個就是一般的全日牌
[00:02:55.560 --> 00:03:02.720]  另一個全日牌就是專門為了家庭暴力去做這個牌照
[00:03:02.720 --> 00:03:09.640]  考完這個考試才可以去真正做一個即時傳譯者
[00:03:09.640 --> 00:03:16.440]  我記得我第一份找的即時傳譯工作就是一個移民中心
[00:03:16.440 --> 00:03:24.040]  是一個所謂社福界的移民中心裏面的傳譯員
[00:03:24.040 --> 00:03:27.720]  但是傳譯不是這麼簡單的一件事
[00:03:27.720 --> 00:03:31.720]  不是一個人去到懂得一個語言就可以的
[00:03:31.720 --> 00:03:35.480]  有很多的訓練在職訓練
[00:03:35.480 --> 00:03:39.880]  在第一個星期基本上是很忙碌的
[00:03:39.880 --> 00:03:45.480]  除了要去觀摩人家其他的傳譯怎樣做之外
[00:03:45.480 --> 00:03:48.360]  因為我就做普通話一國
[00:03:48.360 --> 00:03:53.080]  和廣東話譯英語雙向的翻譯
[00:03:53.080 --> 00:03:58.120]  所以那個即時的反應是很大的需要
[00:03:58.120 --> 00:04:01.200]  我記得我第一次做的時候
[00:04:01.200 --> 00:04:05.880]  傳譯了沒多久就十多二十分鐘左右
[00:04:05.880 --> 00:04:09.080]  我真的要睡一個多小時才可以恢復元氣
[00:04:09.080 --> 00:04:12.240]  因為他用腦是用得很厲害的
[00:04:12.240 --> 00:04:16.520]  因為這麼要求高的工作
[00:04:16.520 --> 00:04:25.680]  那個時候這個移民中心就有一個導師專門去訓練我去做這件事
[00:04:25.680 --> 00:04:27.840]  他用了一個星期左右去訓練
[00:04:27.840 --> 00:04:31.760]  但是訓練到最後一個星期
[00:04:31.760 --> 00:04:33.840]  他給的評語就是說
[00:04:33.840 --> 00:04:36.400]  其實Alan就不用再訓練了
[00:04:36.400 --> 00:04:41.920]  因為他好好預備好做這份工作
[00:04:41.920 --> 00:04:46.600]  或者可能我的語言能力足夠
[00:04:46.600 --> 00:04:48.000]  他覺得
[00:04:48.000 --> 00:04:51.680]  但是當去到最後一天的時候
[00:04:51.680 --> 00:04:57.760]  我就很感謝這一位栽培我的導師
[00:04:57.760 --> 00:05:00.600]  但是當說了沒多久之後
[00:05:00.600 --> 00:05:05.400]  我們那個傳譯中心的主管就走出來
