
[00:00:00.000 --> 00:00:06.820]  感謝主給我機會回來自己的大家庭當中
[00:00:06.820 --> 00:00:08.820]  和大家分享神的說話
[00:00:08.820 --> 00:00:11.400]  我曾經在這裡做過傳道
[00:00:11.400 --> 00:00:14.120]  現在雖然少回來
[00:00:14.120 --> 00:00:15.540]  但這次回來的時候
[00:00:15.540 --> 00:00:19.380]  最初想一下會不會在網上和大家在Zoom見面
[00:00:19.380 --> 00:00:21.060]  或者在YouTube見面
[00:00:21.060 --> 00:00:25.160]  很開心正如主席帶領我們
[00:00:25.160 --> 00:00:27.800]  在一個很難得這段時間
[00:00:27.800 --> 00:00:30.100]  可以面對面的大家來參加
[00:00:30.100 --> 00:00:31.120]  也歡迎大家
[00:00:31.120 --> 00:00:34.460]  我知道很多人因為疫情的緣故很少外出
[00:00:34.460 --> 00:00:36.240]  所以你今天冒著生命危險
[00:00:36.240 --> 00:00:39.480]  冒著疫情的困難來到我們當中
[00:00:39.480 --> 00:00:41.240]  我們特別歡迎你
[00:00:41.240 --> 00:00:43.980]  而且今天是母親節
[00:00:43.980 --> 00:00:47.960]  老實說 這些類似的信息
[00:00:47.960 --> 00:00:50.960]  我相信你今天早上WhatsApp已經收到爆了
[00:00:50.960 --> 00:00:52.840]  第一個信息你今天收不到的
[00:00:52.840 --> 00:00:55.280]  應該收不到的就是這個
[00:00:55.280 --> 00:00:56.320]  父親節
[00:00:56.320 --> 00:00:58.320]  因為還沒有到
[00:00:58.320 --> 00:01:01.600]  但是父親節就會是下個月
[00:01:01.600 --> 00:01:04.000]  我們想著一起慶祝
[00:01:04.000 --> 00:01:04.900]  更加高興一點
[00:01:04.900 --> 00:01:06.400]  我們叫做雙親節
[00:01:06.400 --> 00:01:08.040]  一個特別的聚會
[00:01:08.040 --> 00:01:11.880]  那麼難得我們除了能夠面對面
[00:01:11.880 --> 00:01:13.720]  比較直接的溝通之外
[00:01:13.720 --> 00:01:15.280]  我都相信很多老友記
[00:01:15.280 --> 00:01:17.360]  很多新朋友在我們當中
[00:01:17.360 --> 00:01:19.880]  好不好在一個疫情之下
[00:01:19.880 --> 00:01:23.880]  你能夠保持應該適當的社交的活動呢?
[00:01:23.880 --> 00:01:26.680]  你歡迎一下你周圍的新的朋友
[00:01:26.680 --> 00:01:27.600]  舊的朋友
[00:01:27.600 --> 00:01:29.120]  媽媽 爸爸等等
[00:01:29.120 --> 00:01:30.720]  請你現在起起立
[00:01:30.720 --> 00:01:34.800]  在適當的接觸的裏面
[00:01:34.800 --> 00:01:36.440]  能夠彼此歡迎一下
[00:01:36.440 --> 00:01:38.440]  好不好彼此歡迎一下
[00:01:38.440 --> 00:01:42.840]  相信大家今天都有很多的節目安排
[00:01:42.840 --> 00:01:45.960]  我看到已經好像預備了一些花
[00:01:45.960 --> 00:01:47.400]  已經很厲害了
[00:01:47.400 --> 00:01:53.080]  母親節 父親節快樂
[00:01:53.080 --> 00:01:56.160]  不過在現實裏面
[00:01:56.160 --> 00:01:58.120]  特別過去這幾年
[00:01:58.120 --> 00:02:01.080]  這段時間大家快不快樂
[00:02:01.080 --> 00:02:02.520]  快不快樂
[00:02:02.520 --> 00:02:04.080]  我聽很多心理的報告
[00:02:04.080 --> 00:02:06.840]  就說現在抑鬱的指數
[00:02:06.840 --> 00:02:08.760]  是非常的高
[00:02:08.760 --> 00:02:11.440]  還有影響全個城市
[00:02:11.440 --> 00:02:13.360]  甚至全世界
[00:02:13.360 --> 00:02:17.080]  這些照片令我心裏很難過
[00:02:17.080 --> 00:02:19.880]  在世界很多地方
[00:02:19.880 --> 00:02:21.800]  因為糧食的問題
[00:02:21.800 --> 00:02:23.520]  最近聯合國出了一個報告
[00:02:23.520 --> 00:02:25.720]  超過2億人
[00:02:25.720 --> 00:02:28.760]  2億人在飢餓當中
[00:02:28.760 --> 00:02:30.040]  全世界只有70億左右
[00:02:30.040 --> 00:02:33.680]  2億人在飢餓當中
[00:02:33.680 --> 00:02:35.920]  這些原因
[00:02:35.920 --> 00:02:37.360]  這些新聞
[00:02:37.360 --> 00:02:39.520]  可能令到我們都很不安心
[00:02:39.520 --> 00:02:41.320]  還是打硬仗
[00:02:41.320 --> 00:02:45.640]  人類的文明沒有帶給我們更好的相處
[00:02:45.640 --> 00:02:48.520]  反而有更高的殺傷力
[00:02:48.520 --> 00:02:51.240]  這些在電視機看到的畫面
[00:02:51.240 --> 00:02:53.240]  相信大家都不會忘記
[00:02:53.240 --> 00:02:56.240]  有人冒死爬上飛機
[00:02:56.240 --> 00:02:59.840]  都是想離開一個
[00:02:59.840 --> 00:03:02.520]  他覺得會很痛苦的地方
[00:03:02.520 --> 00:03:04.240]  比我們近一點的緬甸
[00:03:04.240 --> 00:03:07.880]  現在仍然都在內戰當中
[00:03:07.880 --> 00:03:10.640]  香港本來是一個樂土
[00:03:10.640 --> 00:03:12.040]  但是過去這幾年
[00:03:12.040 --> 00:03:15.760]  無論你是政治什麼光譜的位置都好
[00:03:15.760 --> 00:03:17.440]  但我相信沒有人會想見到
[00:03:17.440 --> 00:03:20.120]  這些事會發生
[00:03:20.120 --> 00:03:21.520]  當然今天的題目
[00:03:21.520 --> 00:03:24.240]  教會給我的題目就是疫情
[00:03:24.240 --> 00:03:28.440]  我和你一樣
[00:03:28.440 --> 00:03:31.000]  沒有人想過我們在有生之年
[00:03:31.000 --> 00:03:33.080]  會見到一個影響全球
[00:03:33.080 --> 00:03:36.440]  是講的是以年計的一個疫情
[00:03:36.440 --> 00:03:40.240]  早段時間香港的疫情
[00:03:40.240 --> 00:03:42.280]  在醫院門口的一幕一幕
[00:03:42.280 --> 00:03:45.440]  我相信大家是歷歷在目的
[00:03:45.440 --> 00:03:49.000]  全世界在一個混亂當中
[00:03:49.000 --> 00:03:50.480]  就算你去到外國
[00:03:50.480 --> 00:03:51.520]  都不見得
[00:03:51.520 --> 00:03:55.080]  這個一定是一個樂土
[00:03:55.080 --> 00:03:57.400]  我猜大家今天
[00:03:57.400 --> 00:03:58.920]  可能會問一個問題
[00:03:58.920 --> 00:04:01.320]  究竟這些問題
[00:04:01.320 --> 00:04:05.000]  是天災還是人禍呢?
[00:04:05.000 --> 00:04:07.280]  天災人禍都會有的
[00:04:07.280 --> 00:04:09.000]  如果只是天災
[00:04:09.000 --> 00:04:10.320]  可能沒那麼嚴重
