
[00:00:00.000 --> 00:00:06.840]  今天我們會來看馬太福音第十章
[00:00:06.840 --> 00:00:11.200]  有時我自己也在想,終於到了第十章了
[00:00:11.200 --> 00:00:14.600]  說了差不多四十一堂了
[00:00:14.600 --> 00:00:17.600]  何時才說完馬太福音呢?
[00:00:17.600 --> 00:00:22.720]  我希望用兩年時間說,所以大家應該沒什麼問題的
[00:00:22.720 --> 00:00:24.720]  我一定會說完的
[00:00:24.720 --> 00:00:32.240]  在看這段聖經的時候,我相信按照剛才黎帝卿為我們所讀出的時候
[00:00:32.240 --> 00:00:38.560]  大家都很清楚知道這段是說十二個門徒被召的事情
[00:00:38.560 --> 00:00:40.560]  有什麼好說呢?
[00:00:40.560 --> 00:00:43.960]  所以今天我就給了一個講題
[00:00:43.960 --> 00:00:50.160]  就是光榮媽作主的莊稼當中的工人
[00:00:50.160 --> 00:00:55.720]  希望透過這段講題能夠幫助大家更進一步了解到
[00:00:55.720 --> 00:01:00.920]  呼召十二個門徒這件事本身對於我們的意義是什麼
[00:01:00.920 --> 00:01:09.760]  在看這段經文之前,我想跟大家分享一些我童年或者少年的經驗
[00:01:09.760 --> 00:01:19.040]  如果大家在讀書的時期,不知道你有沒有經歷過玩一些遊戲
[00:01:19.040 --> 00:01:24.560]  我記得小學的時候,我很喜歡跟同學玩一個遊戲叫猜皇帝
[00:01:24.560 --> 00:01:25.560]  懂不懂玩?
[00:01:25.560 --> 00:01:32.520]  猜皇帝有一個人做了皇帝,然後他要找兩個左右丞相
[00:01:32.520 --> 00:01:38.360]  他要在過程中點擊其中兩個同學,然後做他的左右丞相
[00:01:38.360 --> 00:01:44.800]  你要見這個皇帝搶皇位,你就一定要先猜贏那兩個左右丞相
[00:01:44.800 --> 00:01:48.280]  如果不是,皇帝你就沒份了
[00:01:48.280 --> 00:01:51.360]  這個遊戲很有趣,為什麼呢?
[00:01:51.360 --> 00:01:55.640]  特別是被皇帝選你做左右丞相
[00:01:55.640 --> 00:02:00.400]  能否成為左右丞相都是一份很大的光榮
