
[00:00:00.000 --> 00:00:06.000]  我們首先祈禱
[00:00:06.000 --> 00:00:17.000]  祈禱
[00:00:17.000 --> 00:00:21.000]  我們說關於生命記
[00:00:21.000 --> 00:00:29.000]  大家應該有搜查文章吧
[00:00:29.000 --> 00:00:32.000]  首先說說這本書是甚麼
[00:00:32.000 --> 00:00:36.000]  然後我會說說如何介紹這本書
[00:00:36.000 --> 00:00:38.000]  很多東西要說
[00:00:38.000 --> 00:00:40.000]  每一個章節都說不太對
[00:00:40.000 --> 00:00:42.000]  既然不敢這樣做
[00:00:42.000 --> 00:00:44.000]  那要怎樣做呢
[00:00:44.000 --> 00:00:52.000]  生命記呢 其實沒有一本書叫生命記
[00:00:52.000 --> 00:00:54.000]  大家覺得很奇怪吧
[00:00:54.000 --> 00:00:56.000]  是真的沒有的
[00:00:56.000 --> 00:00:58.000]  有一本書叫做托拉
[00:00:58.000 --> 00:01:00.000]  我們叫它摩西五經
[00:01:00.000 --> 00:01:04.000]  猶太人叫它托拉
[00:01:04.000 --> 00:01:11.000]  生命記其實就是托拉的一部分
[00:01:11.000 --> 00:01:15.000]  嚴格來說就是一本書的一部分
[00:01:15.000 --> 00:01:17.000]  為甚麼會有一本這樣的書呢
[00:01:17.000 --> 00:01:21.000]  因為以前是抄經和經是一卷一卷的
[00:01:21.000 --> 00:01:26.000]  你想想如果我們整本摩西五經抄在一卷書裏
[00:01:26.000 --> 00:01:28.000]  那卷就很大了
[00:01:28.000 --> 00:01:32.000]  所以大到懂讀書的人就開不了
[00:01:32.000 --> 00:01:34.000]  開得到的 拿得住的人就不會字
[00:01:34.000 --> 00:01:39.000]  所以最後就抄開五卷書
[00:01:39.000 --> 00:01:46.000]  書生型的阿們都可以拿起來看
[00:01:46.000 --> 00:01:49.000]  那五卷書分開之後
[00:01:49.000 --> 00:01:56.000]  原本希伯來文的名字就是那卷書前面的一部分字
[00:01:56.000 --> 00:02:00.000]  所以創世記的名字叫做Bereshit
[00:02:00.000 --> 00:02:02.000]  這是希伯來文的名字
[00:02:02.000 --> 00:02:05.000]  起初的字是第一個字
[00:02:05.000 --> 00:02:08.000]  所以有些人就問這是甚麼書呢
[00:02:08.000 --> 00:02:10.000]  就說是一個拉比
[00:02:10.000 --> 00:02:14.000]  就叫他的書僮拿出一個Torah
[00:02:14.000 --> 00:02:17.000]  那書僮就問他Torah是哪一卷書呢
[00:02:17.000 --> 00:02:18.000]  他就說Bereshit
[00:02:18.000 --> 00:02:22.000]  那書僮就去找開一點的字
[00:02:22.000 --> 00:02:23.000]  寫著Bereshit
[00:02:23.000 --> 00:02:24.000]  就是那卷東西
[00:02:24.000 --> 00:02:28.000]  所以五經的名字原本就是一開
[00:02:28.000 --> 00:02:31.000]  看頭幾個字就是那本書的名字
[00:02:31.000 --> 00:02:32.000]  就是這樣
[00:02:32.000 --> 00:02:36.000]  說了之後我們現在真的有一本叫做生命記
[00:02:36.000 --> 00:02:38.000]  那又怎樣呢
[00:02:38.000 --> 00:02:42.000]  今時今日就已經分開了
[00:02:42.000 --> 00:02:44.000]  當它是五本書來看
[00:02:44.000 --> 00:02:46.000]  嚴格來說是不應該的
[00:02:46.000 --> 00:02:48.000]  不過這樣看原來都可以的
