
[00:00:00.000 --> 00:00:04.160]  今晚我們會選擇一件事來講
[00:00:04.160 --> 00:00:06.840]  就是夫妻的雙向溝通
[00:00:06.840 --> 00:00:09.160]  剛才走來走去的朋友
[00:00:09.160 --> 00:00:11.960]  你看到上一場好像比這一場多人
[00:00:11.960 --> 00:00:13.840]  他們都是很多夫妻來的
[00:00:13.840 --> 00:00:15.720]  我看到一直說
[00:00:15.720 --> 00:00:18.320]  我看到一些不堪入目的鏡頭
[00:00:18.320 --> 00:00:20.680]  有些老婆指著老公的鼻子
[00:00:20.680 --> 00:00:21.880]  經常都是這樣
[00:00:21.880 --> 00:00:24.000]  希望待會大家都可以
[00:00:24.000 --> 00:00:26.720]  只不過不要讓隔壁那個
[00:00:26.720 --> 00:00:29.840]  看得太開心的樣子
[00:00:29.840 --> 00:00:31.840]  你可以 另一個表情就是
[00:00:31.840 --> 00:00:35.720]  有時兩夫妻這樣 眼睛這樣刮一刮
[00:00:35.720 --> 00:00:38.960]  當然你說很刺激 其實不是的
[00:00:38.960 --> 00:00:42.240]  其實跟著的表情是兩個人笑起來的
[00:00:42.240 --> 00:00:45.520]  其實研究溝通
[00:00:45.520 --> 00:00:48.000]  是一個新人就應該懂的
[00:00:48.000 --> 00:00:51.000]  但既然到了大人 都可以未懂的
[00:00:51.000 --> 00:00:53.200]  我今天做了一個筆記
[00:00:53.200 --> 00:00:56.240]  這個筆記是什麼呢 就是幾特別的筆記
[00:00:56.240 --> 00:01:00.120]  這個是我以前想在教大學我自己的手法
[00:01:00.120 --> 00:01:01.720]  我在理工教育公司讀書
[00:01:01.720 --> 00:01:04.720]  每一堂書講大講章的時候
[00:01:04.720 --> 00:01:07.240]  我都喜歡自己做一個筆記給學生
[00:01:07.240 --> 00:01:09.680]  將我整個小時或者兩個小時
[00:01:09.680 --> 00:01:12.440]  三個小時我講什麼就印出來
[00:01:12.440 --> 00:01:14.720]  一個大綱印 這個就是我的手法
[00:01:14.720 --> 00:01:16.880]  變成我講到第幾段
[00:01:16.880 --> 00:01:19.360]  隨時可以加入 隨時可以分析 都容易很多
[00:01:19.360 --> 00:01:21.040]  還有可以告訴他
[00:01:21.040 --> 00:01:22.240]  你回家要溫習一下
[00:01:22.240 --> 00:01:25.760]  因為你要去想一下你自己能不能做到
[00:01:25.760 --> 00:01:29.400]  這18樣東西就是我一本書叫《EQ心上人》
[00:01:29.400 --> 00:01:32.080]  這本書是在一年多前寫的
[00:01:32.080 --> 00:01:33.840]  當時是為了什麼呢
[00:01:33.840 --> 00:01:36.360]  是為了情人節來寫的
[00:01:36.360 --> 00:01:37.800]  寫給那些拍拖
[00:01:37.800 --> 00:01:41.200]  還有在婚姻裡面還想更加好的
[00:01:41.200 --> 00:01:43.720]  原因就是我被一個先生刺激我
[00:01:43.720 --> 00:01:45.120]  他經常說就是
[00:01:45.120 --> 00:01:46.440]  你結了婚之後
