
[00:00:00.000 --> 00:00:04.000]  我們一起讀一讀今晚的講題
[00:00:04.000 --> 00:00:06.000]  1,2,3
[00:00:06.000 --> 00:00:09.000]  最大要求是死亡
[00:00:09.000 --> 00:00:12.000]  我們是甚麼來的呢?
[00:00:12.000 --> 00:00:15.000]  我們祈個靚肚,我們就開始了
[00:00:15.000 --> 00:00:22.000]  感謝天父讓我們能夠有言語述說祢的作為
[00:00:22.000 --> 00:00:28.000]  主啊,祢是冥冥中當中安排宇宙創造萬物的一切
[00:00:28.000 --> 00:00:34.000]  以致我們存著敬畏的心,恭敬的心,謙卑的心
[00:00:34.000 --> 00:00:37.000]  領受祢對我們生命的說話
[00:00:37.000 --> 00:00:43.000]  主,祢仍是不放棄我們,所以祢要跟我們說話
[00:00:43.000 --> 00:00:48.000]  所以今天,懇求主祢讓我們聽到的,真是不是人的說話
[00:00:48.000 --> 00:00:51.000]  主,我們乃願聽到祢微笑的聲音
[00:00:51.000 --> 00:00:57.000]  在我們內心的深處產生一個生命的改變和造化
[00:00:57.000 --> 00:01:03.000]  以致我們能夠帶著不一樣的生命離開這個崇拜的會場
[00:01:03.000 --> 00:01:06.000]  求神祢親自改變我們的心思意念
[00:01:06.000 --> 00:01:12.000]  也照明我們生命內的黑暗,一切都要赤露塘開
[00:01:12.000 --> 00:01:17.000]  讓祢的聖靈大大工作,讓我們不是聽咒就亡了
[00:01:17.000 --> 00:01:20.000]  而是能夠改變我們的生命
[00:01:20.000 --> 00:01:25.000]  求祢幫助引領,奉耶穌基督的名祈禱,阿們
[00:01:25.000 --> 00:01:32.000]  今晚的詩篇,我選了詩篇第十九篇來跟大家分享
[00:01:32.000 --> 00:01:36.000]  詩篇第十九篇是一個比較熟悉的詩篇
[00:01:36.000 --> 00:01:41.000]  因為我們讀經的時候,有很多時候都會讀到詩篇第十九篇
[00:01:41.000 --> 00:01:46.000]  我大概將詩篇第十九篇分為三段來跟大家理解
[00:01:46.000 --> 00:01:54.000]  用一個最重要的有「詩」,用「詩」字串連整個詩篇的主題
[00:01:54.000 --> 00:02:00.000]  一到六節,我將會分享大自然的saying
[00:02:00.000 --> 00:02:03.000]  即是說大自然原來是會說話的
[00:02:03.000 --> 00:02:09.000]  我們也用比較神學性的智慧,用自然的啟示
[00:02:09.000 --> 00:02:13.000]  去跟大家分享原來這個世界的創造天地萬物
[00:02:13.000 --> 00:02:20.000]  每一個花朵,每一個樹葉,每一個蝴蝶都在跟你說話
[00:02:20.000 --> 00:02:24.000]  而那個說話就是彰顯著上帝的大能
[00:02:24.000 --> 00:02:30.000]  所以第一點就是體會大自然處處都有「詩」
