
[00:00:00.000 --> 00:00:05.840]  今天我們要結束針刑的系列
[00:00:05.840 --> 00:00:09.560]  針刑的系列已經講了一段日子
[00:00:09.560 --> 00:00:13.640]  今天講最後的一個分享
[00:00:13.640 --> 00:00:15.920]  叫做自製的智慧
[00:00:15.920 --> 00:00:17.800]  你覺得很奇怪
[00:00:17.800 --> 00:00:19.120]  自製的智慧
[00:00:19.120 --> 00:00:21.920]  是不是自己製造的智慧出來
[00:00:21.920 --> 00:00:25.160]  這個「制」不是製造的「制」
[00:00:25.160 --> 00:00:27.160]  這個「制」是克制
[00:00:27.160 --> 00:00:28.880]  這個「制」是控制
[00:00:28.880 --> 00:00:31.120]  是要控制自己的情緒
[00:00:31.120 --> 00:00:33.600]  是要控制自己的脾氣
[00:00:33.600 --> 00:00:37.800]  美國有2500萬人
[00:00:37.800 --> 00:00:40.280]  都不能控制自己的脾氣
[00:00:40.280 --> 00:00:42.640]  時時都會發脾氣
[00:00:42.640 --> 00:00:46.080]  時時都會控制不了他們的情緒
[00:00:46.080 --> 00:00:49.880]  當中我們相信有很多人
[00:00:49.880 --> 00:00:52.080]  都可能有自製的問題
[00:00:52.080 --> 00:00:54.720]  我第一個來承認
[00:00:54.720 --> 00:00:57.000]  我其實脾氣很大
[00:00:57.000 --> 00:01:00.240]  你不要看我平時好像沒什麼
[00:01:00.240 --> 00:01:03.240]  我的家人都很怕我發脾氣
[00:01:03.240 --> 00:01:05.240]  他們說當我發脾氣的時候
[00:01:05.240 --> 00:01:06.640]  我是很兇的
[00:01:06.640 --> 00:01:08.040]  我是很可怕的
[00:01:08.040 --> 00:01:10.040]  我是絕對不可愛
[00:01:10.040 --> 00:01:14.560]  所以這一邊也給我自己很重要
[00:01:14.560 --> 00:01:17.720]  如果我們不能夠自製的時候
[00:01:17.720 --> 00:01:20.400]  就能夠造成很大的傷害
[00:01:20.400 --> 00:01:22.680]  尤其是人與人的關係
[00:01:22.680 --> 00:01:26.120]  所以我們看到有很多的家庭
[00:01:26.120 --> 00:01:29.440]  很多的教會都會有破裂
[00:01:29.440 --> 00:01:33.080]  就是因為人不能夠控制自己的情緒
[00:01:33.080 --> 00:01:35.080]  不能夠有自製
[00:01:35.080 --> 00:01:39.240]  今天我們會講《針研》25章
[00:01:39.240 --> 00:01:41.560]  主要的經文都在這裏25章
[00:01:41.560 --> 00:01:43.960]  剛才周長老為我們讀了
[00:01:43.960 --> 00:01:46.760]  我們一起來看看在《針研》裏面
[00:01:46.760 --> 00:01:49.840]  怎樣教我們自製
[00:01:49.840 --> 00:01:52.960]  首先要講的
[00:01:52.960 --> 00:01:56.680]  不是所有的發脾氣
[00:01:56.680 --> 00:01:59.680]  不是所有的憤怒都是犯罪
[00:01:59.680 --> 00:02:01.680]  都是不對的
[00:02:01.680 --> 00:02:06.640]  我們先看一節經文已不所書的4章26節
[00:02:06.640 --> 00:02:09.040]  「生氣卻不要犯罪
[00:02:09.040 --> 00:02:11.040]  不可含怒度日落」
[00:02:11.040 --> 00:02:13.600]  經文不是說不要生氣
[00:02:13.600 --> 00:02:15.040]  但是當你生氣
[00:02:15.040 --> 00:02:16.640]  當你有憤怒的時候
[00:02:16.640 --> 00:02:19.520]  不要含怒度日落
[00:02:19.520 --> 00:02:22.640]  原來是有正義的憤怒
[00:02:22.640 --> 00:02:24.640]  甚麼叫做正義的憤怒
[00:02:24.640 --> 00:02:28.080]  我們一起來看看耶穌基督的例子
[00:02:28.080 --> 00:02:30.560]  耶穌基督會為了不公義
[00:02:30.560 --> 00:02:33.400]  或者不正義的事而憤怒
[00:02:33.400 --> 00:02:35.400]  這個不是犯罪
[00:02:35.400 --> 00:02:39.360]  耶穌基督有兩次因為聖殿被褻瀆
[00:02:39.360 --> 00:02:41.360]  而他有憤怒
[00:02:41.360 --> 00:02:43.920]  他見到人們在聖殿做買賣
[00:02:43.920 --> 00:02:45.040]  褻瀆聖殿
[00:02:45.040 --> 00:02:46.360]  所以他很生氣
[00:02:46.360 --> 00:02:50.880]  這兩件事都是記錄在四福音裏面
[00:02:50.880 --> 00:02:54.480]  我們知道如果四福音都有記載的事
[00:02:54.480 --> 00:02:56.840]  就是非常非常重要的事
[00:02:56.840 --> 00:02:59.840]  有一次耶穌基督
[00:02:59.840 --> 00:03:02.880]  他是生氣民事和法理賽人
[00:03:02.880 --> 00:03:05.680]  他覺得他們是假冒為善
[00:03:05.680 --> 00:03:06.680]  他是很生氣
[00:03:06.680 --> 00:03:11.480]  這件事記載在馬太福音的23章1至4節
[00:03:11.480 --> 00:03:14.000]  我們也看到
[00:03:14.000 --> 00:03:15.480]  在安息日
[00:03:15.480 --> 00:03:19.680]  耶穌基督是醫好了一個是箍乾手的人
[00:03:19.680 --> 00:03:22.080]  因為在安息日
