
[00:00:00.000 --> 00:00:02.980]  各位頂尖的姐妹
[00:00:02.980 --> 00:00:06.260]  歷史的教訓
[00:00:06.260 --> 00:00:08.260]  讓我們看得見
[00:00:08.260 --> 00:00:12.260]  國家的興亡不是一朝一夕的事
[00:00:12.260 --> 00:00:15.500]  另一方面
[00:00:15.500 --> 00:00:19.020]  又讓我們看得見一個人的誠信
[00:00:19.020 --> 00:00:24.220]  是非常重要的
[00:00:24.220 --> 00:00:26.220]  一個人沒有誠信
[00:00:26.220 --> 00:00:29.220]  沒有道德觀念的時候
[00:00:29.220 --> 00:00:31.220]  他不單止自己危險
[00:00:31.220 --> 00:00:35.220]  而且將這個危險帶到他的家
[00:00:35.220 --> 00:00:37.220]  帶到這個社會
[00:00:37.220 --> 00:00:40.820]  有人說這個世上有些不變的律
[00:00:40.820 --> 00:00:44.220]  這個律是個人的錯個人承擔
[00:00:44.220 --> 00:00:46.220]  同不同意嗎?
[00:00:46.220 --> 00:00:49.220]  個人的錯你個人承擔
[00:00:49.220 --> 00:00:50.220]  換句話來說
[00:00:50.220 --> 00:00:54.220]  你一個人的錯不能追究他其他的親人
[00:00:54.220 --> 00:00:55.220]  豬狗族
[00:00:55.220 --> 00:00:57.220]  這個不應該的
[00:00:57.220 --> 00:00:59.220]  我們要追究的是他自己
[00:00:59.220 --> 00:01:02.220]  但是這個人的錯在家裏發生
[00:01:02.220 --> 00:01:04.220]  家庭的錯
[00:01:04.220 --> 00:01:05.220]  甚麼是家庭的錯呢?
[00:01:05.220 --> 00:01:08.220]  家庭可能是因為一個人的錯
[00:01:08.220 --> 00:01:10.220]  但是家人不覺得他的錯是錯
[00:01:10.220 --> 00:01:13.220]  包庇還壞的時候
[00:01:13.220 --> 00:01:15.220]  家庭的錯
[00:01:15.220 --> 00:01:18.220]  整個家庭都要承擔
[00:01:18.220 --> 00:01:20.220]  社會的錯
[00:01:20.220 --> 00:01:21.220]  社會承擔
[00:01:21.220 --> 00:01:23.220]  到底甚麼叫社會的錯呢?
[00:01:23.220 --> 00:01:26.220]  就是當我們見到社會裏有些罪在當中
[00:01:26.220 --> 00:01:29.220]  而我們竟然視若無睹
[00:01:29.220 --> 00:01:32.220]  我們見到一些暴行發生在我們周圍
[00:01:32.220 --> 00:01:35.220]  我們可以完全置諸不理
[00:01:35.220 --> 00:01:37.220]  當那件事是沒有發生的時候
[00:01:37.220 --> 00:01:40.220]  這個就不再是一個人的錯
[00:01:40.220 --> 00:01:42.220]  是我們自己有錯
[00:01:42.220 --> 00:01:45.220]  是整個社會的良心有錯
