
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 各位朋友 早安
[00:00:03.000 --> 00:00:05.000]  很開心再一次回來講福堂
[00:00:05.000 --> 00:00:08.000]  今次我會講三堂
[00:00:08.000 --> 00:00:10.000]  但最後那堂是國語
[00:00:10.000 --> 00:00:14.000]  第一堂講的是萬步雨中
[00:00:14.000 --> 00:00:16.000]  其實昨天那堂應該是第一堂
[00:00:16.000 --> 00:00:22.000]  叫做仰望星空 萬步雨中 一生何求
[00:00:22.000 --> 00:00:25.000]  有人說頭兩堂的名字很浪漫
[00:00:25.000 --> 00:00:28.000]  其實不是很浪漫 是很實在的
[00:00:28.000 --> 00:00:31.000]  希望和大家分享一下這篇訊息
[00:00:31.000 --> 00:00:33.000]  我們先去祈禱 預備我們的心
[00:00:33.000 --> 00:00:35.000]  求主你也是帶領一下時間
[00:00:35.000 --> 00:00:38.000]  你幫助我們能夠明白你的心意
[00:00:38.000 --> 00:00:41.000]  更加明白我們的需要
[00:00:41.000 --> 00:00:45.000]  以致我們能夠得到主耶穌為我們所預備的
[00:00:45.000 --> 00:00:48.000]  無論是你的恩典 無論是你的愛
[00:00:48.000 --> 00:00:50.000]  我們都能夠有所回應
[00:00:50.000 --> 00:00:53.000]  多謝主在座當中很多已經相信了的基督徒
[00:00:53.000 --> 00:00:56.000]  我們已經是屬於主 又領受了主的愛
[00:00:56.000 --> 00:00:58.000]  我們求你幫助我們
[00:00:58.000 --> 00:00:59.000]  不單止我們認識你
[00:00:59.000 --> 00:01:02.000]  又願意傳揚你 分享你
[00:01:02.000 --> 00:01:05.000]  又幫助我們在座有朋友未認識的
[00:01:05.000 --> 00:01:08.000]  又幫助我們更早更快的體會
[00:01:08.000 --> 00:01:10.000]  領受你對我們的愛
[00:01:10.000 --> 00:01:12.000]  帶領我們有時間聽我們祈禱
[00:01:12.000 --> 00:01:14.000]  奉耶穌的名祈禱 阿們
[00:01:14.000 --> 00:01:18.000]  下雨擔傘是人之常情
[00:01:18.000 --> 00:01:23.000]  下雨不擔傘有些人說都是人之常情
[00:01:23.000 --> 00:01:26.000]  你有沒有見過有些人真的不喜歡擔傘
[00:01:26.000 --> 00:01:28.000]  我的兒子就不喜歡擔傘
