
[00:00:00.000 --> 00:00:04.320]  各位老師同學好
[00:00:04.320 --> 00:00:07.360]  想問大家一個問題
[00:00:07.360 --> 00:00:11.320]  罪人能不能逃避神的審判呢?
[00:00:11.320 --> 00:00:13.400]  如果你聽我的問題
[00:00:13.400 --> 00:00:14.600]  你作為神學生
[00:00:14.600 --> 00:00:15.520]  你會想
[00:00:15.520 --> 00:00:17.280]  What a stupid question
[00:00:17.280 --> 00:00:19.680]  這麼蠢的問題都會問
[00:00:19.680 --> 00:00:22.400]  當然不能逃避神的審判
[00:00:22.400 --> 00:00:24.200]  初信者都知道
[00:00:24.200 --> 00:00:27.320]  不過如果大家再想深一層
[00:00:27.320 --> 00:00:31.160]  這條問題並非你想像中那麼蠢
[00:00:31.160 --> 00:00:32.840]  為什麼這麼說呢?
[00:00:32.840 --> 00:00:35.920]  我們看看身邊的惡人
[00:00:35.920 --> 00:00:40.520]  很多惡人能夠逃避神的審判
[00:00:40.520 --> 00:00:42.360]  這是什麼意思呢?
[00:00:42.360 --> 00:00:47.080]  這就是說我們相信的神學和現實環境
[00:00:47.080 --> 00:00:50.040]  是有問題的
[00:00:50.040 --> 00:00:53.760]  再想深一層
[00:00:53.760 --> 00:00:56.760]  究竟我們心底深處
[00:00:56.760 --> 00:01:04.960]  是否真的相信犯罪不能逃避神的審判呢?
[00:01:04.960 --> 00:01:06.760]  如果是這樣的話
[00:01:06.760 --> 00:01:08.840]  沒有基督徒會犯罪
[00:01:08.840 --> 00:01:12.440]  如果知道行惡一定會被拘捕
[00:01:12.440 --> 00:01:14.160]  你還怎會行惡呢?
[00:01:14.160 --> 00:01:15.680]  不要說多了
[00:01:15.680 --> 00:01:17.840]  你JWalk走過馬路
[00:01:17.840 --> 00:01:20.240]  那牌抄得厲害的時候
[00:01:20.240 --> 00:01:22.240]  你都不會這樣做
[00:01:22.240 --> 00:01:23.400]  這是什麼意思呢?
[00:01:23.400 --> 00:01:27.040]  這就是說我們心底最深層相信的東西
[00:01:27.040 --> 00:01:33.400]  和我們頭腦相信的東西
[00:01:33.400 --> 00:01:37.240]  神學知識是不銜接的
[00:01:37.240 --> 00:01:39.240]  如果是這樣的話
[00:01:39.240 --> 00:01:42.840]  怎麼會有傳道人有醜聞呢?
[00:01:42.840 --> 00:01:45.320]  幾乎是不可能的事
[00:01:45.320 --> 00:01:48.320]  所以今天想和大家探討
[00:01:48.320 --> 00:01:50.120]  其實這個問題
[00:01:50.120 --> 00:01:53.000]  惡人是否能夠
[00:01:53.000 --> 00:01:56.280]  逃避神的審判呢?
[00:01:56.280 --> 00:02:00.880]  其實是一個很深層值得我們思考的問題
[00:02:00.880 --> 00:02:05.080]  歸根究底是一個遠古的老問題
[00:02:05.080 --> 00:02:08.800]  為什麼惡人會發達呢?
[00:02:08.800 --> 00:02:12.400]  其實就是回到這個簡單的問題
[00:02:12.400 --> 00:02:15.000]  不過惡人發達是一個大問題
[00:02:15.000 --> 00:02:17.840]  今天只是將這個範圍收窄
[00:02:17.840 --> 00:02:22.440]  和大家來處理神審判的問題
[00:02:22.440 --> 00:02:24.440]  所以在這裡
[00:02:24.440 --> 00:02:26.920]  我會分四點和大家看
[00:02:26.920 --> 00:02:32.680]  第一就是不能夠逃脫神審判的神學定理
[00:02:32.680 --> 00:02:35.480]  聖經裡很清楚
[00:02:35.480 --> 00:02:36.920]  不能夠質疑
[00:02:36.920 --> 00:02:44.440]  第二點就是能夠逃脫是錯誤的審判神學
[00:02:44.440 --> 00:02:47.880]  我們以為能夠逃脫
