
[00:00:00.000 --> 00:00:07.280]  各位弟兄姊妹 師長 大家好
[00:00:07.280 --> 00:00:10.320]  我們說到之前一起低頭祈禱
[00:00:10.320 --> 00:00:13.680]  慈悲的天父我們求祢與我們同在
[00:00:13.680 --> 00:00:16.160]  將祢的話語打開
[00:00:16.160 --> 00:00:20.960]  主祀我們去看祢對摩西的讚賞的時候
[00:00:20.960 --> 00:00:23.680]  主真是忠心的僕人
[00:00:23.680 --> 00:00:26.640]  盼望我們都能夠在當中去效法
[00:00:26.640 --> 00:00:28.880]  讓我們生命有提醒
[00:00:28.880 --> 00:00:31.600]  祈禱奉耶穌基督德性的名詞
[00:00:31.600 --> 00:00:35.120]  想問大家一個問題
[00:00:35.120 --> 00:00:38.880]  忠心是怎樣定義的呢?
[00:00:38.880 --> 00:00:41.840]  其實突然間發覺很tricky
[00:00:41.840 --> 00:00:45.920]  在現實觀察裏面
[00:00:45.920 --> 00:00:49.200]  有些人覺得某些牧者很忠心
[00:00:49.200 --> 00:00:50.640]  但同一個牧者
[00:00:50.640 --> 00:00:54.800]  另外一些人會覺得他又不忠心又懶又惡
[00:00:54.800 --> 00:00:59.440]  有牧者又覺得他自己很忠心
[00:00:59.440 --> 00:01:02.160]  不過別人又不是覺得他很忠心
[00:01:02.160 --> 00:01:06.080]  問題是他覺得他很勤力
[00:01:06.080 --> 00:01:07.200]  很忠心
[00:01:07.200 --> 00:01:09.520]  究竟怎樣才算忠心呢?
[00:01:09.520 --> 00:01:14.080]  有些人說過你不忠心
[00:01:14.080 --> 00:01:15.040]  可不可以舉手?
[00:01:15.040 --> 00:01:16.560]  沒有
[00:01:16.560 --> 00:01:18.480]  即是你全部都很忠心
[00:01:18.480 --> 00:01:21.520]  再問一個問題
[00:01:21.520 --> 00:01:26.320]  不是你很忠心
[00:01:26.320 --> 00:01:28.000]  你沒有不忠心
[00:01:28.000 --> 00:01:30.240]  沒有人說你不忠心
[00:01:30.240 --> 00:01:33.280]  沒有不忠心不是等於忠心
[00:01:33.280 --> 00:01:35.280]  如果我們再問一個問題
[00:01:35.280 --> 00:01:37.600]  牧者在教會服侍了四十年
[00:01:37.600 --> 00:01:39.120]  那是不是很忠心?
[00:01:39.120 --> 00:01:41.520]  有沒有人回答我這個問題?
[00:01:41.520 --> 00:01:43.280]  有人點頭
[00:01:43.280 --> 00:01:45.840]  可能是
[00:01:45.840 --> 00:01:47.920]  他服侍了四十年
[00:01:47.920 --> 00:01:48.880]  是不是很忠心呢?
[00:01:48.880 --> 00:01:52.400]  不是 他四十年都在同一教會
[00:01:52.400 --> 00:01:54.000]  那還不忠心?
[00:01:54.000 --> 00:01:56.240]  四十年都在同一教會
[00:01:56.240 --> 00:01:59.120]  他是對那個教會忠心
[00:01:59.120 --> 00:02:00.560]  知道我在說甚麼嗎?
[00:02:00.560 --> 00:02:03.440]  我突然間發覺這很困難
[00:02:03.440 --> 00:02:07.920]  其實在我們的文化裏
[00:02:07.920 --> 00:02:10.000]  我們只會說別人忠心
[00:02:10.000 --> 00:02:14.320]  為甚麼你會說別人不忠心是大罪
[00:02:14.320 --> 00:02:17.760]  沒有人會告訴你你不忠心
[00:02:17.760 --> 00:02:20.320]  所以我們全部都很忠心
[00:02:20.320 --> 00:02:24.160]  所以我們去反思
[00:02:24.160 --> 00:02:26.720]  究竟怎樣才算忠心呢?
[00:02:26.720 --> 00:02:29.520]  其實答案我們每個人都知道
[00:02:29.520 --> 00:02:32.720]  唯有神說我們忠心我們才會忠心
[00:02:32.720 --> 00:02:35.040]  但是要命的地方就是
[00:02:35.040 --> 00:02:37.360]  如果我們覺得我們自己忠心
[00:02:37.360 --> 00:02:40.800]  那是不是等於神說我們忠心呢?
[00:02:40.800 --> 00:02:42.080]  反過來說
[00:02:42.080 --> 00:02:44.400]  如果我們覺得我們不忠心
[00:02:44.400 --> 00:02:47.200]  那是不是等於我們不忠心呢?
[00:02:47.200 --> 00:02:52.080]  答案就是我們用甚麼尺來量度我們是否忠心
[00:02:52.080 --> 00:02:54.640]  如果尺錯了的話
[00:02:54.640 --> 00:02:57.440]  我們量度出來的結果一定是錯的
[00:02:57.440 --> 00:03:01.280]  所以最後就回到聖經的標準
[00:03:01.280 --> 00:03:08.320]  神怎樣量度我們為之忠心或不忠心
[00:03:08.320 --> 00:03:11.280]  跟大家來看算經文
[00:03:11.280 --> 00:03:13.600]  其實是很重要的
[00:03:13.600 --> 00:03:19.360]  神評價摩西這一節很難解的
[00:03:19.360 --> 00:03:21.280]  極其謙和
[00:03:21.280 --> 00:03:25.520]  如果自己說自己謙和
[00:03:25.520 --> 00:03:27.680]  都可能有限
[00:03:27.680 --> 00:03:30.880]  自己說自己忠心都可能有限
[00:03:30.880 --> 00:03:35.120]  摩西五經我們說是摩西寫的
[00:03:35.120 --> 00:03:37.280]  這裡處理一個小問題
[00:03:37.280 --> 00:03:40.080]  然後三至五節
[00:03:40.080 --> 00:03:41.440]  摩西怎樣謙和呢?
[00:03:41.440 --> 00:03:43.760]  將神為他伸冤
[00:03:43.760 --> 00:03:47.760]  然後到第三點六至八節
[00:03:47.760 --> 00:03:51.040]  神對摩西有一個很重要的評價
[00:03:51.040 --> 00:03:54.880]  就是他是全家盡忠的僕人
[00:03:54.880 --> 00:03:59.360]  為什麼我是摩西的粉絲就是這個原因
[00:03:59.360 --> 00:04:03.440]  我想在舊約裡我還找不到第二個人
[00:04:03.440 --> 00:04:06.400]  對他的評價是這麼高
[00:04:06.400 --> 00:04:08.640]  所以其實生命的提醒就是
[00:04:08.640 --> 00:04:11.200]  我們很多時候被人騙了
[00:04:11.200 --> 00:04:14.080]  人家說你怎樣好怎樣好
[00:04:14.080 --> 00:04:16.160]  是不是你真的這麼好
[00:04:16.160 --> 00:04:18.320]  被人罵反而好一點
[00:04:18.320 --> 00:04:20.160]  被人罵當然有原因
[00:04:20.160 --> 00:04:23.120]  你有某些問題別人才會罵你
[00:04:23.120 --> 00:04:24.000]  對不對?
[00:04:24.000 --> 00:04:26.880]  所以這裡給我們一個提醒
[00:04:26.880 --> 00:04:29.120]  所以我們很震撼
[00:04:29.120 --> 00:04:30.720]  為什麼會有這樣的評價
[00:04:30.720 --> 00:04:32.800]  他說摩西為人極其謙和
[00:04:32.800 --> 00:04:35.120]  勝過世上的眾人
