
[00:00:00.000 --> 00:00:10.000]  各位早晨,不經不覺我們又來到耶利米修理堂第六堂
[00:00:10.000 --> 00:00:16.000]  我上星期問過耶利米修理堂有多少張書,大家還記得嗎?
[00:00:16.000 --> 00:00:20.000]  真是好,52張,沒錯,52張
[00:00:20.000 --> 00:00:24.000]  我在概論的時候將它分成幾個不同的段落
[00:00:24.000 --> 00:00:36.000]  方便大家記憶,我將過去幾堂的勾畫放在今天的筆記上
[00:00:36.000 --> 00:00:42.000]  大家看到,不難記,每一堂大約是六至七張左右
[00:00:42.000 --> 00:00:48.000]  一至六張,第一堂講到責備與勸導,罵什麼呢?
[00:00:48.000 --> 00:00:55.000]  然後他們去拜偶像,記得,我們希望耶利米修了之後
[00:00:55.000 --> 00:00:59.000]  可能有很多細節不記得,有些東西未必記得為什麼
[00:00:59.000 --> 00:01:02.000]  但起碼我們能夠執到輪廓
[00:01:02.000 --> 00:01:09.000]  輪廓就是第一次到第六堂大約是提醒他們,責備他們去拜偶像
[00:01:09.000 --> 00:01:12.000]  他們出埃及的時候都沒有拜偶像,雖然都是頂心頂肺
[00:01:12.000 --> 00:01:16.000]  但是進了迦南地之後反而學了當地的
[00:01:16.000 --> 00:01:21.000]  其實神早已預言要他們清場,如果不清場,一定會學他們的東西
[00:01:21.000 --> 00:01:26.000]  果然就是這樣,所以有些時候我們都不喜歡自己那麼聰明
[00:01:26.000 --> 00:01:32.000]  但很多時候又猜中,所以神都不喜歡自己的預告中,但又中
[00:01:32.000 --> 00:01:35.000]  這就是第一至第六章的內容
[00:01:35.000 --> 00:01:39.000]  第七至第十二章是講到偏離與刑罰,講到什麼偏離呢?
[00:01:39.000 --> 00:01:42.000]  就是偏離了他們與神之間所立的約
[00:01:42.000 --> 00:01:46.000]  因為神在曠野裡已經設下了約和十戒
[00:01:46.000 --> 00:01:51.000]  當他們成為神的指紋的時候,他們應該守著這個約
[00:01:51.000 --> 00:01:55.000]  但他們沒有,神就特別在這方面責備他們
[00:01:55.000 --> 00:01:58.000]  是從約的角度來責備他們
[00:01:58.000 --> 00:02:02.000]  第十三至二十章是講到警戒與哀動
[00:02:02.000 --> 00:02:04.000]  為什麼警戒與哀動呢?
