
[00:00:00.000 --> 00:00:07.000]  今天我們講到的題目是「從然愛火」
[00:00:07.000 --> 00:00:15.360]  不知道大家在你的生命當中有沒有曾經經歷過一些很大的挫折
[00:00:15.360 --> 00:00:22.200]  很重大的困難令到你對前途完全失去了信心
[00:00:22.200 --> 00:00:30.240]  也讓你對自己失去了信心 覺得自己很沒用、很無助
[00:00:30.240 --> 00:00:33.600]  甚至很自暴自棄
[00:00:33.600 --> 00:00:41.120]  的確人生充滿了危險、危機、困難
[00:00:41.120 --> 00:00:45.800]  事情很多都不在我們的控制範圍之內
[00:00:45.800 --> 00:00:53.240]  就像現在世界經歷疫情 連美國這麼先進的國家都束手無策
[00:00:53.240 --> 00:00:56.560]  無法控制疫情
[00:00:56.560 --> 00:01:02.520]  我們可以突然間好像什麼都失去一樣
[00:01:02.520 --> 00:01:06.480]  現在有很多人突然失去了工作
[00:01:06.480 --> 00:01:11.960]  在找工作 有些人告訴我做了幾十年都沒有試過申請失業
[00:01:11.960 --> 00:01:15.240]  現在失去工作 如何申請失業呢?
[00:01:15.240 --> 00:01:22.400]  有些人辛辛苦苦建立了一個生意都做得很好
[00:01:22.400 --> 00:01:26.880]  突然間那個生意不能夠繼續下去 要關門
[00:01:26.880 --> 00:01:31.880]  也有些人平時身體都不錯的 現在發覺感染了
[00:01:31.880 --> 00:01:36.320]  現在每一天都有很多人測試感染了
[00:01:36.320 --> 00:01:42.120]  感染了又要服藥、又要隔離、又要做很多很多的事情
[00:01:42.120 --> 00:01:50.840]  在這些困難的情況下 有時我們會問到底有沒有人能夠同情我呢?
[00:01:50.840 --> 00:01:54.120]  到底有沒有人能夠幫助我呢?
[00:01:54.120 --> 00:01:57.160]  有沒有人能夠了解我的苦情呢?
[00:01:57.160 --> 00:02:02.280]  今天我們就要在這裡來看
[00:02:02.280 --> 00:02:05.880]  在聖經裡面有一個人他活在二千年前
[00:02:05.880 --> 00:02:12.280]  他都經歷過很大的挫折、很大的危機
[00:02:12.280 --> 00:02:19.400]  他實在是到了一個灰心喪志的地步
[00:02:19.400 --> 00:02:23.240]  他自己都想放棄 他覺得自己很沒用
[00:02:23.240 --> 00:02:27.400]  這個人大家都熟悉 叫做彼得
[00:02:27.400 --> 00:02:32.920]  我今天要和大家說的這件事是很重要的
[00:02:32.920 --> 00:02:37.720]  重要到使徒約翰 聖靈感動他
[00:02:37.720 --> 00:02:45.080]  用了整張聖經來記載彼得的經歷
[00:02:45.080 --> 00:02:50.600]  但我還沒說之前 首先想給大家看看下面這張照片
[00:02:50.600 --> 00:02:55.720]  這張照片是耶路撒冷 後面的海就是加利利湖
[00:02:55.720 --> 00:02:59.320]  如果你去過聖地的話 你一定會去加利利湖的
[00:02:59.320 --> 00:03:03.160]  在加利利湖的一角有一個小小的海灘
[00:03:03.160 --> 00:03:06.680]  這個海灘上面有一個小小的教堂
[00:03:06.680 --> 00:03:11.240]  這個教堂叫做彼得壽職堂
[00:03:11.240 --> 00:03:19.960]  這個教堂紀念約翰福音第21章所記載的這件事
[00:03:19.960 --> 00:03:26.200]  我將這件事分開好像一幕一幕的電影一樣
[00:03:26.200 --> 00:03:36.200]  這三幕的電影 第一幕我叫他做重操故業 灰心放棄
[00:03:36.200 --> 00:03:43.240]  這裡說到彼得受到這麼重大的挫折之後
[00:03:43.240 --> 00:03:47.960]  他心灰意冷 他自己都對自己放棄
[00:03:47.960 --> 00:03:53.720]  所以他就回去做他本來的職業 他是打魚的
[00:03:53.720 --> 00:03:57.480]  所以他就回去那裡
[00:03:57.480 --> 00:04:05.560]  為什麼他要放棄了跟隨耶穌做門徒的職責
[00:04:05.560 --> 00:04:09.400]  他就回去重操故業呢
[00:04:09.400 --> 00:04:12.600]  一會兒我會為大家分析
[00:04:12.600 --> 00:04:15.000]  但我在這裡先告訴大家
[00:04:15.000 --> 00:04:20.040]  很多人覺得彼得沒有什麼信心
[00:04:20.040 --> 00:04:24.680]  不跟隨耶穌就怕三餐有問題
[00:04:24.680 --> 00:04:29.160]  所以他為了生活回去做他本來的職業
[00:04:29.160 --> 00:04:38.920]  但其實我覺得彼得回去重操故業並不是因為他擔心兩餐
[00:04:38.920 --> 00:04:43.240]  他乃是心靈裡受到重創
[00:04:43.240 --> 00:04:46.920]  所以他是一個灰心喪志放棄的人
[00:04:46.920 --> 00:04:49.320]  所以他回去重操故業
[00:04:49.320 --> 00:04:51.160]  這是第一幕
[00:04:51.160 --> 00:04:53.560]  如果只停在第一幕
[00:04:53.560 --> 00:04:57.960]  彼得是一個失敗的人生
[00:04:57.960 --> 00:05:00.520]  他是一個沒有望的人生
[00:05:00.520 --> 00:05:03.000]  但幸好我們還有第二幕
[00:05:03.000 --> 00:05:06.280]  第二幕我叫做主動的尋找
[00:05:06.280 --> 00:05:08.040]  誰來尋找彼得呢
[00:05:08.040 --> 00:05:11.720]  是我們的主耶穌主動來尋找他
[00:05:11.720 --> 00:05:16.760]  並且很詳細的問心事跟他談
[00:05:16.760 --> 00:05:21.080]  目的就是要來挽回彼得
[00:05:21.080 --> 00:05:22.760]  來拯救彼得
[00:05:22.760 --> 00:05:24.600]  來幫助彼得
[00:05:24.600 --> 00:05:29.880]  不單是在一個灰心失望喪志的情況下
[00:05:29.880 --> 00:05:34.520]  是要他出來重新振作
[00:05:34.520 --> 00:05:38.600]  來為神國努力
[00:05:38.600 --> 00:05:42.440]  第三幕我叫做委以重任
[00:05:42.440 --> 00:05:49.720]  主耶穌將一個很重要的職責交託給彼得
[00:05:49.720 --> 00:05:55.080]  令彼得在一個已經心灰意冷的狀態下
[00:05:55.080 --> 00:05:59.560]  能夠愛火重生燃燒
[00:05:59.560 --> 00:06:03.800]  這是約翰福音第21章整章所記載的
[00:06:03.800 --> 00:06:06.520]  我們今天沒有時間讀整章
[00:06:06.520 --> 00:06:10.600]  我只將它濃縮成三幕
[00:06:10.600 --> 00:06:13.400]  每一幕我們來思想一下
[00:06:13.400 --> 00:06:18.120]  到底神讓我們在彼得這件事上
