
[00:00:00.000 --> 00:00:04.000]  各位頂子妹早安!
[00:00:04.000 --> 00:00:06.820]  我和小武說回來就好像回家一樣
[00:00:06.820 --> 00:00:08.320]  見到大家
[00:00:08.320 --> 00:00:11.400]  雖然未必所有的人名能夠叫出
[00:00:11.400 --> 00:00:14.200]  因為有很多新的頂子妹
[00:00:14.200 --> 00:00:19.400]  今天我講這個題目叫做「合一而多元的教會」
[00:00:19.400 --> 00:00:23.640]  這個題目我特別在今天去講的
[00:00:23.640 --> 00:00:26.360]  大家知道我為什麼要講這個題目
[00:00:26.360 --> 00:00:28.760]  因為今天有一個很重要的決定
[00:00:28.760 --> 00:00:32.640]  這個決定有不同的意見
[00:00:32.640 --> 00:00:34.040]  所以我都不隱藏
[00:00:34.040 --> 00:00:36.480]  所以我原來不是講這個題目的
[00:00:36.480 --> 00:00:38.280]  我原來是講另一個題目
[00:00:38.280 --> 00:00:45.160]  後來我也知道教會是面對一個相當重要的時刻
[00:00:45.160 --> 00:00:48.880]  因此我就按神所給我的領袖
[00:00:48.880 --> 00:00:51.680]  來和大家分享
[00:00:51.680 --> 00:00:53.960]  不要覺得很凝重
[00:00:53.960 --> 00:00:56.880]  不要覺得很緊張
[00:00:56.880 --> 00:01:05.760]  我們就讓神的說話來和我們去看看
[00:01:05.760 --> 00:01:11.560]  事實上這本所書就是講教會
[00:01:11.560 --> 00:01:18.600]  裡面我選擇的一到十六節都是相當長的經文
[00:01:18.600 --> 00:01:21.960]  我們未必很詳細的全部看完
[00:01:21.960 --> 00:01:24.600]  但是在這段經文裡面
[00:01:24.600 --> 00:01:28.400]  我想用一個新的角度和大家去看
[00:01:28.400 --> 00:01:30.400]  合一是我們大家講的
[00:01:30.400 --> 00:01:32.720]  但是保羅在這裡講合一
[00:01:32.720 --> 00:01:38.200]  就和我們一般概念上的不太相同
[00:01:38.200 --> 00:01:40.000]  首先在分段上
[00:01:40.000 --> 00:01:42.800]  經文有分四個段落
[00:01:42.800 --> 00:01:45.400]  第一個段落就是頭三節
[00:01:45.400 --> 00:01:50.600]  在保羅講教會的合一和教會的內容之前
[00:01:50.600 --> 00:01:54.720]  他先講一個信徒的德行的問題
[00:01:54.720 --> 00:01:56.720]  這是很重要的
[00:01:56.720 --> 00:01:58.000]  基礎很重要
[00:01:58.000 --> 00:02:03.200]  但是基礎之前就是講到信徒的德行
[00:02:03.200 --> 00:02:05.200]  第二個就先講基礎
[00:02:05.200 --> 00:02:10.000]  就是合一的基礎在第四到第六節那裡去講
[00:02:10.000 --> 00:02:13.800]  講完基礎就講主的身體
[00:02:13.800 --> 00:02:15.800]  主的功能
[00:02:15.800 --> 00:02:18.080]  教會有什麼功能
[00:02:18.080 --> 00:02:20.600]  提到耶穌基督升上天
[00:02:20.600 --> 00:02:23.080]  來將那個恩賜賜給我們
[00:02:23.080 --> 00:02:25.400]  不同的恩賜、不同的功能
[00:02:25.400 --> 00:02:30.480]  到最後十三到十六節就講到成長的信徒
[00:02:30.480 --> 00:02:32.680]  成了一個教會
[00:02:32.680 --> 00:02:38.880]  是一個在上帝所設立的
[00:02:38.880 --> 00:02:41.880]  上帝所喜悅的教會
[00:02:41.880 --> 00:02:46.120]  時間無多 我們就進入去
[00:02:46.120 --> 00:02:48.960]  基礎之前的基礎
[00:02:48.960 --> 00:02:52.400]  保羅提到教會和外面不同
[00:02:52.400 --> 00:02:54.800]  因為教會是一個德屬的人
[00:02:54.800 --> 00:02:57.680]  所以一個人加入一個團體
[00:02:57.680 --> 00:03:01.280]  通常他應該要按照團體的規則而做事
[00:03:01.280 --> 00:03:03.160]  而在教會裡面特別提到
[00:03:03.160 --> 00:03:06.200]  我們一個蒙恩德教的人
[00:03:06.200 --> 00:03:08.400]  我們就一些很基本的
[00:03:08.400 --> 00:03:10.200]  或者我們應該有的
[00:03:10.200 --> 00:03:13.120]  一些基督徒的特性
[00:03:13.120 --> 00:03:14.920]  這群就是我們丙姐妹
[00:03:14.920 --> 00:03:16.480]  我們的特性是什麼呢?
[00:03:16.480 --> 00:03:20.640]  在這裡她提到有四樣東西
[00:03:20.640 --> 00:03:22.160]  這四樣東西
[00:03:22.160 --> 00:03:24.480]  就是保羅經常提到的
[00:03:24.480 --> 00:03:25.360]  保羅提到很多
[00:03:25.360 --> 00:03:27.560]  這四樣東西特別在教會裡面提到
[00:03:27.560 --> 00:03:31.480]  第一樣是什麼呢?
[00:03:31.480 --> 00:03:34.360]  第一樣就是謙虛
[00:03:34.360 --> 00:03:39.440]  謙虛這個字在希臘文裡面是相當不好的
[00:03:39.440 --> 00:03:41.240]  謙虛這個字
[00:03:41.240 --> 00:03:45.240]  原來是有慰肅的、自卑的
[00:03:45.240 --> 00:03:48.160]  有一種奴隸性
[00:03:48.160 --> 00:03:51.600]  但保羅就將這個字轉化了
[00:03:51.600 --> 00:03:54.000]  將這個字提升了
[00:03:54.000 --> 00:04:00.240]  是加入了一個基督教很重要的觀點進去
[00:04:00.240 --> 00:04:02.240]  在中國大陸裡面
[00:04:02.240 --> 00:04:06.480]  作為領袖是不可能謙卑的
[00:04:06.480 --> 00:04:11.480]  作為領袖就是要有權威的
[00:04:11.480 --> 00:04:14.480]  要去指揮人的
[00:04:14.480 --> 00:04:18.160]  但是中文的智慧就剛好相反
[00:04:18.160 --> 00:04:22.600]  我們聽過一個成語叫滿朝選謙受益
[00:04:22.600 --> 00:04:24.560]  而在聖經裡面
[00:04:24.560 --> 00:04:26.920]  什麼叫做謙虛呢?
[00:04:26.920 --> 00:04:31.480]  謙虛是真正謙虛是來自我們每一個得贖的人
[00:04:31.480 --> 00:04:32.600]  因為我們夠贖
[00:04:32.600 --> 00:04:36.600]  我們才擁有了最豐富、最高貴的生命
[00:04:36.600 --> 00:04:38.880]  然後我們才懂得謙虛
[00:04:38.880 --> 00:04:42.360]  謙虛不是因為我什麼都沒有
[00:04:42.360 --> 00:04:43.640]  我什麼都不懂
[00:04:43.640 --> 00:04:45.760]  所以我就要在人面前說
[00:04:45.760 --> 00:04:46.920]  我不行的
[00:04:46.920 --> 00:04:47.480]  你行的
[00:04:47.480 --> 00:04:49.000]  不是這個意思
[00:04:49.000 --> 00:04:51.520]  原來基督教裡面是一個
[00:04:51.520 --> 00:04:54.160]  我們說是一個很相反、很貴的城市
[00:04:54.160 --> 00:04:55.880]  一個真正謙卑的人
[00:04:55.880 --> 00:04:57.280]  是因為我們認識到
[00:04:57.280 --> 00:04:59.720]  我們是上帝所救贖
[00:04:59.720 --> 00:05:01.880]  我生命非常高貴
[00:05:01.880 --> 00:05:03.480]  而在這個世界上
[00:05:03.480 --> 00:05:08.440]  是沒有人值得我去敬拜的
[00:05:08.440 --> 00:05:11.160]  沒有權貴我去懼怕
[00:05:11.160 --> 00:05:14.080]  而這樣的人才懂得謙虛
[00:05:14.080 --> 00:05:16.440]  意思是什麼呢?
[00:05:16.440 --> 00:05:20.200]  這就是路德所說的
[00:05:20.200 --> 00:05:22.440]  當一個基督徒
[00:05:22.440 --> 00:05:25.280]  我們領受了主的生命
[00:05:25.280 --> 00:05:28.560]  我們是眾人之主
[00:05:28.560 --> 00:05:30.480]  在這個宇宙上
[00:05:30.480 --> 00:05:32.480]  耶穌基督為我而死
[00:05:32.480 --> 00:05:34.920]  所以我有最寶貴的生命
[00:05:34.920 --> 00:05:37.200]  我們不會受任何人的管轄
[00:05:37.200 --> 00:05:38.800]  但同時
[00:05:38.800 --> 00:05:41.120]  因為基督的道成肉身
[00:05:41.120 --> 00:05:44.720]  我願意去服侍最卑微的人
[00:05:44.720 --> 00:05:46.040]  這就是謙虛
[00:05:46.040 --> 00:05:48.080]  謙虛不是因為我不行
[00:05:48.080 --> 00:05:50.440]  而是我甘願
[00:05:50.440 --> 00:05:52.240]  因為基督的緣故
[00:05:52.240 --> 00:05:55.040]  我甘願卑微下來
[00:05:55.040 --> 00:05:57.080]  所以謙虛不是要我損失
