
[00:00:00.000 --> 00:00:05.340]  很高興恩聖教會的弟兄姊妹
[00:00:05.340 --> 00:00:07.340]  我們能夠一起崇拜
[00:00:07.340 --> 00:00:08.700]  今天不是錄音的
[00:00:08.700 --> 00:00:10.500]  今天我在大家當中
[00:00:10.500 --> 00:00:13.340]  跟大家一起敬拜
[00:00:13.340 --> 00:00:17.300]  今天我講到的題目是比較特別的
[00:00:17.300 --> 00:00:23.140]  是叫做「在光中和在暗中」
[00:00:23.140 --> 00:00:27.880]  我開始用這個share screen
[00:00:27.880 --> 00:00:30.400]  剛才我試過是可以的
[00:00:30.400 --> 00:00:33.080]  我是用share screen
[00:00:33.080 --> 00:00:36.080]  「在光中和在暗中」
[00:00:36.080 --> 00:00:38.440]  今早我要讀的經文
[00:00:38.440 --> 00:00:43.040]  是所謂登山補訓部份
[00:00:43.040 --> 00:00:44.620]  這個經文是記載在
[00:00:44.620 --> 00:00:48.800]  《馬太福音》第五至第七章
[00:00:48.800 --> 00:00:51.220]  這個登山補訓可以說是
[00:00:51.220 --> 00:00:54.160]  主耶穌比較早期的講道
[00:00:54.160 --> 00:00:56.520]  甚至有些人認為
[00:00:56.520 --> 00:01:00.160]  這是主耶穌第一次的公開講道
[00:01:00.160 --> 00:01:01.440]  是相當長的
[00:01:01.440 --> 00:01:03.920]  裏面是講了很多的東西
[00:01:03.920 --> 00:01:07.120]  今天我們就要抽裏面一部份出來
[00:01:07.120 --> 00:01:10.120]  我們來思想
[00:01:10.120 --> 00:01:15.320]  在《馬太福音》第五章一開始的時候
[00:01:15.320 --> 00:01:19.720]  就說耶穌看到這麼多人上了山
[00:01:19.720 --> 00:01:24.000]  「既以坐下門徒就到他的庚前來」
[00:01:24.000 --> 00:01:26.600]  他就開口教訓他們
[00:01:26.600 --> 00:01:28.600]  於是他就先講八部份
[00:01:28.600 --> 00:01:30.400]  這個大家都知道
[00:01:30.400 --> 00:01:33.320]  然後到第八章一開始的時候
[00:01:33.320 --> 00:01:34.520]  聖經就記載
[00:01:34.520 --> 00:01:36.440]  耶穌下了山
[00:01:36.440 --> 00:01:38.440]  有很多人跟著他
[00:01:38.440 --> 00:01:40.320]  所以這個登山補訓
[00:01:40.320 --> 00:01:43.000]  是由第五章一直到第六章
[00:01:43.000 --> 00:01:46.440]  到第七章就結束了
[00:01:46.440 --> 00:01:48.720]  這個登山補訓在哪裏講的呢?
[00:01:48.720 --> 00:01:53.040]  我就想給大家看幾幅圖畫
[00:01:53.040 --> 00:01:54.360]  第一幅照片
[00:01:54.360 --> 00:01:56.880]  如果跟著我去聖地的弟兄姊妹
[00:01:56.880 --> 00:01:58.280]  都會認得
[00:01:58.280 --> 00:02:01.920]  後面那個就是所謂加利利海
[00:02:01.920 --> 00:02:04.920]  或者叫做加利利湖
[00:02:04.920 --> 00:02:09.040]  這個山是在這個湖的旁邊
[00:02:09.040 --> 00:02:11.240]  這個山很廣闊的
[00:02:11.240 --> 00:02:14.160]  可以坐到很多人
[00:02:14.160 --> 00:02:17.040]  所以這個就是耶穌當時
[00:02:17.040 --> 00:02:20.600]  講八福的地方
[00:02:20.600 --> 00:02:22.600]  在這個山裏
[00:02:22.600 --> 00:02:24.600]  這個山特別的地方
[00:02:24.600 --> 00:02:29.680]  就是那些風是由山上吹到海裏的
[00:02:29.680 --> 00:02:34.440]  所以當時就算耶穌沒有播音系統
[00:02:34.440 --> 00:02:36.440]  但是他的聲音
[00:02:36.440 --> 00:02:39.040]  風是可以帶下來
[00:02:39.040 --> 00:02:42.600]  他在山裏的人圍著他
[00:02:42.600 --> 00:02:46.280]  很容易聽到他的聲音
[00:02:46.280 --> 00:02:51.080]  我們來看看這幅畫的圖畫
[00:02:51.080 --> 00:02:54.720]  就是說當時的情況可能是這樣的
[00:02:54.720 --> 00:02:56.120]  聖經告訴我們
[00:02:56.120 --> 00:03:00.040]  是一些門徒坐在耶穌的跟前
[00:03:00.040 --> 00:03:02.920]  但是也有很多的跟隨者
[00:03:02.920 --> 00:03:04.680]  跟著他們上山
[00:03:04.680 --> 00:03:06.360]  圍著他們坐在那裏
[00:03:06.360 --> 00:03:07.720]  而耶穌講道
[00:03:07.720 --> 00:03:10.760]  就不是像我們今天講道那樣站在那裏
[00:03:10.760 --> 00:03:12.400]  是坐在那裏的
[00:03:12.400 --> 00:03:14.560]  周圍的人就圍著他
[00:03:14.560 --> 00:03:19.120]  當時的情況可能就是這樣
[00:03:19.120 --> 00:03:21.120]  在1938年的時候
[00:03:21.120 --> 00:03:25.520]  有一座教堂就建在了這個山上
[00:03:25.520 --> 00:03:28.320]  這個教堂我們叫做八福堂
[00:03:28.320 --> 00:03:29.640]  給大家看看
[00:03:29.640 --> 00:03:30.640]  這個在山上
[00:03:30.640 --> 00:03:32.640]  這個堂的特點
[00:03:32.640 --> 00:03:36.560]  就是它的頂部有八個角
[00:03:36.560 --> 00:03:38.320]  這樣凸了出來
[00:03:38.320 --> 00:03:43.440]  這八個角當然就是代表耶穌所講的八福
[00:03:43.440 --> 00:03:45.440]  給大家看多幾張照片
[00:03:45.440 --> 00:03:46.440]  就是這個教堂
[00:03:46.440 --> 00:03:48.440]  我已經去了18次了
[00:03:48.440 --> 00:03:50.440]  每一次我去聖地
[00:03:50.440 --> 00:03:52.440]  都帶弟兄姊妹去那裏看
[00:03:52.440 --> 00:03:54.440]  我們進去那個堂
[00:03:54.440 --> 00:03:55.440]  很漂亮
[00:03:55.440 --> 00:03:57.440]  這是一個堂的外出
[00:03:57.440 --> 00:04:00.440]  再給大家看多一張照片
[00:04:00.440 --> 00:04:05.440]  這個堂後面就是加利利湖
[00:04:05.440 --> 00:04:11.440]  我們開始要來看馬太福音第五章
[00:04:11.440 --> 00:04:17.440]  我們首先是看看耶穌講關於我們世上的光
[00:04:17.440 --> 00:04:20.440]  我們從馬太福音第五章
[00:04:20.440 --> 00:04:23.440]  看第十四和第十六節
[00:04:23.440 --> 00:04:25.440]  耶穌在這裏說
[00:04:25.440 --> 00:04:28.440]  「你們是世上的光」
[00:04:28.440 --> 00:04:31.440]  一座城造在山上
[00:04:31.440 --> 00:04:34.440]  是不能夠隱藏的
[00:04:34.440 --> 00:04:36.440]  耶穌說「你們的光
[00:04:36.440 --> 00:04:39.440]  也當這樣照在人前
[00:04:39.440 --> 00:04:43.440]  叫他們看見你們的好行為
[00:04:43.440 --> 00:04:48.440]  便將榮耀歸給你們在天上的乎」
[00:04:48.440 --> 00:04:52.440]  耶穌說我們是世上的光
[00:04:52.440 --> 00:04:55.440]  就好像一座在山頂的城
[00:04:55.440 --> 00:04:57.440]  是一定不能夠隱藏的
[00:04:57.440 --> 00:04:59.440]  你想隱藏都不可以
[00:04:59.440 --> 00:05:01.440]  人人都會看見的
[00:05:01.440 --> 00:05:05.440]  即是說我們活在別人面前
[00:05:05.440 --> 00:05:07.440]  而別人也知道我們是基督徒
[00:05:07.440 --> 00:05:10.440]  我們不隱藏我們的身份
[00:05:10.440 --> 00:05:12.440]  我們公開地承認我們是基督徒
[00:05:12.440 --> 00:05:14.440]  但更加重要的是
[00:05:14.440 --> 00:05:16.440]  我們的光
[00:05:16.440 --> 00:05:18.440]  就是我們的好行為
[00:05:18.440 --> 00:05:22.440]  耶穌說叫人們看見我們的好行為
[00:05:22.440 --> 00:05:25.440]  當別人知道我們是基督徒的時候
[00:05:25.440 --> 00:05:30.440]  別人就會將榮耀歸給天上的乎
[00:05:30.440 --> 00:05:32.440]  所以耶穌在這裏告訴我們
[00:05:32.440 --> 00:05:36.440]  我們應當主動地活在別人面前
[00:05:36.440 --> 00:05:40.440]  叫人們看見我們的一言一行
[00:05:40.440 --> 00:05:42.440]  是真的與別人不同的
[00:05:42.440 --> 00:05:44.440]  我們是帶著基督的樣式
