
[00:00:00.000 --> 00:00:04.280]  各位大兄姐妹大家好
[00:00:04.280 --> 00:00:08.440]  我们今天开始网上言经第三讲
[00:00:08.440 --> 00:00:13.480]  我给的副题是有关约翰和耶稣的预言
[00:00:13.480 --> 00:00:18.440]  很想大家仍然带着城市宣教作为镜头
[00:00:18.440 --> 00:00:20.240]  去看路加福音
[00:00:20.240 --> 00:00:22.840]  这两个星期都收到一些电邮
[00:00:22.840 --> 00:00:24.960]  有好几位大兄姐妹都说
[00:00:24.960 --> 00:00:34.800]  「女传道,我看了圣经十几年都未试过用城市宣教作镜头去看福音书」
[00:00:34.800 --> 00:00:36.520]  我坦白地说
[00:00:36.520 --> 00:00:42.160]  我看了圣经几十年都未试过用镜头去看福音书
[00:00:42.160 --> 00:00:43.920]  直到两年多前
[00:00:43.920 --> 00:00:50.960]  我在巴吉利神学院的白歧城市转化中心里进修神学
[00:00:50.960 --> 00:00:55.240]  他们真的开了我很阔的眼界
[00:00:55.240 --> 00:01:01.320]  特别是看城市宣教和城市的转化
[00:01:01.320 --> 00:01:03.680]  当大家去上这个网页的时候
[00:01:03.680 --> 00:01:08.400]  其中有一个开幕叫城市心
[00:01:08.400 --> 00:01:10.600]  在里面你可以认识更多
[00:01:10.600 --> 00:01:14.720]  如何去看城市宣教
[00:01:14.720 --> 00:01:17.280]  在课堂开始之前
[00:01:17.280 --> 00:01:18.920]  有些思考问题
[00:01:18.920 --> 00:01:21.240]  之前有些电邮跟我说
[00:01:21.240 --> 00:01:23.480]  特别是这里的第三样
[00:01:23.480 --> 00:01:27.640]  你对此课程的期望和北极光
[00:01:27.640 --> 00:01:29.120]  什么意思呢?
[00:01:29.120 --> 00:01:30.040]  他就问
[00:01:30.040 --> 00:01:35.240]  「女传道,你对学员有什么期望?」
[00:01:35.240 --> 00:01:36.400]  我就说
[00:01:36.400 --> 00:01:38.960]  好像大家去看北极光
[00:01:38.960 --> 00:01:40.320]  如果大家不知道是什么
[00:01:40.320 --> 00:01:42.000]  记得看第一堂
[00:01:42.000 --> 00:01:43.200]  去到最后
[00:01:43.200 --> 00:01:44.240]  我就说
[00:01:44.240 --> 00:01:48.080]  我希望我们每一次看这本圣经的时候
[00:01:48.080 --> 00:01:50.680]  我们抱着一个好像去看北极光的心态
[00:01:50.680 --> 00:01:51.920]  就是看不到
[00:01:51.920 --> 00:01:53.240]  我就不罢休了
[00:01:53.240 --> 00:01:56.040]  看不到我就会很失望
[00:01:56.040 --> 00:02:00.080]  我们每一次都祈求圣灵带领我们
[00:02:00.080 --> 00:02:03.280]  如何去看这本圣经
[00:02:03.280 --> 00:02:09.680]  让我们这一刻低头才有一个祈祷
[00:02:09.680 --> 00:02:10.720]  亲爱的主耶稣
[00:02:10.720 --> 00:02:15.280]  多谢祢给我们机会一起去研读祢的话语
[00:02:15.280 --> 00:02:17.800]  求圣灵亲自带领我们
[00:02:17.800 --> 00:02:20.720]  让我们明白祢更加多
[00:02:20.720 --> 00:02:23.040]  求圣灵光照我们
[00:02:23.040 --> 00:02:25.920]  让我们能够看到祢的亮光
[00:02:25.920 --> 00:02:28.840]  让我们有能力、有信心
[00:02:28.840 --> 00:02:30.520]  有一个愿意的心
[00:02:30.520 --> 00:02:35.360]  去回应祢给我们的呼召
[00:02:35.360 --> 00:02:36.400]  我们多谢祢
[00:02:36.400 --> 00:02:37.440]  我们这样祷告
[00:02:37.440 --> 00:02:40.560]  是奉主耶稣基督得胜的明智而祈求
[00:02:40.560 --> 00:02:41.240]  阿们
[00:02:41.240 --> 00:02:47.560]  究竟当讲到约翰出生的时候
[00:02:47.560 --> 00:02:50.320]  究竟有什么预言呢?
[00:02:50.320 --> 00:02:51.520]  大家如果记得
[00:02:51.520 --> 00:02:54.400]  在路加福音之前我们讲了一到四节
[00:02:54.400 --> 00:02:58.560]  其实是一个大引言
[00:02:58.560 --> 00:03:00.720]  到第五节的时候
[00:03:00.720 --> 00:03:02.680]  路加这样说
[00:03:02.680 --> 00:03:06.000]  他说在希律作犹太王的时候
[00:03:06.000 --> 00:03:08.400]  雅比亚班里有一个祭司
[00:03:08.400 --> 00:03:10.080]  名叫撒加利亚
[00:03:10.080 --> 00:03:13.080]  他妻子是亚伦的后代
[00:03:13.080 --> 00:03:15.280]  名叫伊丽莎白
[00:03:15.280 --> 00:03:19.840]  这里开始路加要让提亚非罗知道
[00:03:19.840 --> 00:03:24.120]  这个可以说是政治的气候究竟是什么
[00:03:24.120 --> 00:03:27.080]  究竟谁在那一刻是造王
[00:03:27.080 --> 00:03:29.320]  这里说的是大希律
[00:03:29.320 --> 00:03:30.640]  当你一路看路加福音
[00:03:30.640 --> 00:03:31.560]  看《史唐传》的时候
