
[00:00:00.000 --> 00:00:03.000]  各位網友 今天我來到這裡
[00:00:03.000 --> 00:00:06.000]  很開心的 不用戴口罩
[00:00:06.000 --> 00:00:08.000]  你看到我笑的樣子
[00:00:08.000 --> 00:00:14.000]  不過今天算是我近年最不開心的一天的開始
[00:00:14.000 --> 00:00:17.000]  今天早上 我起床的時候
[00:00:17.000 --> 00:00:20.000]  希望我今晚的動力說好一點
[00:00:20.000 --> 00:00:24.000]  誰知道收到WhatsApp就是我的好朋友
[00:00:24.000 --> 00:00:27.000]  他托一個朋友的電話給我
[00:00:27.000 --> 00:00:30.000]  他想見我最後一面
[00:00:30.000 --> 00:00:33.000]  可能他遲些就見不到我了
[00:00:33.000 --> 00:00:35.000]  因為手術失敗了
[00:00:35.000 --> 00:00:40.000]  我馬上答應 馬上趕去醫院
[00:00:40.000 --> 00:00:43.000]  想不到今晚成為了我的動力
[00:00:43.000 --> 00:00:46.000]  我的動力說這個題目
[00:00:46.000 --> 00:00:49.000]  在坐的士去的時候
[00:00:49.000 --> 00:00:52.000]  我想起聖經叫老
[00:00:52.000 --> 00:00:55.000]  你知道叫老是說一句話
[00:00:55.000 --> 00:01:01.000]  叫老是說他的女兒快要死了
[00:01:01.000 --> 00:01:05.000]  叫耶穌就是你快要死了
[00:01:05.000 --> 00:01:08.000]  請耶穌去救她
[00:01:08.000 --> 00:01:11.000]  當時叫老是跪在那裡
[00:01:11.000 --> 00:01:16.000]  但是很快叫老就收到消息
[00:01:16.000 --> 00:01:19.000]  說你的女兒死了
[00:01:19.000 --> 00:01:22.000]  何必勞動先生呢
[00:01:22.000 --> 00:01:25.000]  何必勞動耶穌呢
[00:01:25.000 --> 00:01:28.000]  我在車上想起這句話
[00:01:28.000 --> 00:01:32.000]  大家基督徒
[00:01:32.000 --> 00:01:35.000]  但是終有一天
[00:01:35.000 --> 00:01:39.000]  甚至我的朋友可能是現在
[00:01:39.000 --> 00:01:40.000]  他要死了
[00:01:40.000 --> 00:01:42.000]  我去做什麼呢
[00:01:42.000 --> 00:01:44.000]  當然我不是耶穌
[00:01:44.000 --> 00:01:46.000]  我也不能讓他復活
[00:01:46.000 --> 00:01:48.000]  去做什麼呢
[00:01:48.000 --> 00:01:53.000]  通常我們去的多數都是帶一個好的消息
[00:01:53.000 --> 00:01:56.000]  很多鼓勵 去做什麼呢
[00:01:56.000 --> 00:01:59.000]  所以我一見到那位朋友
[00:01:59.000 --> 00:02:01.000]  他第一句見到我
[00:02:01.000 --> 00:02:03.000]  我想不到你會來的
[00:02:03.000 --> 00:02:07.000]  意思就是說他只是想托朋友問
[00:02:07.000 --> 00:02:10.000]  可不可以見我 可能最後一面
[00:02:10.000 --> 00:02:11.000]  但想不到我馬上去
[00:02:11.000 --> 00:02:13.000]  他說我想不到你會來
[00:02:13.000 --> 00:02:15.000]  我馬上怎麼回答呢
[00:02:15.000 --> 00:02:18.000]  我說很感謝你
[00:02:18.000 --> 00:02:21.000]  你幫我明白一節聖經
[00:02:21.000 --> 00:02:24.000]  就是這一節 這一節聖經
[00:02:24.000 --> 00:02:27.000]  我在想如果你是叫老
[00:02:27.000 --> 00:02:29.000]  你是叫老
[00:02:29.000 --> 00:02:31.000]  你的心情怎麼樣呢
[00:02:31.000 --> 00:02:33.000]  陪耶穌去見
[00:02:33.000 --> 00:02:36.000]  去見死了的女兒
[00:02:36.000 --> 00:02:39.000]  不是病的女兒
[00:02:39.000 --> 00:02:40.000]  你的心情怎麼樣呢
[00:02:40.000 --> 00:02:41.000]  是不是不用去呢
[00:02:41.000 --> 00:02:43.000]  就是去的
[00:02:43.000 --> 00:02:45.000]  你真的有信心
[00:02:45.000 --> 00:02:46.000]  想看看怎麼樣的
[00:02:46.000 --> 00:02:49.000]  於是我和這位朋友說
[00:02:49.000 --> 00:02:51.000]  可能呢
[00:02:51.000 --> 00:02:53.000]  你讓我
[00:02:53.000 --> 00:02:56.000]  做了一件事
[00:02:56.000 --> 00:02:58.000]  就是
[00:02:58.000 --> 00:03:00.000]  給你看到
[00:03:00.000 --> 00:03:02.000]  上帝的愛
[00:03:02.000 --> 00:03:04.000]  他感動我來見你
[00:03:04.000 --> 00:03:06.000]  上帝是愛你
[00:03:06.000 --> 00:03:08.000]  他馬上哭了
