
[00:00:00.000 --> 00:00:06.560]  各位頂姐妹 主內平安
[00:00:06.560 --> 00:00:12.940]  恭喜你們61年唐慶感恩
[00:00:12.940 --> 00:00:17.820]  就是你們教會是在庚子年間開始的
[00:00:17.820 --> 00:00:21.120]  有沒有猜錯 有沒有算錯
[00:00:21.120 --> 00:00:26.900]  那就是再一個60年前就是義和團教難
[00:00:26.900 --> 00:00:34.340]  慈禧太后 歷史就是這樣一頁一頁翻過去
[00:00:34.340 --> 00:00:38.460]  感謝神與我們同在
[00:00:38.460 --> 00:00:40.820]  今天我們打開的經文
[00:00:40.820 --> 00:00:44.720]  相信大家都一定熟悉
[00:00:44.720 --> 00:00:51.680]  教會傳福音的歷史起點
[00:00:51.680 --> 00:01:01.680]  是主耶穌臨升天之前留下給他的使徒的吩咐
[00:01:01.680 --> 00:01:05.700]  會背的了 但聖靈降臨在你們身上
[00:01:05.700 --> 00:01:08.760]  那四個地名分不分得到?
[00:01:08.760 --> 00:01:11.140]  哪個和哪個之間有個和字
[00:01:11.140 --> 00:01:17.100]  「都息耶路撒冷 猶太傳遞和撒瑪利亞直到地極」
[00:01:17.100 --> 00:01:20.040]  做什麼呢?「作我的見證」
[00:01:20.040 --> 00:01:22.480]  感謝神 你有沒有留意到這句話
[00:01:22.480 --> 00:01:30.120]  開頭第一個字「但」聖靈降臨
[00:01:30.120 --> 00:01:35.900]  這個連接的「但」的意思就是耶穌還有上半句
[00:01:35.900 --> 00:01:41.920]  上半句和下半句之間是一個不同的方向
[00:01:41.920 --> 00:01:49.480]  那才要用一個「但」字來將它拉在一起
[00:01:49.480 --> 00:01:52.040]  耶穌臨升天之前
[00:01:52.040 --> 00:01:57.900]  門徒問他最後一個問題
[00:01:57.900 --> 00:02:02.600]  問什麼?不是問傳福音
[00:02:02.600 --> 00:02:05.680]  不是問大使命
[00:02:05.680 --> 00:02:07.860]  他們問主啊
[00:02:07.860 --> 00:02:19.540]  你復興以色列國就在這時候嗎?
[00:02:19.540 --> 00:02:23.840]  以色列國不在這裡嗎?不在這裡
[00:02:23.840 --> 00:02:36.620]  以色列當時耶路撒冷是被羅馬的軍隊佔領
[00:02:36.620 --> 00:02:44.500]  以色列亡國地老直到耶穌降生
[00:02:44.500 --> 00:02:47.540]  經歷了不同的帝國
[00:02:47.540 --> 00:02:54.860]  從亞述、巴比倫到馬代、波斯到希臘
[00:02:54.860 --> 00:02:58.520]  現在是羅馬帝國
[00:02:58.520 --> 00:03:03.980]  他們的軍隊駐紮在該撒尼亞
[00:03:03.980 --> 00:03:10.080]  有沒有印象?哥利留請彼得去他家
[00:03:10.080 --> 00:03:17.100]  昂船州來的 軍官哥利留
[00:03:17.100 --> 00:03:21.800]  羅馬巡撫本丟比拉多
[00:03:21.800 --> 00:03:24.660]  有沒有聽過這個名字?有
[00:03:24.660 --> 00:03:27.220]  受苦節一定讀他的
[00:03:27.220 --> 00:03:29.940]  是他將耶穌釘在十字架上
[00:03:29.940 --> 00:03:37.620]  因為只有羅馬政府有合法的權柄
[00:03:37.620 --> 00:03:42.080]  可以處死一個人
[00:03:42.080 --> 00:03:47.740]  所以羅馬是統治者
[00:03:47.740 --> 00:03:53.060]  主啊 你復興以色列國
[00:03:53.060 --> 00:03:55.100]  問的不是一個屬靈的問題
[00:03:55.100 --> 00:03:58.580]  是一個政治的問題 很敏感
[00:03:58.580 --> 00:04:02.460]  用我們今天香港人不再說的兩個字
[00:04:02.460 --> 00:04:05.000]  「光復」
[00:04:05.000 --> 00:04:09.420]  是的 門徒心裏面是在問
[00:04:09.420 --> 00:04:14.620]  復活的主40天之前
[00:04:14.620 --> 00:04:22.240]  就在耶路撒冷被釘十字架埋葬、復活
[00:04:22.240 --> 00:04:25.200]  是不是一個最好的時機
[00:04:25.200 --> 00:04:32.360]  耶穌走出來在耶路撒冷公開振臂一呼
[00:04:32.360 --> 00:04:34.580]  大家就響應
[00:04:34.580 --> 00:04:38.260]  帶著復活的能力和權柄
[00:04:38.260 --> 00:04:43.520]  羅馬軍團算得了什麼?
[00:04:43.520 --> 00:04:46.740]  你知道福音書說到耶穌說
[00:04:46.740 --> 00:04:50.800]  我可以祈禱叫十二型天使
[00:04:50.800 --> 00:04:52.260]  有沒有印象?
[00:04:52.260 --> 00:04:57.020]  其實那個在希臘文是說十二軍團
[00:04:57.020 --> 00:05:00.440]  是說羅馬軍團同一個字眼
[00:05:00.440 --> 00:05:01.900]  都是不明白
[00:05:01.900 --> 00:05:04.920]  今天說的是第七艦隊
[00:05:04.920 --> 00:05:06.620]  明白了 明白了
[00:05:06.620 --> 00:05:09.600]  說的不是幾個兵那麼簡單
[00:05:09.600 --> 00:05:14.120]  主耶穌說天上地下所有的權柄都賜給我了
[00:05:14.120 --> 00:05:18.240]  主啊 你復興以色列國
[00:05:18.240 --> 00:05:22.340]  就在這時候
[00:05:22.340 --> 00:05:28.000]  哪個門徒有興趣討論這個政治問題呢?
[00:05:28.000 --> 00:05:31.660]  你會背《十二使徒名單》嗎?
[00:05:31.660 --> 00:05:36.640]  不會啊?鑽石山浸信會
[00:05:36.640 --> 00:05:39.900]  彼得瓦國、約翰·安德烈、
[00:05:39.900 --> 00:05:44.020]  肥力·巴多羅馬、多瑪·馬泰、
[00:05:44.020 --> 00:05:50.540]  阿勒肥的兒子瓦國、達泰·美爾、
[00:05:50.540 --> 00:05:55.220]  奮裕黨的西門
[00:05:55.220 --> 00:05:58.480]  有沒有聽過奮裕黨?
[00:05:58.480 --> 00:06:02.280]  是什麼人來的?
[00:06:02.280 --> 00:06:06.100]  用今天我們一聽就明白的
[00:06:06.100 --> 00:06:09.860]  那就用「母攬炒」四個字
