
[00:00:00.000 --> 00:00:04.560]  真是好 我們一起思想北宣家的核心價值
[00:00:04.560 --> 00:00:09.260]  今天講的題目 當然大家也很容易共鳴
[00:00:09.260 --> 00:00:10.760]  也很容易明白
[00:00:10.760 --> 00:00:16.400]  這個就是關於我們對神的心
[00:00:16.400 --> 00:00:20.080]  一切以神作為我們中心
[00:00:20.080 --> 00:00:22.700]  北宣家給人的印象都是很敬虔的
[00:00:22.700 --> 00:00:24.520]  弟兄姊妹都很敬虔的
[00:00:24.520 --> 00:00:28.600]  敬虔就代表我們對神有一個很敬畏的心
[00:00:28.600 --> 00:00:30.340]  今天我們就看這個
[00:00:30.340 --> 00:00:34.120]  我們選了一個聖經 大家也很熟悉的
[00:00:34.120 --> 00:00:38.600]  就是剛才我們所讀的《初一及記》第20章
[00:00:38.600 --> 00:00:43.880]  我們傳統叫做十誡前面的五誡 是吧
[00:00:43.880 --> 00:00:45.180]  所以我們打開聖經
[00:00:45.180 --> 00:00:49.080]  這個是我們今天很重要的文本
[00:00:49.080 --> 00:00:51.340]  我們一起慢慢去看
[00:00:51.340 --> 00:00:56.700]  《初一及記》第20章在我們唐宗聖經111頁
[00:00:56.700 --> 00:01:00.720]  《初一及記》的第20章
[00:01:00.720 --> 00:01:05.180]  我們從第一節看到第11節
[00:01:05.180 --> 00:01:08.860]  事實上真的是我們信仰裡面的總綱
[00:01:08.860 --> 00:01:11.000]  因為我這樣講 大家會記得
[00:01:11.000 --> 00:01:15.140]  在路加康第十章第27、28節那裡
[00:01:15.140 --> 00:01:19.040]  就講到有個律法師 他要挑戰耶穌
[00:01:19.040 --> 00:01:21.080]  不過這個律法師真的是很厲害的
[00:01:21.080 --> 00:01:22.140]  他講了幾句話
[00:01:22.140 --> 00:01:24.020]  我們很多弟兄姊妹如果沒有留意
[00:01:24.020 --> 00:01:26.000]  還記得以為是耶穌講的
[00:01:26.000 --> 00:01:27.140]  其實是律法師講的
[00:01:27.140 --> 00:01:29.600]  不過耶穌是完全贊成他的
[00:01:29.600 --> 00:01:32.220]  律法師問究竟我們的信仰
[00:01:32.220 --> 00:01:35.380]  基督教的信仰裡面 你講吧
[00:01:35.380 --> 00:01:38.680]  綜合起來有些什麼幾句都講得完
[00:01:38.680 --> 00:01:40.380]  耶穌說那你講吧
[00:01:40.380 --> 00:01:42.900]  律法師就說 哎 對了 我也很厲害
[00:01:42.900 --> 00:01:46.000]  於是就講了兩句話 大家看到了嗎
