
[00:00:00.000 --> 00:00:02.000]  (沒有反應)
[00:00:02.000 --> 00:00:04.000]  沒有反應的
[00:00:04.000 --> 00:00:06.000]  (笑)
[00:00:06.000 --> 00:00:08.000]  彼此大家
[00:00:08.000 --> 00:00:10.000]  (問)
[00:00:10.000 --> 00:00:12.000]  恭賀好嗎?
[00:00:12.000 --> 00:00:14.000]  彼此和旁邊的左右大家恭賀一下
[00:00:14.000 --> 00:00:16.000]  新年快樂!新年快樂!
[00:00:16.000 --> 00:00:18.000]  (大聲的祝賀)
[00:00:18.000 --> 00:00:20.000]  (大聲的祝賀)
[00:00:20.000 --> 00:00:22.000]  (大聲的祝賀)
[00:00:22.000 --> 00:00:24.000]  (大聲的祝賀)
[00:00:24.000 --> 00:00:26.000]  (大聲的祝賀)
[00:00:26.000 --> 00:00:28.000]  (大聲的祝賀)
[00:00:28.000 --> 00:00:32.000]  開始和大家講這段聖經之前
[00:00:32.000 --> 00:00:36.000]  給大家做一個功課
[00:00:36.000 --> 00:00:38.000]  篤篤篤篤
[00:00:38.000 --> 00:00:40.000]  這個功課叫篤篤篤篤
[00:00:40.000 --> 00:00:42.000]  吃喝玩樂然後
[00:00:42.000 --> 00:00:44.000]  之後怎樣?
[00:00:44.000 --> 00:00:46.000]  等你填下去
[00:00:46.000 --> 00:00:48.000]  有幾個人有提議
[00:00:48.000 --> 00:00:50.000]  吃喝玩樂然後
[00:00:50.000 --> 00:00:52.000]  我知道有些人放了幾天假
[00:00:52.000 --> 00:00:54.000]  吃喝玩樂年初一二三四
[00:00:54.000 --> 00:00:56.000]  吃喝玩樂然後
[00:00:56.000 --> 00:00:58.000]  回到世界
[00:00:58.000 --> 00:01:00.000]  上班
[00:01:00.000 --> 00:01:02.000]  還有呢?
[00:01:02.000 --> 00:01:04.000]  吃喝玩樂然後
[00:01:04.000 --> 00:01:06.000]  休息幾天
[00:01:06.000 --> 00:01:08.000]  還有呢?
[00:01:08.000 --> 00:01:10.000]  吃喝玩樂
[00:01:10.000 --> 00:01:12.000]  看看錢包就知道味道
[00:01:12.000 --> 00:01:14.000]  好啊
[00:01:14.000 --> 00:01:16.000]  我們一起求助幫助
[00:01:16.000 --> 00:01:18.000]  我們知道吃喝玩樂之後怎樣
[00:01:18.000 --> 00:01:20.000]  應不應該吃喝玩樂呢?
[00:01:20.000 --> 00:01:22.000]  我們重新一重祈禱
[00:01:22.000 --> 00:01:24.000]  天父我再一次感謝你
[00:01:24.000 --> 00:01:26.000]  祈祷你寶貴的話語作為我們生命的指引
[00:01:26.000 --> 00:01:28.000]  求你藉著你的話語提醒
[00:01:28.000 --> 00:01:30.000]  勸勉教導改變我們
[00:01:30.000 --> 00:01:32.000]  讓我們的人生活得精彩
[00:01:32.000 --> 00:01:34.000]  奉耶穌基督命求
