
[00:00:00.000 --> 00:00:08.000]  天父求你安靜我們的心,叫我們的心能夠聽到你的話語
[00:00:08.000 --> 00:00:12.000]  我們懷著一個歡喜快樂的心來到你的話語面前
[00:00:12.000 --> 00:00:17.000]  這些話語都是你所賜下的,是今天來到對我們每一個人說話
[00:00:17.000 --> 00:00:21.000]  神下,我們要在你的話語當中對你有更多的認識
[00:00:21.000 --> 00:00:24.000]  對你的性情有更多的認識
[00:00:24.000 --> 00:00:28.000]  對你的公義,對你的慈愛有更多的認識
[00:00:28.000 --> 00:00:31.000]  我們要認識你之後,我們能夠更加愛你
[00:00:31.000 --> 00:00:36.000]  更加知道我們自己應該怎樣過活
[00:00:36.000 --> 00:00:41.000]  我們感謝你給我們有這段時間浸在你的話語當中
[00:00:41.000 --> 00:00:45.000]  求主你繼續透過你的話語向我們每一個人說話
[00:00:45.000 --> 00:00:50.000]  求聖靈在這裡做教導的工作,因為我們每一個人的需要都不同
[00:00:50.000 --> 00:00:55.000]  但聖靈知道我們的需要是什麼,你向我們每一個人的心來說話
[00:00:55.000 --> 00:00:58.000]  祈禱共主耶穌基督命教,阿門
[00:00:58.000 --> 00:01:03.000]  今晚我們是以色列書第34章
[00:01:03.000 --> 00:01:06.000]  我們今晚會第34章、35章
[00:01:06.000 --> 00:01:11.000]  35章很短的,所以我們今晚應該有足夠的時間
[00:01:11.000 --> 00:01:19.000]  34章,耶和華的話臨到我,仁子呀,你要向以色列的牧人發預言
[00:01:19.000 --> 00:01:24.000]  第二節這裡牧人是出現了幾次,以色列的牧人
[00:01:24.000 --> 00:01:29.000]  然後下面那裡又說以色列的牧人
[00:01:29.000 --> 00:01:33.000]  又說牧人豈不當牧養群羊
[00:01:33.000 --> 00:01:36.000]  這裡說牧人,我們第一個問題就是
[00:01:36.000 --> 00:01:40.000]  到底這個牧人是指哪一個呢
[00:01:40.000 --> 00:01:45.000]  我們都知道聖經那裡說牧羊人,說到羊的時候
[00:01:45.000 --> 00:01:48.000]  就不是真的說羊咩
[00:01:48.000 --> 00:01:55.000]  聖經裡面提到羊的時候,往往是指著人來說的
[00:01:55.000 --> 00:01:58.000]  我們都記得約翰福音10章10節耶穌說
[00:01:58.000 --> 00:02:04.000]  我來是要叫羊得生命,那個羊或易作人
[00:02:04.000 --> 00:02:09.000]  其實是說人,耶穌來不是請救羊咩仔
[00:02:09.000 --> 00:02:11.000]  耶穌來是請救人
[00:02:11.000 --> 00:02:16.000]  但是因為中東那裡是很多羊,也很多牧羊人
[00:02:16.000 --> 00:02:19.000]  所以聖經裡面提到牧羊人的時候
[00:02:19.000 --> 00:02:23.000]  那些人就立刻想起牧羊人是做什麼的
[00:02:23.000 --> 00:02:27.000]  而那群羊的性格就很像人的
[00:02:27.000 --> 00:02:31.000]  去到新約那裡,除了約翰福音10章10節
[00:02:31.000 --> 00:02:36.000]  耶穌說我來是叫羊得生命並且得的更豐盛之外
[00:02:36.000 --> 00:02:39.000]  當然是路教福音第15章
[00:02:39.000 --> 00:02:44.000]  第15章耶穌是一年氣說了三個比喻
[00:02:44.000 --> 00:02:48.000]  第一個比喻就是說有一個人有一百隻羊
[00:02:48.000 --> 00:02:52.000]  失了一隻,他放下其他九十九隻
[00:02:52.000 --> 00:02:56.000]  在礦野那裡他走出去找那隻失落的羊
[00:02:56.000 --> 00:02:59.000]  找到之後他就很開心了
[00:02:59.000 --> 00:03:01.000]  耶穌就說我不是真的說羊
[00:03:01.000 --> 00:03:03.000]  我是說地上有一個人悔改
[00:03:03.000 --> 00:03:06.000]  得救天上都要這樣來開心
[00:03:06.000 --> 00:03:08.000]  這個是新約那裡
[00:03:08.000 --> 00:03:12.000]  舊約這裡這一段是說羊
[00:03:12.000 --> 00:03:14.000]  說羊說得很透徹的
[00:03:14.000 --> 00:03:19.000]  以色列的牧羊人到底是指哪一個呢
[00:03:19.000 --> 00:03:23.000]  跟著這裡說要攻擊他們
[00:03:23.000 --> 00:03:30.000]  神是叫以色列向著以色列的牧羊來罵他們的
[00:03:30.000 --> 00:03:33.000]  他們做了一些事
[00:03:33.000 --> 00:03:37.000]  在神的眼光當中是值得罵的
[00:03:37.000 --> 00:03:39.000]  要攻擊他們的
[00:03:39.000 --> 00:03:43.000]  而且這裡還說禍災
[00:03:43.000 --> 00:03:45.000]  神一提到禍災的時候
[00:03:45.000 --> 00:03:47.000]  就真的是很大件事
[00:03:47.000 --> 00:03:49.000]  不是犯小錯
[00:03:49.000 --> 00:03:52.000]  而是犯很嚴重的錯誤
[00:03:52.000 --> 00:03:55.000]  這幫人是指哪一幫人呢
[00:03:55.000 --> 00:04:01.000]  很明顯這裡是指當時的領袖
[00:04:01.000 --> 00:04:04.000]  不是說宗教的領袖
[00:04:04.000 --> 00:04:07.000]  這裡應該是說政治上的領袖
[00:04:07.000 --> 00:04:09.000]  那些統治者
[00:04:09.000 --> 00:04:11.000]  由國家的國王
[00:04:11.000 --> 00:04:13.000]  一直下來以下的官員
[00:04:13.000 --> 00:04:15.000]  就是那些統治
[00:04:15.000 --> 00:04:17.000]  有權有勢的人
[00:04:17.000 --> 00:04:22.000]  神是說他們這一幫人是以色列的牧羊
[00:04:22.000 --> 00:04:26.000]  但是這一幫人因為自己的行為
[00:04:26.000 --> 00:04:29.000]  是連累到國家都沒有了
[00:04:29.000 --> 00:04:32.000]  所以背景這裡就是
[00:04:32.000 --> 00:04:36.000]  全部的猶太人要被擄
[00:04:36.000 --> 00:04:38.000]  國家都沒有了
[00:04:38.000 --> 00:04:43.000]  神在這裡就歸咎於那幫統治者
[00:04:43.000 --> 00:04:46.000]  統治者是有問題
[00:04:46.000 --> 00:04:50.000]  所以就連累到整幫羊都受苦
