
[00:00:00.000 --> 00:00:04.200]  各位頂智媒主 內平安
[00:00:04.200 --> 00:00:12.080]  今日我和大家在這麼開心的家庭父親節的時間
[00:00:12.080 --> 00:00:15.080]  和大家分享一個聖經裏面
[00:00:15.080 --> 00:00:17.480]  可能很多頂智媒都熟悉的經文
[00:00:17.480 --> 00:00:20.480]  就是阿伯拉罕憲二殺這段經文
[00:00:20.480 --> 00:00:25.280]  這是一個家庭 一個父親怎樣對待他的兒子
[00:00:25.280 --> 00:00:30.680]  我想從這段經文裏面大家一起去學習
[00:00:30.680 --> 00:00:34.680]  剛才聽到有一個家庭祭壇的分享
[00:00:34.680 --> 00:00:35.680]  我非常感動
[00:00:35.680 --> 00:00:40.280]  亦都很真實地將一個基督徒的家庭
[00:00:40.280 --> 00:00:44.680]  他和其他人不同一個很重要的特徵表現了出來
[00:00:44.680 --> 00:00:50.080]  其實家庭祭壇阿伯拉罕可以是表表者
[00:00:50.080 --> 00:00:56.480]  他到處去 家庭去到哪裡都會捉起祭壇來紀念上帝的作為
[00:00:56.480 --> 00:00:58.480]  來表示他對上帝的感恩
[00:00:58.480 --> 00:01:03.480]  今日我和大家在有限的時間裏面
[00:01:03.480 --> 00:01:06.480]  分享阿伯拉罕憲二殺這段經文
[00:01:06.480 --> 00:01:08.480]  我要先聲明
[00:01:08.480 --> 00:01:11.480]  因為大約兩個星期前 波羅神學院有一個畢業禮
[00:01:11.480 --> 00:01:15.480]  我們請到榮休了的香港神學院的院長
[00:01:15.480 --> 00:01:17.480]  阿柱爾文牧師來分享
[00:01:17.480 --> 00:01:18.480]  他就大概分享了這段聖經
[00:01:18.480 --> 00:01:20.480]  不過時間比較短
[00:01:20.480 --> 00:01:23.480]  當他分享完後就刺激我
[00:01:23.480 --> 00:01:25.480]  我想我再去研讀這段經文的時間
[00:01:25.480 --> 00:01:28.480]  想和大家一起分享考試
[00:01:28.480 --> 00:01:30.480]  用考試作為一個題目
[00:01:30.480 --> 00:01:34.480]  如果你留意到這段經文的第一節
[00:01:34.480 --> 00:01:38.480]  聖經說「這就是時候 神要試驗阿伯拉罕」
[00:01:38.480 --> 00:01:40.480]  試驗阿伯拉罕
[00:01:40.480 --> 00:01:43.480]  試驗即是用我們的說話講 即是考試
[00:01:43.480 --> 00:01:48.480]  這個字句 試驗這個字
[00:01:48.480 --> 00:01:51.480]  是全本聖經在這裏第一次出現
[00:01:51.480 --> 00:01:57.480]  而是上帝為了阿伯拉罕開始一個試驗 一個考試
[00:01:57.480 --> 00:02:02.480]  所以我就用了考試作為題目
[00:02:02.480 --> 00:02:05.480]  暫時我沒有一個關鍵字 請你留下一張
[00:02:05.480 --> 00:02:12.480]  你見到做爸爸是世界上其中一件很艱難的工作
[00:02:12.480 --> 00:02:17.480]  但我相信絕大部分 可能99%都沒有經過訓練班才做爸爸
[00:02:17.480 --> 00:02:21.480]  可能我們都有少少訓練關於怎樣生小孩
[00:02:21.480 --> 00:02:25.480]  出生的時間 怎樣幫忙照顧小孩
[00:02:25.480 --> 00:02:27.480]  但是真的要做一個好的爸爸
[00:02:27.480 --> 00:02:31.480]  我不知道有多少人有這樣的訓練經驗
[00:02:31.480 --> 00:02:36.480]  如果你出生於一個比較好的家庭
[00:02:36.480 --> 00:02:40.480]  父母是一個很好的關係
[00:02:40.480 --> 00:02:45.480]  但你還在成長裏潛移默化 怎樣學做父母親
[00:02:45.480 --> 00:02:49.480]  但事實上好的家庭真的不容易
[00:02:49.480 --> 00:02:57.480]  我最近留意到2022年有一個家庭幸福指數
[00:02:57.480 --> 00:03:02.480]  在百多個家庭裏 覺得幸福的指數
[00:03:02.480 --> 00:03:08.480]  香港是排在第81位 即是大概在幸福指數中間
[00:03:08.480 --> 00:03:10.480]  但其實這個幸福指數裏面很多因素
[00:03:10.480 --> 00:03:13.480]  譬如經濟環境 人的壽命等等
[00:03:13.480 --> 00:03:15.480]  香港是很高分的
[00:03:15.480 --> 00:03:20.480]  不過事實上在整體上來講我們只是排中間
[00:03:20.480 --> 00:03:26.480]  請你留意是比中國在71位還要低十幾位
[00:03:26.480 --> 00:03:30.480]  這個很有趣的一個現象
[00:03:30.480 --> 00:03:33.480]  而家庭幸福指數香港不高
[00:03:33.480 --> 00:03:36.480]  可能其中和下一個調查都有關係
[00:03:36.480 --> 00:03:44.480]  在2019年的報告 如果計算那一年有多少人結婚
[00:03:44.480 --> 00:03:46.480]  然後那一年有多少人申請離婚
[00:03:46.480 --> 00:03:48.480]  這樣做一個比較的話
[00:03:48.480 --> 00:03:54.480]  香港的離婚率是48% 差不多一半
[00:03:54.480 --> 00:03:58.480]  即是有兩對人註冊結婚
[00:03:58.480 --> 00:04:03.480]  同時間那一年有一對夫婦離婚
[00:04:03.480 --> 00:04:08.480]  離婚的家庭如何談得上幸福家庭指數呢
[00:04:08.480 --> 00:04:10.480]  所以這個都是息息相關的
[00:04:10.480 --> 00:04:12.480]  而基督徒很可惜的
[00:04:12.480 --> 00:04:16.480]  在這個數字裏面其實我們都有份的
[00:04:16.480 --> 00:04:22.480]  不是因為我們基督徒所以我們特別完全和數字不相同
[00:04:22.480 --> 00:04:24.480]  這裏我不再多講了
[00:04:24.480 --> 00:04:28.480]  阿伯拉罕面對人生的考試
[00:04:28.480 --> 00:04:31.480]  他如何建立一個模範 特別是家庭的角度
[00:04:31.480 --> 00:04:33.480]  如何建立一個父親的模範呢
[00:04:33.480 --> 00:04:35.480]  我想從這個角度和大家分享
[00:04:35.480 --> 00:04:39.480]  在阿伯拉罕的生平裏面有很多的考驗
[00:04:39.480 --> 00:04:44.480]  有些人說是十個 有些人說是再多一點
[00:04:44.480 --> 00:04:49.480]  不過我想簡單講起碼到這個階段有七個不同的考試
[00:04:49.480 --> 00:04:52.480]  他首先要離開本地本族
[00:04:52.480 --> 00:04:54.480]  這個相信大家都認識的
[00:04:54.480 --> 00:04:57.480]  開始介紹阿伯拉罕出來就在創世紀第十二章
[00:04:57.480 --> 00:04:59.480]  他要離開本地本族附家
[00:04:59.480 --> 00:05:04.480]  這個可以說是離開一個安書區的考驗
[00:05:04.480 --> 00:05:10.480]  阿伯拉罕也曾經因為他質疑羅德財物太多
[00:05:10.480 --> 00:05:12.480]  所以那些僕人之間起了紛爭
[00:05:12.480 --> 00:05:17.480]  阿伯拉罕面對一個究竟親情和財物之間
[00:05:17.480 --> 00:05:20.480]  他如何做一個選擇 另一個考驗
[00:05:20.480 --> 00:05:23.480]  曾經有四王和五王爭戰
[00:05:23.480 --> 00:05:26.480]  四王打贏了之後將羅德也擄走
[00:05:26.480 --> 00:05:31.480]  阿伯拉罕當打贏四王將羅德也救回來之後
[00:05:31.480 --> 00:05:35.480]  這個皇帝就說那我就把財物給你吧
[00:05:35.480 --> 00:05:40.480]  但阿伯拉罕竟然說連一斤的鞋帶我都不要
[00:05:40.480 --> 00:05:43.480]  因為他想顯示出是上帝的榮耀
[00:05:43.480 --> 00:05:46.480]  不是自己爭戰的一些益處
[00:05:46.480 --> 00:06:01.480]  上帝吩咐阿伯拉罕和撒拉生一個兒子
[00:06:01.480 --> 00:06:02.480]  但等了很久都沒有
[00:06:02.480 --> 00:06:05.480]  所以他聽了太太的話就娶了妾侍
[00:06:05.480 --> 00:06:08.480]  下甲他的僕人為妻
[00:06:08.480 --> 00:06:13.480]  這個是上帝對他說神豈有難成的事
[00:06:13.480 --> 00:06:15.480]  為什麼你要這樣做呢
[00:06:15.480 --> 00:06:20.480]  其實這些考試阿伯拉罕都有成功的地方
[00:06:20.480 --> 00:06:22.480]  但明顯有失敗的地方
[00:06:22.480 --> 00:06:25.480]  阿伯拉罕兩次因為太太生大
[00:06:25.480 --> 00:06:26.480]  這個真的很奇妙
[00:06:26.480 --> 00:06:29.480]  阿伯拉罕的太太撒拉比他小十歲
[00:06:29.480 --> 00:06:34.480]  即是說阿伯拉罕75歲他落埃及的時候
[00:06:34.480 --> 00:06:37.480]  他太太65歲都很漂亮
[00:06:37.480 --> 00:06:38.480]  漂亮到怕被人搶了
