
[00:00:00.000 --> 00:00:07.000]  各位弟兄姊妹,讓我們再次回到上帝的話
[00:00:07.000 --> 00:00:10.000]  今天我會和大家一起思想經文
[00:00:10.000 --> 00:00:14.000]  是從路德記第三章第16至第18節
[00:00:14.000 --> 00:00:17.000]  今天和大家一起講的講題是
[00:00:17.000 --> 00:00:21.000]  今天神仍然在我們中間嗎?
[00:00:21.000 --> 00:00:24.000]  今天跟大家一起分享的題目是
[00:00:24.000 --> 00:00:27.000]  今天神仍然在我們中間嗎?
[00:00:27.000 --> 00:00:31.000]  是從路德記第三章第16至第18節
[00:00:31.000 --> 00:00:34.000]  今天的話題是
[00:00:34.000 --> 00:00:38.000]  路德記第三章第16至第18節
[00:00:38.000 --> 00:00:40.000]  今天的話題是
[00:00:40.000 --> 00:00:43.000]  神仍然在我們中間嗎?
[00:00:43.000 --> 00:00:47.000]  或者是神的來源
[00:00:47.000 --> 00:00:52.000]  我們在聽道義再次打開主的說話
[00:00:52.000 --> 00:00:54.000]  去先明白主的道理
[00:00:54.000 --> 00:00:58.000]  先讀出和合本的聖經,三節很短的經文
[00:00:58.000 --> 00:01:01.000]  但當中有很豐富的教導
[00:01:01.000 --> 00:01:05.000]  之後我會讀另一個英文版本,叫NET Version
[00:01:05.000 --> 00:01:11.000]  讓我們一起在這個版本裡有一個很不同的更深入的領悟
[00:01:11.000 --> 00:01:15.000]  如果大家有聖經的話,可以一起同心打開
[00:01:15.000 --> 00:01:19.000]  路德記第三章第16至第18節
[00:01:21.000 --> 00:01:27.000]  路德回到婆婆那裡,婆婆說:女兒啊,什麼樣呢?
[00:01:27.000 --> 00:01:32.000]  路德就將那人向他所行的述說了一遍
[00:01:32.000 --> 00:01:36.000]  又說那人給了我六筲箕大麥
[00:01:36.000 --> 00:01:40.000]  對我說:你不可空手回去見你的婆婆
[00:01:40.000 --> 00:01:44.000]  婆婆說:女兒啊,你只管坐著等候
[00:01:44.000 --> 00:01:47.000]  看這是怎樣成就
[00:01:47.000 --> 00:01:52.000]  因為那人今日不辦成這事,別不休息
[00:01:52.000 --> 00:01:55.000]  我們經常聽見很多基督徒說
[00:01:55.000 --> 00:01:58.000]  神怎樣在他們身上作供
[00:01:58.000 --> 00:02:01.000]  到底是一回什麼事呢?
[00:02:01.000 --> 00:02:06.000]  神又怎樣在一個基督徒的身上作供呢?
[00:02:06.000 --> 00:02:09.000]  對於一些靈因派的信徒來說
[00:02:09.000 --> 00:02:13.000]  神經常在我身上施行一些神蹟
[00:02:13.000 --> 00:02:15.000]  例子真的數不清
[00:02:15.000 --> 00:02:17.000]  如果大家看電視節目
[00:02:17.000 --> 00:02:21.000]  隨便打開一些基督教的電視節目
[00:02:21.000 --> 00:02:24.000]  經常都以這個為號召
[00:02:24.000 --> 00:02:26.000]  來招聚一些基督徒
[00:02:26.000 --> 00:02:29.000]  特別是靈因派的基督徒聚集
[00:02:29.000 --> 00:02:33.000]  有些甚至可以說病了的、病了的、患癌症的
[00:02:33.000 --> 00:02:37.000]  突然間神在他身上施行神蹟
[00:02:37.000 --> 00:02:40.000]  但是如果我們只以為
[00:02:40.000 --> 00:02:45.000]  上帝只可以這樣在基督徒的身上作供的話
[00:02:45.000 --> 00:02:48.000]  可能就會造成一個這樣的局面
[00:02:48.000 --> 00:02:51.000]  就是將神所有的工作
[00:02:51.000 --> 00:02:55.000]  設定為一個非日常化的情況
[00:02:55.000 --> 00:02:59.000]  並且將上帝規限在一個非常時期
[00:02:59.000 --> 00:03:03.000]  上帝才會出手的一個情況
[00:03:03.000 --> 00:03:06.000]  至於其他的日子、其他的時間
[00:03:06.000 --> 00:03:08.000]  上帝是沒有需要存在
[00:03:08.000 --> 00:03:10.000]  甚至可以間接說
[00:03:10.000 --> 00:03:14.000]  上帝好像一個遊手好閒的神一樣
[00:03:14.000 --> 00:03:18.000]  這種的介紹或者這種的演繹
[00:03:18.000 --> 00:03:21.000]  其實在神學上有一個題目
[00:03:21.000 --> 00:03:24.000]  就是叫做特殊召管
[00:03:24.000 --> 00:03:26.000]  Special Providence
[00:03:26.000 --> 00:03:28.000]  在一個神學的用詞
[00:03:28.000 --> 00:03:31.000]  什麼叫做Providence? 什麼叫召管?
[00:03:31.000 --> 00:03:34.000]  自私就是說上帝是不住地參與
[00:03:34.000 --> 00:03:39.000]  在我們每一天日常的生活裏面
[00:03:39.000 --> 00:03:42.000]  而在這個參與的過程當中
[00:03:42.000 --> 00:03:46.000]  上帝就會與我們同行
[00:03:46.000 --> 00:03:52.000]  並且下手去處理一些我們日常的事情
[00:03:52.000 --> 00:03:56.000]  而至於特殊的召管Special Providence
[00:03:56.000 --> 00:04:00.000]  就是我們剛才所說的那些靈因派的主張
[00:04:00.000 --> 00:04:04.000]  他們認為上帝只會在一些特殊的情況之下
[00:04:04.000 --> 00:04:09.000]  施行一些特殊的神蹟存在在我們裏面
[00:04:09.000 --> 00:04:10.000]  換句話來說
[00:04:10.000 --> 00:04:13.000]  神的存在就維繫著神蹟有沒有出現
[00:04:13.000 --> 00:04:16.000]  如果沒有神蹟出現的話
[00:04:16.000 --> 00:04:19.000]  就代表神是沒有存在
[00:04:19.000 --> 00:04:24.000]  但是除了這個所謂特殊的召管Special Providence之外
