
[00:00:00.000 --> 00:00:05.000]  今日來到這裏
[00:00:05.000 --> 00:00:08.000]  我想由開始聚會到現在
[00:00:08.000 --> 00:00:12.000]  你聽見平安已經很多次
[00:00:12.000 --> 00:00:14.000]  現在我們都是復活期
[00:00:14.000 --> 00:00:20.000]  在裏面我都很想大家再聽復活主所講的說話
[00:00:20.000 --> 00:00:24.000]  到底是不是他講最多的一句話呢
[00:00:24.000 --> 00:00:26.000]  我都不敢講
[00:00:26.000 --> 00:00:30.000]  但起碼除了馬可福音之外
[00:00:30.000 --> 00:00:34.000]  主耶穌講在福音書裏面
[00:00:34.000 --> 00:00:40.000]  幾位作者路加、馬太、約翰
[00:00:40.000 --> 00:00:44.000]  都有記載復活主這一句
[00:00:44.000 --> 00:00:48.000]  願你們平安
[00:00:48.000 --> 00:00:51.000]  忽然耶穌遇見他們說
[00:00:51.000 --> 00:00:54.000]  願你們平安
[00:00:54.000 --> 00:00:59.000]  他們就上前抱著他的腳拜他
[00:00:59.000 --> 00:01:01.000]  耶穌對他們說
[00:01:01.000 --> 00:01:03.000]  不要害怕
[00:01:03.000 --> 00:01:07.000]  你們去告訴我的弟兄
[00:01:07.000 --> 00:01:10.000]  叫他們往加利利去
[00:01:10.000 --> 00:01:14.000]  在那裏必見我
[00:01:14.000 --> 00:01:16.000]  約翰福音那一段
[00:01:16.000 --> 00:01:20.000]  就說七天的第一天
[00:01:20.000 --> 00:01:25.000]  晚上門徒所在的地方
[00:01:25.000 --> 00:01:30.000]  因怕猶太人門都關了
[00:01:30.000 --> 00:01:35.000]  耶穌來站在當中對他們說
[00:01:35.000 --> 00:01:38.000]  願你們平安
[00:01:38.000 --> 00:01:43.000]  說了這話就把手和肋旁指給他們按
[00:01:43.000 --> 00:01:47.000]  門徒看見主就喜樂了
[00:01:47.000 --> 00:01:50.000]  耶穌又對他們說
[00:01:50.000 --> 00:01:52.000]  願你們平安
[00:01:52.000 --> 00:01:55.000]  夫怎樣差遣了我
[00:01:55.000 --> 00:01:59.000]  我也照樣差遣你們
[00:01:59.000 --> 00:02:02.000]  願你們平安
[00:02:02.000 --> 00:02:07.000]  似乎是福音書的作者揮之不去
[00:02:07.000 --> 00:02:10.000]  對復活主所講的話
[00:02:10.000 --> 00:02:13.000]  一定要記下來
[00:02:13.000 --> 00:02:15.000]  我們今天這一節的經文
[00:02:15.000 --> 00:02:19.000]  就是在路加福音第24章
[00:02:19.000 --> 00:02:23.000]  就是在以馬五師路上的經驗
[00:02:23.000 --> 00:02:26.000]  大家知道以馬五師的故事吧
[00:02:26.000 --> 00:02:28.000]  知道的話點一下頭
[00:02:28.000 --> 00:02:31.000]  知道的話我就不用再重覆了
[00:02:31.000 --> 00:02:36.000]  他們沿著以馬五師的路上
[00:02:36.000 --> 00:02:40.000]  到主耶穌擦餅的時候
[00:02:40.000 --> 00:02:42.000]  他們就一聲叮
[00:02:42.000 --> 00:02:46.000]  知道原來真是與復活主的相遇
[00:02:46.000 --> 00:02:48.000]  但是就在那時候
[00:02:48.000 --> 00:02:53.000]  耶穌就已經不見了
[00:02:53.000 --> 00:02:55.000]  他們立刻起來
[00:02:55.000 --> 00:02:59.000]  回到耶路撒冷的門徒
[00:02:59.000 --> 00:03:02.000]  正遇見十一位使徒
[00:03:02.000 --> 00:03:06.000]  和他們的其他朋友聚集在一處
[00:03:06.000 --> 00:03:08.000]  就說主果然復活
[00:03:08.000 --> 00:03:11.000]  已經被西門看到
[00:03:11.000 --> 00:03:14.000]  兩個人就將在路上所遇見
[00:03:14.000 --> 00:03:16.000]  和擦餅的時候
[00:03:16.000 --> 00:03:18.000]  怎樣被他們認出來的事
[00:03:18.000 --> 00:03:20.000]  都述說了一遍
[00:03:20.000 --> 00:03:23.000]  正說這話的時候
[00:03:23.000 --> 00:03:28.000]  耶穌親自站在他們當中說
[00:03:28.000 --> 00:03:31.000]  願你們平安
[00:03:31.000 --> 00:03:33.000]  親愛的兄姊妹
[00:03:33.000 --> 00:03:38.000]  復活主今天對他的教會
[00:03:38.000 --> 00:03:40.000]  需要講什麼話呢
[00:03:40.000 --> 00:03:45.000]  需要重複他昔日對於他的門徒
[00:03:45.000 --> 00:03:49.000]  所說的願你們平安嗎
[00:03:49.000 --> 00:03:53.000]  不知道你的生命來到今時今日
[00:03:53.000 --> 00:03:56.000]  你人生的歷程來到今時今日
[00:03:56.000 --> 00:04:01.000]  你想聽見主對你說什麼話呢
[00:04:01.000 --> 00:04:03.000]  願你們平安
[00:04:03.000 --> 00:04:07.000]  不過你知道當日他們聽見的時候
