
[00:00:00.000 --> 00:00:05.640]  各位領誌會 各位朋友
[00:00:05.640 --> 00:00:17.660]  最近我收到不少聽眾看完我抹世的情形的時候
[00:00:17.660 --> 00:00:20.740]  都有一些信息告訴我
[00:00:20.740 --> 00:00:28.660]  他說 你說到這個世界將來會越來越多災難
[00:00:28.660 --> 00:00:31.220]  甚至有七年的大災難
[00:00:31.220 --> 00:00:33.000]  我現在相信
[00:00:33.000 --> 00:00:35.840]  但是在我的心目中
[00:00:35.840 --> 00:00:39.420]  我對聖經仍然有很多疑問
[00:00:39.420 --> 00:00:42.880]  有一次我因為這樣的緣故
[00:00:42.880 --> 00:00:45.600]  在電話裡跟一個大學生
[00:00:45.600 --> 00:00:48.880]  極少有大學生來聽我說
[00:00:48.880 --> 00:00:50.420]  竟然有一次
[00:00:50.420 --> 00:00:54.520]  他出席在普通話崇拜當中
[00:00:54.520 --> 00:00:59.380]  他跟我說 我心裡很多問題都解決了
[00:00:59.380 --> 00:01:01.680]  但我仍然有一個問題就是
[00:01:01.680 --> 00:01:04.760]  聖經裡面記載人類的歷史這麼短
[00:01:04.760 --> 00:01:07.060]  合不合科學呢
[00:01:07.060 --> 00:01:08.600]  我當時問他
[00:01:08.600 --> 00:01:15.260]  你覺得要多久才合理 合科學呢
[00:01:15.260 --> 00:01:20.880]  他說起碼都幾萬到十幾萬年吧
[00:01:20.880 --> 00:01:22.160]  我就問他
[00:01:22.160 --> 00:01:24.980]  為什麼要這麼長的時間來做什麼呢
[00:01:24.980 --> 00:01:26.760]  他說要進化
[00:01:26.760 --> 00:01:28.560]  如果你不進化
[00:01:28.560 --> 00:01:30.600]  進化是需要時間的
[00:01:30.600 --> 00:01:32.660]  但是你越長時間
[00:01:32.660 --> 00:01:34.440]  他就可以進得越好
[00:01:34.440 --> 00:01:36.240]  但是你越短的時間
[00:01:36.240 --> 00:01:39.820]  他來不及來到進化的了
[00:01:39.820 --> 00:01:41.620]  我聽完的時候
[00:01:41.620 --> 00:01:45.960]  我就跟著問他一件事
[00:01:45.960 --> 00:01:49.040]  我說 朋友
[00:01:49.040 --> 00:01:51.080]  你覺得
[00:01:51.080 --> 00:01:53.640]  人是進化來的嗎
[00:01:53.640 --> 00:01:55.680]  他說 是 我相信的
[00:01:55.680 --> 00:01:56.720]  我就問
[00:01:56.720 --> 00:02:00.040]  你有聽過北京人這個名字吧
[00:02:00.040 --> 00:02:02.600]  他說 是 我聽過的
[00:02:02.600 --> 00:02:07.720]  那你是不是真的相信中華民族是北京人來的呢
[00:02:07.720 --> 00:02:09.520]  他說 是啊
[00:02:09.520 --> 00:02:12.840]  這樣我就覺得合科學一點
[00:02:12.840 --> 00:02:14.380]  我跟著我就問他
[00:02:14.380 --> 00:02:17.440]  那你知不知道科學家已經
[00:02:17.440 --> 00:02:21.280]  在化石那裡來考據
[00:02:21.280 --> 00:02:23.580]  來看看他們的DNA
[00:02:23.580 --> 00:02:26.400]  到底跟我們今天人的DNA
[00:02:26.400 --> 00:02:28.180]  是不是同類的
[00:02:28.180 --> 00:02:30.240]  你知不知道結果如何
[00:02:30.240 --> 00:02:32.280]  他說 我又不知道
[00:02:32.280 --> 00:02:33.560]  我說 其實
[00:02:33.560 --> 00:02:35.100]  這個已經是
[00:02:35.100 --> 00:02:38.180]  十幾年前的事了
[00:02:38.180 --> 00:02:39.960]  化驗出來的結果
[00:02:39.960 --> 00:02:41.000]  就發現
[00:02:41.000 --> 00:02:43.540]  這些化石的DNA
[00:02:43.540 --> 00:02:45.860]  跟今天人類的DNA
[00:02:45.860 --> 00:02:47.900]  是完全不同的
[00:02:47.900 --> 00:02:49.700]  那我跟著我就問他
[00:02:49.700 --> 00:02:51.240]  那你知不知道
[00:02:51.240 --> 00:02:53.800]  一個人的DNA
[00:02:53.800 --> 00:02:57.640]  是用來辨別一個人的獨特性的
[00:02:57.640 --> 00:02:59.420]  那我就問他
[00:02:59.420 --> 00:03:01.220]  DNA
[00:03:01.220 --> 00:03:05.560]  可不可以不值呢
[00:03:05.560 --> 00:03:06.840]  他想說
[00:03:06.840 --> 00:03:09.400]  他說 不知道啊
[00:03:09.400 --> 00:03:10.440]  我就問他
[00:03:10.440 --> 00:03:12.480]  你知不知道一個人的DNA
[00:03:12.480 --> 00:03:15.300]  是在一個人的哪些位置那裡
[00:03:15.300 --> 00:03:17.340]  他聽完的時候 我都讀過
[00:03:17.340 --> 00:03:18.380]  應該
[00:03:18.380 --> 00:03:21.960]  在人的頭髮 臉 皮
[00:03:21.960 --> 00:03:24.520]  肌肉 血 骨
[00:03:24.520 --> 00:03:26.300]  所有全身
[00:03:26.300 --> 00:03:27.840]  應該都有的
[00:03:27.840 --> 00:03:28.860]  甚至
[00:03:28.860 --> 00:03:30.920]  我們那些口水
