
[00:00:00.000 --> 00:00:05.500]  各位電視節目的各位朋友,你們好
[00:00:05.500 --> 00:00:10.500]  歡迎大家參觀我們三藩市報道會網上的五堂崇拜
[00:00:10.500 --> 00:00:13.500]  我們今天繼續思想希伯來書的信息
[00:00:13.500 --> 00:00:17.500]  我們是希伯來書第四章十二節至十四節
[00:00:17.500 --> 00:00:23.000]  題目叫做「神的話開刀與爆炸」
[00:00:23.000 --> 00:00:26.500]  在開始思想這段聖經之前請我們同心低頭
[00:00:26.500 --> 00:00:28.000]  我們要同禱告
[00:00:28.000 --> 00:00:30.500]  慈悲人愛天父我們滿心感謝你
[00:00:30.500 --> 00:00:33.500]  因為你賜下你的話語給我們
[00:00:33.500 --> 00:00:38.000]  作為我們生命和信仰的標準
[00:00:38.000 --> 00:00:42.500]  求你藉著你的話語去提醒、勸勉、教導、安慰、督責
[00:00:42.500 --> 00:00:44.500]  改變我們的生命
[00:00:44.500 --> 00:00:48.500]  我們這樣祈禱奉耶穌基督命求,阿們
[00:00:48.500 --> 00:00:55.500]  在1968年我和君玉當時還在香港大學讀書
[00:00:55.500 --> 00:01:02.500]  並且一同在香港青年會夜中學教中五的同學英文
[00:01:02.500 --> 00:01:06.500]  這位學生都是八天工作,晚上進修英文
[00:01:06.500 --> 00:01:08.500]  他們年紀和我們差不多
[00:01:08.500 --> 00:01:11.500]  當時我們都有同一個意象
[00:01:11.500 --> 00:01:15.500]  神既然給我們機會在夜中學教書
[00:01:15.500 --> 00:01:19.500]  我們就很想把握這個機會向他們傳福音
[00:01:19.500 --> 00:01:21.500]  但究竟怎樣傳呢?
[00:01:21.500 --> 00:01:24.500]  我們當時都有一個信念
[00:01:24.500 --> 00:01:27.500]  不少人之所以不信耶穌
[00:01:27.500 --> 00:01:31.500]  基本原因是因為他們根本不認識基督教的信仰是什麼
[00:01:31.500 --> 00:01:34.500]  又或者他們以為基督教是這樣
[00:01:34.500 --> 00:01:39.500]  其實他們是一知半解,完全錯解基督教
[00:01:39.500 --> 00:01:42.500]  值得一提的是
[00:01:42.500 --> 00:01:48.500]  很多時候他們所拒絕的不是聖經的基督教信仰
[00:01:48.500 --> 00:01:51.500]  而是他們心目中的基督教信仰
[00:01:51.500 --> 00:01:54.500]  只要打開聖經來看看
[00:01:54.500 --> 00:01:57.500]  究竟基督教信仰是什麼的時候
[00:01:57.500 --> 00:02:00.500]  往往他們有不同的反應
[00:02:00.500 --> 00:02:02.500]  基於這個信念
[00:02:02.500 --> 00:02:06.500]  我們就預備開設一個叫做福音聖賢經班
[00:02:06.500 --> 00:02:08.500]  邀請同學參加
[00:02:08.500 --> 00:02:12.500]  當時我們和一些弟兄姊妹分享的時候
[00:02:12.500 --> 00:02:14.500]  他們就潑冷水
[00:02:14.500 --> 00:02:17.500]  在教會的團計
[00:02:17.500 --> 00:02:19.500]  就算是信耶穌的信徒
[00:02:19.500 --> 00:02:22.500]  一提起查經就眉頭皺皺
[00:02:22.500 --> 00:02:25.500]  你叫那些非基督徒去查聖經
[00:02:25.500 --> 00:02:27.500]  不就悶死他們嗎?
[00:02:27.500 --> 00:02:29.500]  幸好我們沒有聽他們的話
[00:02:29.500 --> 00:02:31.500]  我們對那班同學說
[00:02:31.500 --> 00:02:35.500]  你未曾認識一個宗教信仰之前就去信它
[00:02:35.500 --> 00:02:39.500]  這個就叫做迷信萬重
[00:02:39.500 --> 00:02:42.500]  我絕對不贊成你這樣做
[00:02:42.500 --> 00:02:45.500]  但當然你未認識一個宗教信仰
[00:02:45.500 --> 00:02:47.500]  就去信它
[00:02:47.500 --> 00:02:49.500]  同樣是迷信萬重
[00:02:49.500 --> 00:02:51.500]  所以我想邀請你們參加
[00:02:51.500 --> 00:02:54.500]  我們為期八次的福音聖賢經
[00:02:54.500 --> 00:02:58.500]  讓你自己客觀
[00:02:58.500 --> 00:03:00.500]  我們一起去研讀
[00:03:00.500 --> 00:03:02.500]  從聖經裏面研讀來看看
[00:03:02.500 --> 00:03:04.500]  究竟基督教信仰是什麼
[00:03:04.500 --> 00:03:08.500]  你甚至可以帶著批判的眼光去研讀
[00:03:08.500 --> 00:03:10.500]  去研究這個信仰
[00:03:10.500 --> 00:03:12.500]  當你認識了之後
[00:03:12.500 --> 00:03:16.500]  你就可以想清楚自己做的決定
[00:03:16.500 --> 00:03:18.500]  想不到有二十多個學生
[00:03:18.500 --> 00:03:23.500]  參加了我們每星期一次的查經
[00:03:23.500 --> 00:03:27.500]  我們會查有八次
[00:03:27.500 --> 00:03:29.500]  我們講講人生是什麼呢?
[00:03:29.500 --> 00:03:31.500]  罪是什麼呢?
[00:03:31.500 --> 00:03:33.500]  耶穌是誰呢?
[00:03:33.500 --> 00:03:35.500]  他的價值觀是什麼呢?
