
[00:00:00.000 --> 00:00:08.080]  在每一年的復活節或聖誕節期間
[00:00:08.080 --> 00:00:14.680]  其實這段時間是我當牧者最擔心的時間
[00:00:14.680 --> 00:00:16.680]  其中一個主要時段
[00:00:16.680 --> 00:00:19.960]  為什麼牧師你在這段時間這麼關心呢?
[00:00:19.960 --> 00:00:21.960]  因為在這段時間裡
[00:00:21.960 --> 00:00:29.360]  大大小小的教會都在舉行不同的浸禮聚會
[00:00:29.360 --> 00:00:35.920]  你說浸禮有信徒願意受浸
[00:00:35.920 --> 00:00:40.960]  這件事應該是大喜事 應該是歡喜才對
[00:00:40.960 --> 00:00:42.960]  你為什麼這麼擔憂呢?
[00:00:42.960 --> 00:00:47.280]  我擔憂的地方是因為我很擔心
[00:00:47.280 --> 00:00:53.040]  參加這些浸禮的所謂信徒或教徒
[00:00:53.040 --> 00:00:58.320]  其實他們是不是真的認罪悔改而參加浸禮呢?
[00:00:58.320 --> 00:01:05.320]  基督教裡有一句經常聽到的笑話
[00:01:05.320 --> 00:01:07.320]  但卻是真實無比的
[00:01:07.320 --> 00:01:15.840]  就是很多教徒在浸禮當中淹死了
[00:01:15.840 --> 00:01:19.840]  為什麼會淹死了呢?
[00:01:19.840 --> 00:01:21.840]  是不是發生什麼意外
[00:01:21.840 --> 00:01:23.840]  牧師不夠力把牧師捧上來呢?
[00:01:23.840 --> 00:01:25.840]  從水裡出來的不是
[00:01:25.840 --> 00:01:30.840]  這個死是指他們在屬靈上的死亡
[00:01:30.840 --> 00:01:32.840]  你說這麼嚴重?
[00:01:32.840 --> 00:01:37.160]  今天我們所看的這段經文其實是想說這個主題
[00:01:37.160 --> 00:01:42.560]  因為在這段時間裡接受浸禮的信徒不多不少
[00:01:42.560 --> 00:01:53.440]  很可能他們是在一些居心不良的信徒或牧者的煽動之下
[00:01:53.440 --> 00:01:56.440]  或者誤導之下參加浸禮
[00:01:56.440 --> 00:01:59.440]  但卻沒有弄清楚他們自己的救恩
[00:01:59.440 --> 00:02:04.440]  究竟是不是真的從認罪悔改成為他們的基礎
[00:02:04.440 --> 00:02:16.440]  又或者有些信徒想透過參加浸禮達至一些個人私心的目的
[00:02:16.440 --> 00:02:18.440]  譬如最簡單的例子
[00:02:18.440 --> 00:02:21.440]  我所認識的都不少的
[00:02:21.440 --> 00:02:33.440]  不少的信徒參加浸禮目的都是為了證明給對方配偶或期望和他結婚的對象
[00:02:33.440 --> 00:02:37.440]  告訴他我也是信徒
[00:02:37.440 --> 00:02:41.440]  結果那些信徒浸就浸了
[00:02:41.440 --> 00:02:44.440]  一浸他的靈性就死了
[00:02:44.440 --> 00:02:51.440]  真正的虛假信仰就開始暴露在人的面前
[00:02:51.440 --> 00:02:56.440]  這樣的狀況怎會讓我去擔憂呢?
[00:02:56.440 --> 00:03:01.440]  在這段時間裡的確會有真正的信徒受浸
[00:03:01.440 --> 00:03:10.440]  但也有不少的信徒在浸禮當中其實是在做假的見證
[00:03:10.440 --> 00:03:16.440]  希望藉此去印證我是一個很信徒
[00:03:16.440 --> 00:03:20.440]  我是一個值得你相信的基督徒
[00:03:20.440 --> 00:03:26.440]  而這種所謂的信徒就跟著從那天開始在教會當中
[00:03:26.440 --> 00:03:33.440]  在社會當中用基督徒這個名稱來去偷呃鬼騙
[00:03:33.440 --> 00:03:38.440]  這些我們在今天的教會圈子裡
[00:03:38.440 --> 00:03:43.440]  實在遇到很多這些壞的行為
[00:03:43.440 --> 00:03:48.440]  但教會也將它高舉成為他們的見證
[00:03:48.440 --> 00:03:53.440]  其實這些見證是對上主的名的一種污衊
[00:03:53.440 --> 00:03:56.440]  今天我們去看這段經文
[00:03:56.440 --> 00:03:59.440]  其實就是要講這個題目
[00:03:59.440 --> 00:04:01.440]  這個題目是什麼呢?我給了他
[00:04:01.440 --> 00:04:06.440]  叫做「偽善信徒悽慘的靈命下場」
[00:04:06.440 --> 00:04:12.440]  A tragic spiritual consequence of the counterfeit
