
[00:00:00.000 --> 00:00:05.000]  各位大兄姐妹 平安
[00:00:05.000 --> 00:00:10.000]  我們來到從創造到新創造的第八講
[00:00:10.000 --> 00:00:14.000]  律法的智慧與體諒
[00:00:14.000 --> 00:00:20.000]  上一次跟大家分享到大國之民和詐猛
[00:00:20.000 --> 00:00:24.000]  究竟你怎麼看自己
[00:00:24.000 --> 00:00:29.000]  既然我們是上帝的選民 既然我們是基督徒
[00:00:29.000 --> 00:00:32.000]  我們應該看自己是大國之民
[00:00:32.000 --> 00:00:35.000]  因為我們真的有這樣的身份
[00:00:35.000 --> 00:00:38.000]  今天很想和大家換另一個角度
[00:00:38.000 --> 00:00:44.000]  就是究竟人家 未信耶穌的人是怎麼看我們
[00:00:44.000 --> 00:00:48.000]  或者上帝最想我們在外邦的人看來
[00:00:48.000 --> 00:00:51.000]  究竟我們是一個怎樣的人
[00:00:51.000 --> 00:00:56.000]  因為這個都關乎宣教 這個都關乎怎麼做見證
[00:00:56.000 --> 00:00:59.000]  在《新命記》四章六節說
[00:00:59.000 --> 00:01:01.000]  所以你們要緊守遵行
[00:01:01.000 --> 00:01:06.000]  這就是你們在萬民眼前的智慧聰明
[00:01:06.000 --> 00:01:09.000]  他們聽見這一切律例必說
[00:01:09.000 --> 00:01:15.000]  這大國的人真是有智慧有聰明
[00:01:15.000 --> 00:01:20.000]  這裡有一個前提 就是緊守遵行
[00:01:20.000 --> 00:01:24.000]  前提是怎麼做到智慧 怎麼做到有聰明
[00:01:24.000 --> 00:01:27.000]  那究竟緊守遵行什麼呢?
[00:01:27.000 --> 00:01:31.000]  原來在四章五節 上一節有說到
[00:01:31.000 --> 00:01:34.000]  我朝著耶和華我神所吩咐的
[00:01:34.000 --> 00:01:38.000]  將律例典章教訓你們
[00:01:38.000 --> 00:01:42.000]  使你們在所要進去得遺孽的地上遵行
[00:01:42.000 --> 00:01:45.000]  原來他們將要進入迦南地
[00:01:45.000 --> 00:01:48.000]  將要去到一個外邦人的地方的時候
[00:01:48.000 --> 00:01:51.000]  究竟上帝很想人家怎麼看我們
[00:01:51.000 --> 00:01:57.000]  是想我們能夠根據他的律例典章來進行
[00:01:57.000 --> 00:01:59.000]  因為當進行了之後
[00:01:59.000 --> 00:02:02.000]  不要說人家看到
[00:02:02.000 --> 00:02:06.000]  原來第三行他說他們聽見這一切律例
[00:02:06.000 --> 00:02:08.000]  原來聽見就已經說
[00:02:08.000 --> 00:02:13.000]  哇 這個真是大國的人有智慧有聰明
[00:02:13.000 --> 00:02:15.000]  如果說到律例典章
[00:02:15.000 --> 00:02:19.000]  大家想起哪些律例典章呢?
[00:02:19.000 --> 00:02:25.000]  可能你會想到這個十誡
[00:02:25.000 --> 00:02:28.000]  很多時候或者說有些英國的教會
[00:02:28.000 --> 00:02:30.000]  我都知道將這個十誡
[00:02:30.000 --> 00:02:35.000]  放在教堂正宗的港台後面
[00:02:35.000 --> 00:02:37.000]  就擺了十誡出來
